County,PovertyPopulation,PovertyPopulation%
Autauga County,7004,0.11699999999999999
Baldwin County,24942,0.1
Barbour County,5585,0.255
Bibb County,3870,0.19399999999999998
Blount County,7590,0.128
Bullock County,2779,0.336
Butler County,4263,0.23600000000000002
Calhoun County,22174,0.201
Chambers County,5661,0.171
Cherokee County,3949,0.156
Chilton County,7026,0.153
Choctaw County,3017,0.248
Clarke County,4174,0.19
Clay County,2337,0.16899999999999998
Cleburne County,2432,0.158
Coffee County,9055,0.165
Colbert County,8912,0.154
Conecuh County,2920,0.265
Coosa County,1809,0.182
Covington County,6204,0.16699999999999998
Crenshaw County,2520,0.195
Cullman County,14081,0.155
Dale County,8124,0.166
Dallas County,11197,0.314
DeKalb County,15494,0.21600000000000003
Elmore County,10562,0.125
Escambia County,7331,0.213
Etowah County,19921,0.196
Fayette County,2542,0.162
Franklin County,7035,0.225
Geneva County,5109,0.192
Greene County,2255,0.31
Hale County,3383,0.23
Henry County,2904,0.16399999999999998
Houston County,17707,0.165
Jackson County,8437,0.16
Jefferson County,103120,0.16
Lamar County,2217,0.16399999999999998
Lauderdale County,12563,0.136
Lawrence County,4710,0.142
Lee County,31839,0.179
Limestone County,9604,0.086
Lowndes County,2799,0.294
Macon County,4712,0.28800000000000003
Madison County,41983,0.105
Marengo County,4335,0.235
Marion County,5415,0.19
Marshall County,16432,0.165
Mobile County,65684,0.163
Monroe County,3627,0.191
Montgomery County,39395,0.183
Morgan County,14759,0.12
Perry County,2501,0.33799999999999997
Pickens County,3587,0.215
Pike County,7364,0.23800000000000002
Randolph County,3508,0.159
Russell County,10957,0.18899999999999997
St. Clair County,10089,0.10800000000000001
Shelby County,19207,0.084
Sumter County,3607,0.335
Talladega County,13329,0.17
Tallapoosa County,6041,0.151
Tuscaloosa County,41429,0.192
Walker County,11099,0.175
Washington County,2778,0.187
Wilcox County,3194,0.327
Winston County,3855,0.166
Aleutians East Borough,624,0.18
Aleutians West Census Area,492,0.1
Anchorage Borough,24807,0.08900000000000001
Bethel Census Area,5242,0.293
Bristol Bay Borough,98,0.11699999999999999
Chugach Census Area,570,0.087
Copper River Census Area,380,0.142
Denali Borough,123,0.078
Dillingham Census Area,1073,0.23399999999999999
Fairbanks North Star Borough,7015,0.076
Haines Borough,207,0.1
Hoonah-Angoon Census Area,390,0.172
Juneau Borough,2815,0.091
Kenai Peninsula Borough,6885,0.115
Ketchikan Gateway Borough,1269,0.09300000000000001
Kodiak Island Borough,1035,0.085
Kusilvak Census Area,2455,0.308
Lake and Peninsula Borough,271,0.204
Matanuska-Susitna Borough,10906,0.09699999999999999
Nome Census Area,1981,0.207
North Slope Borough,1261,0.12
Northwest Arctic Borough,1390,0.191
Petersburg Borough,276,0.084
Prince of Wales-Hyder Census Area,892,0.157
Sitka Borough,755,0.09300000000000001
Skagway Municipality,64,0.059000000000000004
Southeast Fairbanks Census Area,857,0.122
Wrangell City and Borough,239,0.11699999999999999
Yakutat Borough,105,0.153
Yukon-Koyukuk Census Area,1117,0.21899999999999997
Apache County,18929,0.29600000000000004
Cochise County,19759,0.163
Coconino County,23888,0.17800000000000002
Gila County,9431,0.177
Graham County,6397,0.17300000000000001
Greenlee County,900,0.09699999999999999
La Paz County,3097,0.187
Maricopa County,498844,0.111
Mohave County,36816,0.168
Navajo County,26533,0.247
Pima County,144676,0.14
Pinal County,54702,0.11800000000000001
Santa Cruz County,9831,0.201
Yavapai County,31465,0.128
Yuma County,32657,0.159
Arkansas County,2697,0.168
Ashley County,3338,0.184
Baxter County,6746,0.16
Benton County,23885,0.078
Boone County,5660,0.149
Bradley County,2314,0.23199999999999998
Carroll County,4232,0.14800000000000002
Chicot County,2621,0.297
Clark County,3512,0.18899999999999997
Cleveland County,1147,0.157
Columbia County,4704,0.233
Conway County,3566,0.171
Craighead County,17811,0.161
Crawford County,8147,0.133
Crittenden County,9578,0.20600000000000002
Cross County,3091,0.191
Desha County,2598,0.25
Drew County,3365,0.20600000000000002
Faulkner County,16042,0.129
Fulton County,2136,0.175
Garland County,18604,0.18899999999999997
Grant County,2018,0.111
Hempstead County,3171,0.166
Hot Spring County,5155,0.16899999999999998
Howard County,2190,0.17800000000000002
Independence County,5006,0.135
Izard County,2637,0.203
Johnson County,4377,0.171
Lafayette County,1372,0.228
Lincoln County,2327,0.262
Little River County,2060,0.177
Logan County,3504,0.166
Lonoke County,7223,0.096
Miller County,8806,0.215
Mississippi County,9378,0.249
Nevada County,1844,0.23199999999999998
Newton County,1313,0.188
Ouachita County,4018,0.188
Phillips County,5057,0.342
Poinsett County,4214,0.191
Polk County,3619,0.188
Pope County,8387,0.135
Prairie County,1216,0.154
Pulaski County,61392,0.157
St. Francis County,6414,0.34299999999999997
Saline County,11900,0.09300000000000001
Scott County,1882,0.195
Searcy County,1560,0.20199999999999999
Sebastian County,16217,0.128
Sevier County,2888,0.187
Sharp County,3495,0.19699999999999998
Stone County,2220,0.177
Union County,6969,0.19
Van Buren County,2638,0.165
White County,11899,0.157
Woodruff County,1424,0.244
Yell County,3261,0.165
Alameda County,151872,0.095
Alpine County,177,0.156
Amador County,4400,0.11699999999999999
Butte County,40532,0.19899999999999998
Calaveras County,5639,0.122
Colusa County,2677,0.12300000000000001
Contra Costa County,95369,0.083
Del Norte County,3408,0.138
El Dorado County,13438,0.07
Fresno County,177171,0.177
Glenn County,3769,0.135
Humboldt County,21856,0.16699999999999998
Imperial County,29810,0.17300000000000001
Inyo County,2169,0.11800000000000001
Kern County,169857,0.19
Kings County,23950,0.175
