State,PovertyPopulation,PovertyPopulation%
United States,40763043,0.125
Alabama,780043,0.157
Alaska,75594,0.105
Arizona,917925,0.126
Arkansas,459700,0.154
California,4597732,0.12
Colorado,538673,0.094
Connecticut,359550,0.102
Delaware,109203,0.10800000000000001
District of Columbia,98811,0.152
Florida,2741486,0.124
Georgia,1477354,0.13699999999999998
Hawaii,143193,0.102
Idaho,193938,0.10099999999999999
Illinois,1424894,0.11599999999999999
Indiana,815808,0.122
Iowa,344877,0.111
Kansas,319815,0.11199999999999999
Kentucky,709405,0.161
Louisiana,839489,0.18899999999999997
Maine,141996,0.105
Maryland,585097,0.09699999999999999
Massachusetts,710123,0.105
Michigan,1322242,0.135
Minnesota,519464,0.092
Mississippi,519394,0.183
Missouri,723813,0.12
Montana,130301,0.11800000000000001
Nebraska,197626,0.102
Nevada,383742,0.122
New Hampshire,99969,0.073
New Jersey,885529,0.09699999999999999
New Mexico,349872,0.16899999999999998
New York,2697685,0.141
North Carolina,1351818,0.128
North Dakota,75483,0.1
Ohio,1518116,0.132
Oklahoma,621050,0.158
Oregon,503758,0.121
Pennsylvania,1497696,0.11900000000000001
Rhode Island,120087,0.114
South Carolina,724634,0.139
South Dakota,101184,0.114
Tennessee,963479,0.138
Texas,4091368,0.13699999999999998
Utah,302676,0.09
Vermont,61591,0.099
Virginia,867052,0.102
Washington,793263,0.10300000000000001
West Virginia,281922,0.16399999999999998
Wisconsin,614069,0.106
Wyoming,59458,0.10400000000000001
