State,City,Year,Month,CrimeIndex,CrimeType,VictimCount,PerpetratorCount,Weapon,CrimeSolved
Alaska,Anchorage,1980,January,1,Murder or Manslaughter,0,0,Blunt Object,True
Alaska,Anchorage,1980,March,1,Murder or Manslaughter,0,0,Strangulation,True
Alaska,Anchorage,1980,March,2,Murder or Manslaughter,0,0,Unknown,False
Alaska,Anchorage,1980,April,1,Murder or Manslaughter,0,0,Strangulation,True
Alaska,Anchorage,1980,April,2,Murder or Manslaughter,0,1,Unknown,False
Alaska,Anchorage,1980,May,1,Murder or Manslaughter,0,0,Rifle,True
Alaska,Anchorage,1980,May,2,Murder or Manslaughter,0,0,Knife,True
Alaska,Anchorage,1980,June,1,Murder or Manslaughter,0,0,Knife,True
Alaska,Anchorage,1980,June,2,Murder or Manslaughter,0,0,Firearm,False
Alaska,Anchorage,1980,June,3,Murder or Manslaughter,0,1,Firearm,True
Alaska,Anchorage,1980,July,1,Murder or Manslaughter,0,1,Unknown,False
Alaska,Anchorage,1980,July,2,Murder or Manslaughter,0,0,Shotgun,True
Alaska,Anchorage,1980,July,3,Murder or Manslaughter,0,0,Blunt Object,True
Alaska,Anchorage,1980,August,1,Murder or Manslaughter,0,0,Fall,True
Alaska,Anchorage,1980,August,2,Murder or Manslaughter,0,0,Handgun,False
Alaska,Anchorage,1980,August,3,Murder or Manslaughter,0,0,Handgun,True
Alaska,Anchorage,1980,December,1,Murder or Manslaughter,0,0,Knife,True
Alaska,Juneau,1980,November,1,Murder or Manslaughter,0,1,Blunt Object,True
Alaska,Nome,1980,June,1,Murder or Manslaughter,0,0,Handgun,True
Alaska,Bethel,1980,February,1,Murder or Manslaughter,0,0,Handgun,True
Alaska,North Slope,1980,August,1,Murder or Manslaughter,2,0,Rifle,True
Alaska,North Slope,1980,August,1,Murder or Manslaughter,2,0,Rifle,True
Alaska,North Slope,1980,June,1,Murder or Manslaughter,0,0,Knife,True
Alaska,North Slope,1980,July,1,Manslaughter by Negligence,0,0,Blunt Object,True
Alaska,North Slope,1980,August,1,Murder or Manslaughter,2,0,Rifle,True
Alaska,Kenai Peninsula,1980,February,1,Murder or Manslaughter,0,0,Handgun,True
Alaska,Juneau,1980,February,1,Murder or Manslaughter,0,0,Handgun,False
Alaska,Juneau,1980,February,2,Murder or Manslaughter,0,0,Handgun,True
Alaska,Juneau,1980,February,3,Murder or Manslaughter,0,0,Rifle,True
Alaska,Juneau,1980,April,1,Murder or Manslaughter,0,0,Shotgun,True
Alaska,Juneau,1980,May,1,Murder or Manslaughter,0,0,Rifle,True
Alaska,Juneau,1980,June,1,Manslaughter by Negligence,0,0,Rifle,True
Alaska,Juneau,1980,July,1,Murder or Manslaughter,0,0,Unknown,False
Alaska,Juneau,1980,July,2,Murder or Manslaughter,0,0,Unknown,False
Alaska,Juneau,1980,July,3,Murder or Manslaughter,0,0,Firearm,False
Alaska,Juneau,1980,August,1,Murder or Manslaughter,0,0,Rifle,True
Alaska,Juneau,1980,August,2,Murder or Manslaughter,0,0,Rifle,True
Alaska,Juneau,1980,October,1,Murder or Manslaughter,0,0,Rifle,True
Alaska,Juneau,1980,October,2,Murder or Manslaughter,0,0,Firearm,False
Alaska,Juneau,1980,October,3,Manslaughter by Negligence,0,0,Rifle,True
Alaska,Juneau,1980,October,4,Manslaughter by Negligence,0,0,Rifle,True
Alaska,Juneau,1980,November,1,Murder or Manslaughter,0,0,Handgun,True
Alaska,Juneau,1980,November,2,Murder or Manslaughter,0,0,Rifle,True
