State,ViolentCrime,Murder,RapeNew,RapeOld,Robbery,Assault,PropertyCrime,Burglary,LarcenyTheft,VehicleTheft
Connecticut,0.023,-0.32799999999999996,-0.044000000000000004,-0.040999999999999995,-0.076,0.11699999999999999,-0.013999999999999999,-0.023,-0.027999999999999997,0.106
Maine,-0.045,-0.13,-0.106,-0.11,-0.145,0.02,-0.10099999999999999,-0.147,-0.091,-0.048
Massachusetts,-0.028999999999999998,0.023,0.022000000000000002,0.035,0.019,-0.049,-0.07200000000000001,-0.121,-0.066,0.002
New Hampshire,-0.02,0.133,-0.096,-0.096,-0.10099999999999999,0.034,-0.139,-0.149,-0.142,-0.027000000000000003
Rhode Island,-0.016,-0.065,-0.054000000000000006,-0.040999999999999995,-0.013000000000000001,-0.005,0.001,-0.038,-0.003,0.152
Vermont,0.324,0.4,0.187,0.192,0.01,0.434,0.17,0.034,0.20199999999999999,0.439
New Jersey,-0.042,0.025,0.057999999999999996,0.069,-0.077,-0.027000000000000003,-0.052000000000000005,-0.096,-0.042,-0.038
New York,-0.011000000000000001,0.027999999999999997,0.019,0.035,-0.065,0.013000000000000001,-0.038,-0.09699999999999999,-0.027000000000000003,-0.057999999999999996
Pennsylvania,0.002,-0.006,0.031,0.040999999999999995,-0.049,0.027000000000000003,-0.039,-0.102,-0.033,0.075
Illinois,0.12300000000000001,0.39799999999999996,-0.004,0.009000000000000001,0.184,0.105,0.021,0.024,0.01,0.125
Indiana,0.057999999999999996,0.18600000000000003,0.048,0.054000000000000006,0.035,0.067,-0.001,-0.009000000000000001,-0.008,0.08800000000000001
Michigan,0.09300000000000001,0.022000000000000002,0.062,0.069,-0.08900000000000001,0.155,-0.008,-0.02,-0.016,0.073
Ohio,0.015,0.253,0.027000000000000003,0.038,-0.006999999999999999,0.02,-0.013999999999999999,-0.044000000000000004,-0.016,0.131
Wisconsin,0.006999999999999999,-0.046,0.096,0.10099999999999999,-0.10099999999999999,0.048,-0.021,-0.009000000000000001,-0.015,-0.094
Iowa,0.057,-0.027000000000000003,0.035,0.051,0.09300000000000001,0.055999999999999994,0.011000000000000001,0.004,0.001,0.13699999999999998
Kansas,-0.037000000000000005,-0.11900000000000001,-0.221,-0.20800000000000002,-0.083,0.015,-0.021,-0.08,-0.006,-0.01
Minnesota,0.006,-0.24100000000000002,0.012,0.031,-0.011000000000000001,0.017,-0.035,-0.036000000000000004,-0.045,0.094
Missouri,0.045,0.068,-0.006999999999999999,0.013999999999999999,0.028999999999999998,0.055,-0.019,-0.068,-0.018000000000000002,0.076
Nebraska,0.07400000000000001,-0.21,0.12300000000000001,0.139,-0.048,0.10400000000000001,0.013000000000000001,0.0,-0.005,0.179
North Dakota,-0.024,-0.28600000000000003,-0.125,-0.102,0.138,-0.009000000000000001,-0.018000000000000002,-0.016,-0.039,0.133
South Dakota,0.09699999999999999,-0.182,0.018000000000000002,0.033,0.265,0.10099999999999999,0.024,0.01,0.005,0.258
Delaware,0.018000000000000002,-0.09699999999999999,-0.147,-0.14,0.096,0.008,0.031,0.047,0.012,0.27399999999999997
District of Columbia,-0.038,-0.142,0.077,0.099,-0.071,-0.018000000000000002,0.04,-0.205,0.086,-0.08900000000000001
Florida,-0.053,0.067,0.006,0.024,-0.046,-0.064,-0.028999999999999998,-0.08199999999999999,-0.024,0.061
Georgia,0.054000000000000006,0.095,0.077,0.079,-0.027000000000000003,0.095,-0.02,-0.071,-0.005,-0.013000000000000001
Maryland,0.008,-0.106,0.023,0.047,0.018000000000000002,0.003,-0.036000000000000004,-0.066,-0.017,-0.11800000000000001
North Carolina,0.087,0.311,0.1,0.106,0.057999999999999996,0.092,0.006999999999999999,-0.036000000000000004,0.013999999999999999,0.14
South Carolina,0.018000000000000002,-0.10099999999999999,-0.021,-0.003,0.022000000000000002,0.026000000000000002,-0.012,-0.055999999999999994,-0.006,0.062
Virginia,0.096,0.24100000000000002,0.095,0.11199999999999999,0.077,0.098,-0.009000000000000001,-0.071,-0.011000000000000001,0.19399999999999998
West Virginia,0.025,-0.047,-0.075,-0.051,-0.08,0.057999999999999996,-0.031,-0.018000000000000002,-0.048,0.11900000000000001
Alabama,0.128,0.17,-0.059000000000000004,-0.044000000000000004,0.016,0.183,-0.01,-0.034,-0.016,0.134
Kentucky,0.043,0.187,-0.002,0.008,0.017,0.07,-0.004,-0.075,-0.01,0.255
Mississippi,0.024,-0.059000000000000004,0.10300000000000001,0.063,0.037000000000000005,0.001,-0.036000000000000004,-0.068,-0.025,0.012
Tennessee,0.031,0.163,-0.031,-0.02,0.042,0.033,-0.032,-0.079,-0.035,0.16
Arkansas,0.044000000000000004,0.14300000000000002,0.067,0.084,0.001,0.046,0.003,0.04,-0.028999999999999998,0.22899999999999998
Louisiana,0.052000000000000005,0.126,0.048,0.066,0.003,0.065,-0.021,-0.022000000000000002,-0.027999999999999997,0.062
Oklahoma,0.054000000000000006,0.021,0.044000000000000004,0.064,0.048,0.057999999999999996,0.026000000000000002,0.011000000000000001,0.015,0.147
Texas,0.069,0.122,0.085,0.10300000000000001,0.044000000000000004,0.078,-0.013000000000000001,-0.027999999999999997,-0.013000000000000001,0.023
Arizona,0.165,0.242,0.057999999999999996,0.081,0.109,0.201,-0.004,-0.006999999999999999,-0.013999999999999999,0.09699999999999999
Colorado,0.094,0.179,0.068,0.081,0.064,0.111,0.054000000000000006,0.018000000000000002,0.036000000000000004,0.22399999999999998
Idaho,0.079,0.531,0.023,0.040999999999999995,0.115,0.085,0.015,0.032,0.002,0.11
Montana,0.053,-0.053,0.01,0.022000000000000002,0.267,0.047,0.026000000000000002,0.012,0.016,0.132
Nevada,-0.009000000000000001,0.258,0.027000000000000003,0.049,0.008,-0.027000000000000003,-0.013999999999999999,-0.157,0.013999999999999999,0.161
New Mexico,0.069,0.188,-0.08199999999999999,-0.083,0.10099999999999999,0.086,0.061,0.012,0.027999999999999997,0.359
Utah,0.038,0.263,-0.10800000000000001,-0.105,0.16,0.055999999999999994,0.003,0.018000000000000002,-0.009000000000000001,0.076
Wyoming,0.1,0.25,0.19899999999999998,0.21,0.0,0.087,0.027999999999999997,0.005,0.01,0.35100000000000003
Alaska,0.107,-0.11900000000000001,0.17,0.168,0.11699999999999999,0.09300000000000001,0.196,0.154,0.165,0.494
California,0.047,0.037000000000000005,0.07,0.087,0.036000000000000004,0.051,-0.022000000000000002,-0.046,-0.03,0.034
Hawaii,0.251,0.207,0.151,0.17,-0.084,0.474,-0.057999999999999996,-0.11599999999999999,-0.062,0.04
Oregon,0.013999999999999999,0.027000000000000003,0.043,0.057,0.053,-0.006,0.013000000000000001,-0.09,0.009000000000000001,0.233
Washington,0.07400000000000001,-0.106,0.10800000000000001,0.126,0.037000000000000005,0.086,0.021,-0.038,0.01,0.19699999999999998
