State,Year,Population,ViolentCrime,Murder,RapeNew,RapeOld,Robbery,Assault,PropertyCrime,Burglary,LarcenyTheft,VehicleTheft
Connecticut,2015,3584730,7938.0,116.0,798.0,585.0,2925.0,4099.0,65610.0,10286.0,48898.0,6426.0
Connecticut,2016,3576452,8123.0,78.0,763.0,561.0,2703.0,4579.0,64664.0,10045.0,47512.0,7107.0
Maine,2015,1329453,1726.0,23.0,461.0,337.0,311.0,931.0,24361.0,4694.0,18853.0,814.0
Maine,2016,1331479,1648.0,20.0,412.0,300.0,266.0,950.0,21912.0,4003.0,17134.0,775.0
Massachusetts,2015,6784240,26453.0,131.0,2082.0,1538.0,5266.0,18974.0,114547.0,21826.0,84676.0,8045.0
Massachusetts,2016,6811779,25677.0,134.0,2128.0,1592.0,5365.0,18050.0,106339.0,19193.0,79088.0,8058.0
New Hampshire,2015,1330111,2692.0,15.0,644.0,468.0,475.0,1558.0,23453.0,3482.0,19076.0,895.0
New Hampshire,2016,1334795,2637.0,17.0,582.0,423.0,427.0,1611.0,20194.0,2963.0,16360.0,871.0
Rhode Island,2015,1055607,2565.0,31.0,467.0,342.0,547.0,1520.0,20038.0,3938.0,14714.0,1386.0
Rhode Island,2016,1056426,2524.0,29.0,442.0,328.0,540.0,1513.0,20058.0,3788.0,14674.0,1596.0
Vermont,2015,626088,747.0,10.0,150.0,104.0,105.0,482.0,9064.0,2034.0,6834.0,196.0
Vermont,2016,624594,989.0,14.0,178.0,124.0,106.0,691.0,10602.0,2103.0,8217.0,282.0
New Jersey,2015,8935421,22879.0,363.0,1373.0,1019.0,9729.0,11414.0,145701.0,27960.0,105963.0,11778.0
New Jersey,2016,8944469,21914.0,372.0,1453.0,1089.0,8984.0,11105.0,138152.0,25284.0,101540.0,11328.0
New York,2015,19747183,75126.0,613.0,6141.0,4414.0,23879.0,44493.0,317225.0,44117.0,257837.0,15271.0
New York,2016,19745289,74285.0,630.0,6260.0,4569.0,22316.0,45079.0,305181.0,39821.0,250968.0,14392.0
Pennsylvania,2015,12791904,40348.0,665.0,4299.0,3105.0,12965.0,22419.0,231941.0,39573.0,180236.0,12132.0
Pennsylvania,2016,12784227,40447.0,661.0,4433.0,3233.0,12326.0,23027.0,222795.0,35520.0,174228.0,13047.0
Illinois,2015,12839047,49755.0,754.0,4926.0,3602.0,15056.0,29019.0,256962.0,46846.0,192424.0,17692.0
