State,City,Latitude,Longitude,HotelName,StarRating,Description,HotelFacilities,Attractions,Address,ZipCode,PhoneNumber,HotelWebsiteUrl
Arizona,Benson,31.980305,-110.308658,Days Inn Benson,2.0,"""<p>HeadLine : Near San Pedro Golf Course</p><p>Location : Located in Benson", Days Inn by Wyndham Benson is within a 5-minute drive of San Pedro Golf Course and San Pedro Valley Arts and Historical Museum.  This hotel is 12.4 mi (19.9 km) from Kartchner Caverns State Park and 31.9 mi (51.3 km) from Fort Huachuca Military Base.</p><p>Rooms : Make yourself at home in one of the 60 air-conditioned rooms featuring refrigerators and microwaves. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have complimentary toiletries and hair dryers. Conveniences include desks and coffee/tea makers," and housekeeping is provided daily.</p><p>Dining : A complimentary continental breakfast is served daily from 6 AM to 9 AM.</p><p>Renovations : The following facilities are closed until further notice:<ul><li>Spa</li></ul></p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy. <br />Government-issued photo identification and a credit card are required at check-in for incidental charges. <br />Special requests are subject to availability upon check-in and may incur additional charges. Special requests cannot be guaranteed. <ul>  Please note that cultural norms and guest policies may differ by country and by property. The policies listed are provided by the property. </ul></p>""",Luggage storage 24-hour front desk Business center Free breakfast Laundry facilities Television in common areas Accessible bathroom Free self parking Roll-in shower Free WiFi Pool sun loungers In-room accessibility Outdoor pool Computer station Smoke-free property Multilingual staff RV  bus  truck parking,"""                            Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>San Pedro Golf Course - 1.3 km / 0.8 mi <br /> San Pedro Valley Arts and Historical Museum - 2.6 km / 1.6 mi <br /> VegaBray Observatory - 7.7 km / 4.8 mi <br /> Kartchner Caverns State Park - 19.9 km / 12.4 mi <br /> Gammons Gulch - 23 km / 14.3 mi <br /> Amerind Foundation Museum - 26.6 km / 16.5 mi <br /> Cienega Creek Natural Preserve - 34.9 km / 21.7 mi <br /> Boothill Graveyard - 40.1 km / 24.9 mi <br /> Tombstone Historic District - 40.7 km / 25.3 mi <br /> Allen Street - 40.7 km / 25.3 mi <br /> Doc Holliday s Gunfight Palace - 41 km / 25.5 mi <br /> Tombstone Courthouse State Historic Park - 41.1 km / 25.5 mi <br /> O.K. Corral - 41.1 km / 25.5 mi <br /> Tombstone Visitor and Information Center - 41.1 km / 25.5 mi <br /> Tombstone Epitaph Museum - 41.2 km / 25.6 mi <br /> </p><p>The preferred airport for Days Inn by Wyndham Benson is Tucson  AZ (TUS-Tucson Intl.) - 67.4 km / 41.9 mi </p>",
Arizona,Benson,31.98142,-110.30775,Copper Stay Inn,3.0,"""COPPER STAY INN Benson AZ I-10 Exit 304 is a 3-star property situated in Benson. With a seasonal outdoor swimming pool", the 3-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. Guests can enjoy mountain views.,,,,
Arizona,Bisbee,31.44168,-109.91597,Letson Loft,5.0,"""Letson Loft Hotel is offering accommodation in Bisbee. Boasting a shared kitchen", this property also provides guests with a terrace. The accommodation offers a concierge service and free WiFi throughout the property.,,,,,
Arizona,Bisbee,31.44231,-109.91472,Copper Queen Hotel,3.0,"""Featuring an outdoor pool", and a restaurant and bar on site, this hotel is located in Bisbee. Free WiFi access is available. Bisbee-Douglas International Airport is 30 minutes drive from the hotel.,,,,
Arizona,Bisbee,31.44177,-109.91886,The Inn at Castle Rock,3.0,"""Featuring tiled outdoor trails and built over the still-flowing Apache Springs Well", this historic hotel is less than 1 mile from downtown Bisbee. Free Wi-Fi is offered in all areas.,,,,,
Arizona,Bisbee,31.44155,-109.91695,Bisbee Grand Hotel,4.0,"""Offering a restaurant", historic Bisbee Grand Hotel is located in Bisbee. Free WiFi access is available. Tombstone is 25 minutes drive from the hotel.,,,,,
Arizona,Bisbee,31.45035,-109.93195,School House Inn Bed & Breakfast,5.0,"""Originally a historic school house built in 1918", School House Inn Bed & Breakfast is located in Bisbee. Breakfast is served daily. Bisbee Queen Mine Tours is 5 minutes drive from the property.,,,,,
Arizona,Bisbee,31.44199,-109.91543,Canyon Rose Suite Hotel,5.0,"""Located in the heart of Old Bisbee of the historic Allen Block Building", this non-smoking hotel offers suites with fully equipped kitchens.,,,,,
Arizona,Bisbee,31.44223,-109.91415,Hotel San Ramon,3.0,"""Hotel San Ramon is a 3-star property situated in Bisbee. Each accommodation at the 3-star hotel has city views and free WiFi. The accommodation features evening entertainment and a concierge service.",,,,,,
Arizona,Bisbee,31.44261,-109.91392,Bisbee Brownstone Suites,3.0,"""Located in Bisbee in the Arizona region", Bisbee Brownstone Suites provides accommodation with free WiFi.,,,,,
