State,City,Latitude,Longitude,HotelName,StarRating,Description,HotelFacilities,Attractions,Address,ZipCode,PhoneNumber,HotelWebsiteUrl
Arkansas,Arkadelphia,34.12167,-93.05758,Pioneer Inn Arkadelphia,2.0,"Located in Arkadelphia, Pioneer INN provides 2-star accommodation with private balconies. This 2-star hotel offers room service and a 24-hour front desk.

At the hotel, each room has a wardrobe. At Pioneer INN every room is equipped with air conditioning and a flat-screen TV.

Popular points of interest near the accommodation include Arkadelphia Station, Henderson State University and Ouachita Baptist University. The nearest airport is Hot Springs Memorial Field Airport, 54 km from Pioneer INN. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.",Parking Pets allowed Room service 24-hour front desk Non-smoking rooms Free parking Air conditioning parking on site Private parking use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay delivered food is securely covered,,115 North 10 Street ArkadelphiaArkansas 71923 ,71923,8702466792,http://www.pioneerinnarkadelphiaar.com
Arkansas,Arkadelphia,34.18823,-93.07102,Holiday Inn Express Arkadelphia Caddo Valley,2.0,"<p>HeadLine : In Arkadelphia</p><p>Location : When you stay at Holiday Inn Express Arkadelphia - Caddo Valley, an IHG Hotel in Arkadelphia, you ll be within a 10-minute drive of Arkadelphia Central Park and Baptist Health Medical Center - Arkadelphia.  This hotel is 26.5 mi (42.6 km) from Lake Catherine State Park and 28.8 mi (46.4 km) from Oaklawn Racing Casino Resort.</p><p>Rooms : Make yourself at home in one of the 83 air-conditioned rooms featuring refrigerators and plasma televisions. Your pillowtop bed comes with Egyptian cotton sheets. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have shower/tub combinations and hair dryers.</p><p>Dining : Enjoy a meal at the restaurant or snacks in the hotel s coffee shop/cafe. Quench your thirst with your favorite drink at the bar/lounge. A complimentary buffet breakfast is included.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Minimum Spring Break check-in age is 21 years old</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a carbon monoxide detector, a fire extinguisher, a smoke detector, a security system, a first aid kit, and window guards</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",Sauna Kayaking nearby Free self parking Conference space Wheelchair accessible path of travel Conference space size (feet) - 500 24-hour business center Gift shops or newsstand Dry cleaning/laundry service Free RV  bus  truck parking No single-use plastic straws Number of meeting rooms - 1 Conference space size (meters) - 46 Swimming pool Sailing nearby Free WiFi Number of bars/lounges - 1 Number of spa tubs - 1 Braille or raised signage Assistive listening devices available Number of indoor pools - 1 Water skiing nearby In-room accessibility (in select rooms) Bicycle rentals nearby Wheelchair accessible parking Roll-in shower (in select rooms) Accessible bathroom (in select rooms) Fireplace in lobby Free Buffet Breakfast Free breakfast Parasailing nearby Coffee/tea in common areas Number of coffee shops/cafes - 1 Laundry facilities Rafting nearby elevator Fitness facilities Sustainability/community reinvestment (10% revenue or more) Mountain biking nearby Wheelchair accessible Express check-in Television in common areas Free newspapers in lobby Luggage storage Express check-out Personal motorized watercraft on site 24-hour front desk Safe-deposit box at front desk Smoke-free property Hiking/biking trails nearby,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>De Gray Lake - 6 km / 3.7 mi <br /> Arkadelphia Central Park - 6.7 km / 4.1 mi <br /> Reynolds Science Center Planetarium - 7.6 km / 4.7 mi <br /> DeGray Lake Resort State Park - 7.9 km / 4.9 mi <br /> Turtle Pointe Golf Club - 8.5 km / 5.3 mi <br /> River Park Amphitheatre - 8.9 km / 5.5 mi <br /> Baptist Health Medical Center - Arkadelphia - 9 km / 5.6 mi <br /> Baptist Health-Arkadelphia - 9 km / 5.6 mi <br /> Arkadelphia Aquatic Park - 10.4 km / 6.4 mi <br /> College of the Ouachitas - 34.4 km / 21.4 mi <br /> Hot Spring County Library - 36.1 km / 22.4 mi <br /> Zip Lines at Ouachita Bend - 36.9 km / 22.9 mi <br /> Garvan Woodland Gardens - 38.5 km / 24 mi <br /> Baptist Health-Hot Spring County - 38.9 km / 24.1 mi <br /> Pirate s Cove Adventure Golf - 41.5 km / 25.8 mi <br /> </p><p>The nearest airports are:<br />Clinton National Airport Airport (LIT) - 104.2 km / 64.7 mi<br /> Hot Springs  AR (HOT-Memorial Field) - 51.2 km / 31.8 mi<br /> </p><p>The preferred airport for Holiday Inn Express Arkadelphia - Caddo Valley  an IHG Hotel is Clinton National Airport Airport (LIT). </p>,7 Frost Road Caddo ValleyArkansas 71923 ,71923,8704030880,http://www.hiexpress.com/hotels/us/en/caddo-valley/arkxs/hoteldetail
Arkansas,Arkadelphia,34.18242,-93.0709,Americas Best Value Inn Arkadelphia,2.0,"This hotel is located 5 minutes from downtown Arkadelphia, Arkansas and Henderson State University. It serves a daily continental breakfast and features spacious rooms with free Wi-Fi.

A microwave, refrigerator and coffee maker are standard in every room at the Americas Best Value Inn Arkadelphia. Decorated with warm colors and carpeted floors, all rooms include a cable TV and work desk.

Free access to the seasonal outdoor pool and hot tub is provided to all guests of the Arkadelphia Americas Best Value Inn. Laundry facilities and free parking are also available.

De Gray State Park is 1.7 miles from the hotel. Arkadelphia Country Club is 3.8 miles away. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Please note that there is a 15 USD per pet per night fee,

You must show a valid photo ID and credit card upon check-in. Please note that all special requests cannot be guaranteed and are subject to availability upon check-in. Additional charges may apply.",Parking Fire extinguishers Swimming pool Pets allowed 24-hour front desk Golf course (within 3 km) Non-smoking rooms Fishing Laundry Facilities for disabled guests Free parking internet services Canoeing Hiking Cycling Heating Fax/photocopying Horse riding wifi Free WiFi Air conditioning outdoor pool (seasonal) vending machine (drinks) parking on site electric vehicle charging station Accessible parking Swimming pool Key card access Smoke alarms CCTV in common areas CCTV outside property,,141 Valley Street ArkadelphiaArkansas 71923 ,71923,8702465855,https://www.booking.com/hotel/us/americas-best-value-inn-arkadelphia.html
Arkansas,Arkadelphia,34.181698,-93.070643,Economy Inn,2.0,"<p>HeadLine : In Arkadelphia</p><p>Location : With a stay at Economy Inn in Arkadelphia, you ll be within a 10-minute drive of Arkadelphia Central Park and De Gray Lake.  This hotel is 26 mi (41.8 km) from Lake Catherine State Park and 29.2 mi (47 km) from Oaklawn Racing Casino Resort.</p><p>Rooms : Make yourself at home in one of the 53 guestrooms. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Bathrooms with bathtubs are provided. Conveniences include desks, and rollaway/extra beds (surcharge) can be requested.</p><p>Dining : A complimentary continental breakfast is served daily from 6 AM to 10 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li><li>Safety features at this property include a smoke detector</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival.</p>",Wheelchair accessible (may have limitations) Wheelchair accessible Airport transportation Free wired Internet Wheelchair-accessible registration desk Free WiFi Designated smoking areas Number of outdoor pools - 1 Water skiing nearby Internet access in public areas - high speed Wheelchair accessible parking Parking onsite Accessible bathroom (in select rooms) RV  bus  truck parking Free continental breakfast Free breakfast Business center Personal motorized watercraft on site 24-hour front desk Daily Golfing nearby Outdoor seasonal pool Snorkeling nearby Coffee/tea in common areas Rafting nearby Free self parking,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Arkadelphia Central Park - 5.9 km / 3.6 mi <br /> De Gray Lake - 6.6 km / 4.1 mi <br /> Reynolds Science Center Planetarium - 6.8 km / 4.2 mi <br /> Turtle Pointe Golf Club - 7.7 km / 4.8 mi <br /> River Park Amphitheatre - 8.1 km / 5 mi <br /> DeGray Lake Resort State Park - 8.6 km / 5.3 mi <br /> Baptist Health Medical Center - Arkadelphia - 9.1 km / 5.7 mi <br /> Baptist Health-Arkadelphia - 9.1 km / 5.7 mi <br /> Arkadelphia Aquatic Park - 10.4 km / 6.5 mi <br /> College of the Ouachitas - 33.8 km / 21 mi <br /> Hot Spring County Library - 35.8 km / 22.3 mi <br /> Zip Lines at Ouachita Bend - 36.6 km / 22.7 mi <br /> Baptist Health-Hot Spring County - 38.6 km / 24 mi <br /> Pirate s Cove Adventure Golf - 38.9 km / 24.2 mi <br /> Lake Catherine State Park - 41.8 km / 26 mi <br /> </p><p>The nearest airports are:<br />Clinton National Airport Airport (LIT) - 103.9 km / 64.6 mi<br /> Hot Springs  AR (HOT-Memorial Field) - 48.6 km / 30.2 mi<br /> </p><p>The preferred airport for Economy Inn is Clinton National Airport Airport (LIT). </p>,137 Valley Drive ArkadelphiaArkansas 71923 ,71923,8702463031,http://www.daysinn.com/hotels/arkansas/arkadelphia/days-inn-arkadelphia/hotel-overview
Arkansas,Arkadelphia,34.17737,-93.07109,Super 8 By Wyndham Arkadelphia Caddo Valley Area,2.0,"<p>HeadLine : In Arkadelphia</p><p>Location : With a stay at Super 8 by Wyndham Arkadelphia Caddo Valley Area in Arkadelphia, you ll be 4.4 mi (7.1 km) from De Gray Lake and 24.7 mi (39.7 km) from Garvan Woodland Gardens.  This motel is 29.5 mi (47.5 km) from Oaklawn Racing Casino Resort.</p><p>Rooms : Make yourself at home in one of the 48 air-conditioned rooms featuring refrigerators and LED televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with bathtubs or showers feature complimentary toiletries and hair dryers. Conveniences include desks and microwaves, and housekeeping is provided daily.</p><p>Dining : A complimentary self-serve breakfast is served daily from 6:00 AM to 9:00 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li><li>Safety features at this property include a fire extinguisher and a smoke detector</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",Accessible bathroom (in select rooms) RV  bus  truck parking Free self parking Daily Braille or raised signage Well-lit path to entrance Golfing nearby In-room accessibility (in select rooms) Wheelchair accessible parking Stair-free path to entrance Laundry facilities Free self-serve breakfast Wheelchair accessible (may have limitations) Vending machine Free breakfast Wheelchair-accessible van parking Coin laundry on site 24-hour front desk Wheelchair-accessible registration desk Free WiFi Wheelchair-accessible public washroom No elevator (single level property) Designated smoking areas,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Arkadelphia Central Park - 5.4 km / 3.3 mi <br /> Reynolds Science Center Planetarium - 6.3 km / 3.9 mi <br /> De Gray Lake - 7.1 km / 4.4 mi <br /> Turtle Pointe Golf Club - 7.2 km / 4.5 mi <br /> River Park Amphitheatre - 7.6 km / 4.7 mi <br /> DeGray Lake Resort State Park - 9.1 km / 5.6 mi <br /> Baptist Health Medical Center - Arkadelphia - 9.6 km / 6 mi <br /> Baptist Health-Arkadelphia - 9.6 km / 6 mi <br /> Arkadelphia Aquatic Park - 10.9 km / 6.8 mi <br /> College of the Ouachitas - 34.3 km / 21.3 mi <br /> Hot Spring County Library - 36.3 km / 22.6 mi <br /> Zip Lines at Ouachita Bend - 37.1 km / 23 mi <br /> Baptist Health-Hot Spring County - 39.1 km / 24.3 mi <br /> Pirate s Cove Adventure Golf - 39.4 km / 24.5 mi <br /> Garvan Woodland Gardens - 39.7 km / 24.7 mi <br /> </p><p>The preferred airport for Super 8 by Wyndham Arkadelphia Caddo Valley Area is Hot Springs  AR (HOT-Memorial Field) - 49 km / 30.5 mi </p>,118 Valley I-30 Exit 78 I-30 Exit 78ArkadelphiaArkansas 71923-9633 ,71923,8702468585,http://www.super8.com/hotels/arkansas/arkadelphia/super-8-arkadelphia-caddo-valley-area/hotel-overview
Arkansas,Arkadelphia,34.181407,-93.072146,Motel 6 Arkadelphia,2.0,"<p>HeadLine : In the city center</p><p>Location : With a stay at Motel 6 Arkadelphia, AR, you ll be centrally located in Arkadelphia, within a 10-minute drive of Arkadelphia Central Park and De Gray Lake.  This motel is 26.1 mi (42 km) from Lake Catherine State Park and 29.3 mi (47.2 km) from Oaklawn Racing Casino Resort.</p><p>Rooms : Make yourself at home in one of the 58 guestrooms. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms with showers are provided. Conveniences include phones with free local calls, and housekeeping is provided daily.</p><p>Dining : Grab a bite from the snack bar/deli serving guests of Motel 6 Arkadelphia, AR.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards, debit cards, and cash</li><li>Safety features at this property include a fire extinguisher, a smoke detector, and a first aid kit</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",Free WiFi No elevator (single level property) Designated smoking areas In-room accessibility (in select rooms) Designated smoking areas (fines apply) Snack bar/deli Stair-free path to entrance Wheelchair accessible  no RV  bus  truck parking Free self parking 24-hour front desk,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Arkadelphia Central Park - 5.9 km / 3.7 mi <br /> De Gray Lake - 6.8 km / 4.2 mi <br /> Reynolds Science Center Planetarium - 6.8 km / 4.2 mi <br /> Turtle Pointe Golf Club - 7.8 km / 4.8 mi <br /> River Park Amphitheatre - 8.1 km / 5 mi <br /> DeGray Lake Resort State Park - 8.7 km / 5.4 mi <br /> Baptist Health Medical Center - Arkadelphia - 9.3 km / 5.8 mi <br /> Baptist Health-Arkadelphia - 9.3 km / 5.8 mi <br /> Arkadelphia Aquatic Park - 10.5 km / 6.5 mi <br /> College of the Ouachitas - 34.3 km / 21.3 mi <br /> Hot Spring County Library - 36 km / 22.3 mi <br /> Zip Lines at Ouachita Bend - 36.7 km / 22.8 mi <br /> Baptist Health-Hot Spring County - 38.7 km / 24.1 mi <br /> Pirate s Cove Adventure Golf - 39 km / 24.3 mi <br /> Garvan Woodland Gardens - 39.3 km / 24.5 mi <br /> </p><p>The preferred airport for Motel 6 Arkadelphia  AR is Hot Springs  AR (HOT-Memorial Field) - 48.7 km / 30.3 mi </p>,106 Crystal Palace Dr ArkadelphiaAR 71923 ,71923,8702466333,http://www.motel6.com/en/motels.ar.arkadelphia.425
Arkansas,Arkadelphia,34.18163,-93.06986,Quality Inn,2.0,"<p>HeadLine : In Arkadelphia</p><p>Location : Located in Arkadelphia, Quality Inn Arkadelphia - University Area is within a 10-minute drive of Arkadelphia Central Park and Baptist Health Medical Center - Arkadelphia.  This hotel is 26.3 mi (42.4 km) from Lake Catherine State Park and 29.2 mi (47.1 km) from Oaklawn Racing Casino Resort.</p><p>Rooms : Make yourself at home in one of the 47 air-conditioned rooms featuring refrigerators and microwaves. LCD televisions with cable programming provide entertainment, while complimentary wireless Internet access keeps you connected. Private bathrooms with shower/tub combinations feature complimentary toiletries and hair dryers. Conveniences include phones, as well as desks and coffee/tea makers.</p><p>Dining : A complimentary full breakfast is included.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",Dry cleaning/laundry service Free RV  bus  truck parking Free full breakfast Wheelchair accessible  no Luggage storage Free breakfast Business center 24-hour front desk Free wired Internet Free WiFi Playground on site Designated smoking areas Outdoor seasonal pool Assistive listening devices available Upper floors accessible by stairs only Safe-deposit box at front desk In-room accessibility (in select rooms) Laundry facilities Free newspapers in lobby Roll-in shower (in select rooms) Accessible bathroom (in select rooms) Free self parking 24-hour business center,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Arkadelphia Central Park - 6 km / 3.7 mi <br /> De Gray Lake - 6.7 km / 4.1 mi <br /> Reynolds Science Center Planetarium - 6.9 km / 4.3 mi <br /> Turtle Pointe Golf Club - 7.9 km / 4.9 mi <br /> River Park Amphitheatre - 8.2 km / 5.1 mi <br /> DeGray Lake Resort State Park - 8.6 km / 5.4 mi <br /> Baptist Health Medical Center - Arkadelphia - 9.1 km / 5.6 mi <br /> Baptist Health-Arkadelphia - 9.1 km / 5.6 mi <br /> Arkadelphia Aquatic Park - 10.4 km / 6.5 mi <br /> College of the Ouachitas - 34.2 km / 21.2 mi <br /> Hot Spring County Library - 35.8 km / 22.3 mi <br /> Zip Lines at Ouachita Bend - 36.6 km / 22.7 mi <br /> Baptist Health-Hot Spring County - 38.6 km / 24 mi <br /> Pirate s Cove Adventure Golf - 42.2 km / 26.2 mi <br /> Lake Catherine State Park - 42.4 km / 26.3 mi <br /> </p><p>The nearest airports are:<br />Clinton National Airport Airport (LIT) - 103.9 km / 64.6 mi<br /> Hot Springs  AR (HOT-Memorial Field) - 51.8 km / 32.2 mi<br /> </p><p>The preferred airport for Quality Inn Arkadelphia - University Area is Clinton National Airport Airport (LIT). </p>,136 Valley Street ArkadelphiaArkansas 71923-9633 ,71923,8702465592,https://www.choicehotels.com/arkansas/arkadelphia/quality-inn-hotels/ar279?source=pmftripblaw&pmf=tripbl
Arkansas,Arkadelphia,34.1798,-93.0713,Baymont by Wyndham Caddo Valley/Arkadelphia,2.0,"<p>HeadLine : In Arkadelphia</p><p>Location : Located in Arkadelphia, Baymont by Wyndham Caddo Valley/Arkadelphia is within a 10-minute drive of Arkadelphia Central Park and De Gray Lake.  This hotel is 26.2 mi (42.1 km) from Lake Catherine State Park and 29.4 mi (47.3 km) from Oaklawn Racing Casino Resort.</p><p>Rooms : Make yourself at home in one of the 53 air-conditioned rooms featuring refrigerators and flat-screen televisions. Your pillowtop bed comes with down comforters and Egyptian cotton sheets. Premium TV channels and DVD players are provided for your entertainment, while complimentary wireless Internet access keeps you connected. Private bathrooms with shower/tub combinations feature rainfall showerheads and complimentary toiletries.</p><p>Dining : A complimentary self-serve breakfast is served on weekdays from 5:00 AM to 9:00 AM and on weekends from 5:00 AM to 10:00 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards, debit cards, and cash</li><li>Safety features at this property include a carbon monoxide detector, a fire extinguisher, a smoke detector, a security system, a first aid kit, and window guards</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",Dry cleaning/laundry service Wheelchair accessible (may have limitations) Vending machine Wheelchair-accessible concierge desk Number of meeting rooms - 1 Swimming pool Wheelchair-accessible registration desk Free WiFi In-room accessibility (in select rooms) Wheelchair accessible parking Free newspapers in lobby Roll-in shower (in select rooms) Accessible bathroom (in select rooms) RV  bus  truck parking Free self-serve breakfast Wheelchair-accessible lounge Free breakfast Express check-out Business center 24-hour front desk Daily Outdoor seasonal pool Safe-deposit box at front desk Smoke-free property Laundry facilities elevator Free self parking Fitness facilities Pool sun loungers,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Arkadelphia Central Park - 5.7 km / 3.5 mi <br /> Reynolds Science Center Planetarium - 6.6 km / 4.1 mi <br /> De Gray Lake - 6.9 km / 4.3 mi <br /> Turtle Pointe Golf Club - 7.5 km / 4.7 mi <br /> River Park Amphitheatre - 7.9 km / 4.9 mi <br /> DeGray Lake Resort State Park - 8.9 km / 5.5 mi <br /> Baptist Health Medical Center - Arkadelphia - 9.4 km / 5.8 mi <br /> Baptist Health-Arkadelphia - 9.4 km / 5.8 mi <br /> Arkadelphia Aquatic Park - 10.7 km / 6.6 mi <br /> College of the Ouachitas - 34.1 km / 21.2 mi <br /> Hot Spring County Library - 36.1 km / 22.4 mi <br /> Zip Lines at Ouachita Bend - 36.9 km / 22.9 mi <br /> Baptist Health-Hot Spring County - 38.9 km / 24.1 mi <br /> Pirate s Cove Adventure Golf - 39.2 km / 24.3 mi <br /> Garvan Woodland Gardens - 39.5 km / 24.5 mi <br /> </p><p>The nearest airports are:<br />Clinton National Airport Airport (LIT) - 104.2 km / 64.7 mi<br /> Hot Springs  AR (HOT-Memorial Field) - 48.8 km / 30.3 mi<br /> </p><p>The preferred airport for Baymont by Wyndham Caddo Valley/Arkadelphia is Clinton National Airport Airport (LIT). </p>,100 Crystal Palace A ,71923,8702463800,http://www.comfortinn.com/hotel-arkadelphia-arkansas-AR084
Arkansas,Arkadelphia,34.182602,-93.069,Hampton Inn Arkadelphia,2.0,"<p>HeadLine : In Arkadelphia</p><p>Location : With a stay at Hampton Inn Arkadelphia in Arkadelphia, you ll be within a 10-minute drive of Arkadelphia Central Park and Baptist Health Medical Center - Arkadelphia.  This hotel is 26.3 mi (42.4 km) from Lake Catherine State Park and 29.2 mi (47.1 km) from Oaklawn Racing Casino Resort.</p><p>Rooms : Make yourself at home in one of the 80 air-conditioned rooms featuring refrigerators and microwaves. Wired and wireless Internet access is complimentary, while 37-inch flat-screen televisions with cable programming provide entertainment. Conveniences include desks and complimentary newspapers, as well as phones with free local calls.</p><p>Dining : A complimentary breakfast is included.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",Dry cleaning/laundry service Wheelchair accessible (may have limitations) Wheelchair accessible Wheelchair-accessible van parking Number of meeting rooms - 1 Wheelchair-accessible path to elevator Swimming pool Free wired Internet Wheelchair-accessible registration desk Wheelchair-accessible fitness center Free WiFi Wheelchair-accessible pool Designated smoking areas Well-lit path to entrance Assistive listening devices available Number of indoor pools - 1 In-room accessibility (in select rooms) Wheelchair accessible parking Stair-free path to entrance Free newspapers in lobby Roll-in shower (in select rooms) Accessible bathroom (in select rooms) Luggage storage Free breakfast Express check-out Business center 24-hour front desk Wheelchair-accessible meeting spaces/business center Coffee/tea in common areas Designated smoking areas (fines apply) Laundry facilities elevator Free self parking Fitness facilities Computer station Wheelchair accessible path of travel,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Arkadelphia Central Park - 6.2 km / 3.8 mi <br /> De Gray Lake - 6.7 km / 4.1 mi <br /> Reynolds Science Center Planetarium - 7.1 km / 4.4 mi <br /> Turtle Pointe Golf Club - 8 km / 5 mi <br /> River Park Amphitheatre - 8.4 km / 5.2 mi <br /> DeGray Lake Resort State Park - 8.6 km / 5.4 mi <br /> Baptist Health Medical Center - Arkadelphia - 9.1 km / 5.6 mi <br /> Baptist Health-Arkadelphia - 9.1 km / 5.6 mi <br /> Arkadelphia Aquatic Park - 10.4 km / 6.5 mi <br /> College of the Ouachitas - 34.2 km / 21.2 mi <br /> Hot Spring County Library - 35.8 km / 22.3 mi <br /> Zip Lines at Ouachita Bend - 36.6 km / 22.7 mi <br /> Baptist Health-Hot Spring County - 38.6 km / 24 mi <br /> Pirate s Cove Adventure Golf - 42.2 km / 26.2 mi <br /> Lake Catherine State Park - 42.4 km / 26.3 mi <br /> </p><p>The nearest airports are:<br />Clinton National Airport Airport (LIT) - 103.9 km / 64.6 mi<br /> Hot Springs  AR (HOT-Memorial Field) - 51.8 km / 32.2 mi<br /> </p><p>The preferred airport for Hampton Inn Arkadelphia is Clinton National Airport Airport (LIT). </p>,108 Malvern Rd ArkadelphiaArkansas 71923 ,71923,8704030800,http://hamptoninn3.hilton.com/en/hotels/arkansas/hampton-inn-arkadelphia-ARKARHX/index.html
Arkansas,Arkadelphia,34.18368,-93.07068,Econo Lodge,2.0,"<p>HeadLine : In Arkadelphia</p><p>Location : Located in Arkadelphia, Econo Lodge is within a 10-minute drive of Arkadelphia Central Park and Baptist Health Medical Center - Arkadelphia.  This motel is 26.2 mi (42.1 km) from Lake Catherine State Park and 29.1 mi (46.8 km) from Oaklawn Racing Casino Resort.</p><p>Rooms : Make yourself at home in one of the 100 guestrooms featuring DVD players and flat-screen televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with shower/tub combinations feature complimentary toiletries and hair dryers. Conveniences include coffee/tea makers and irons/ironing boards, as well as phones with free local calls.</p><p>Dining : A complimentary buffet breakfast is included.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a smoke detector</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",Luggage storage Free breakfast 24-hour front desk Free WiFi Designated smoking areas Braille or raised signage Outdoor seasonal pool Assistive listening devices available Safe-deposit box at front desk Picnic area In-room accessibility (in select rooms) Coffee/tea in common areas Wheelchair accessible parking Laundry facilities Free newspapers in lobby Accessible bathroom (in select rooms) RV  bus  truck parking Free self parking Fitness facilities Wheelchair accessible path of travel Free Buffet Breakfast,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Arkadelphia Central Park - 6.1 km / 3.8 mi <br /> De Gray Lake - 6.4 km / 4 mi <br /> Reynolds Science Center Planetarium - 7 km / 4.3 mi <br /> Turtle Pointe Golf Club - 7.9 km / 4.9 mi <br /> River Park Amphitheatre - 8.3 km / 5.2 mi <br /> DeGray Lake Resort State Park - 8.4 km / 5.2 mi <br /> Baptist Health Medical Center - Arkadelphia - 8.8 km / 5.5 mi <br /> Baptist Health-Arkadelphia - 8.8 km / 5.5 mi <br /> Arkadelphia Aquatic Park - 10.2 km / 6.3 mi <br /> College of the Ouachitas - 33.9 km / 21.1 mi <br /> Hot Spring County Library - 35.6 km / 22.1 mi <br /> Zip Lines at Ouachita Bend - 36.4 km / 22.6 mi <br /> Baptist Health-Hot Spring County - 38.4 km / 23.8 mi <br /> Pirate s Cove Adventure Golf - 41.9 km / 26.1 mi <br /> Lake Catherine State Park - 42.1 km / 26.2 mi <br /> </p><p>The nearest airports are:<br />Clinton National Airport Airport (LIT) - 103.7 km / 64.4 mi<br /> Hot Springs  AR (HOT-Memorial Field) - 51.6 km / 32.1 mi<br /> </p><p>The preferred airport for Econo Lodge is Clinton National Airport Airport (LIT). </p>,150 Valley Street Caddo Valley ArkadelphiaArkansas 71923 ,71923,8704641570,https://www.choicehotels.com/arkansas/arkadelphia/econo-lodge-hotels/ar143?source=gyxt
