State,City,Latitude,Longitude,HotelName,StarRating,Description,HotelFacilities,Attractions,Address,ZipCode,PhoneNumber,HotelWebsiteUrl
California,Ahwahnee,37.40317,-119.73041,Sierra Mountain Lodge,5.0,"""This Ahwahnee", California Vacation Rental Property is situated in the Sierra Mountains and is 22 miles away from the Southern Entrance of Yosemite National Park. It offers spacious 1 bedroom, 2 bedroom & studios.  All include private entries, king or queen beds, quality linens & kitchenettes. All suites include an indoor & outdoor dining area.,,
California,Ahwahnee,37.36355,-119.70007,Sierra Meadows,3.0,"""Set 34 km from Yosemite South Entrance", Sierra Meadows offers free bikes, a seasonal outdoor swimming pool and air-conditioned accommodation with a patio and free WiFi.,,,,
California,Alameda,37.76366,-122.25178,Alameda Island House,5.0,"""Built in 1898", this charming Victorian apartment is located in Alameda just 7 minutes walk from the restaurants and antique shops on Park Street. San Francisco Airport is located 20 km away.,,,,,
California,Alameda,37.76386,-122.25166,Island Cottage your home away from home,5.0,"""Located 14 km from San Francisco", Alameda Cottage offers accommodation in Alameda. Alameda Cottage features views of the garden and is 12 km from Berkeley.,,,,,
California,Alturas,41.49457,-120.54113,Hacienda Motel,2.0,"""Located in Alturas", Hacienda Motel offers rooms with free Wi-Fi. Modoc National Wildlife Refuge is 2.9 km away. Free guest parking is available.,,,,,
California,Alturas,41.49957,-120.53116,Rim Rock Motel Alturas,2.0,"""This hotel is one mile from downtown Alturas and is 2.5 miles from the Modoc National Wildlife Refuge. The hotel offers a free airport shuttle and rooms with free Wi-Fi.",,,,,,
California,Alturas,41.48263,-120.54232,Hotel Niles,3.0,"""Featuring a coffee shop", restaurant and saloon on-site, this Alturas hotel built in 1908 features guest rooms with free WiFi. A free breakfast of coffee and pastries is included.,,,,
California,Anaheim,33.82064,-117.99352,Motel Moonlight,2.0,"""Located in a residential area of Anaheim", Moonlight offers modern accommodation with parking. It features an outdoor swimming pool with sun terrace and air-conditioned rooms with cable TV channels.,,,,,
California,Anaheim,33.82617,-117.99314,Pacific Inn Anaheim,3.0,"""Featuring 3-star accommodation", Pacific Inn Anaheim is set in Anaheim, 11 km from Anaheim Convention Center and 24 km from South Coast Plaza. Featuring a garden, the 3-star motel has air-conditioned rooms with free WiFi, each with a private bathroom. The property is non-smoking and is located 2.7 km from Knotts Berry Farm.,,
California,Anaheim,33.81766,-117.91441,Americas Best Value Astoria Inn & Suites,2.0,"""Just 15 minutes walk from the world famous Disneyland Resort", this motel offers bright, modern rooms including mini-fridges and coffee makers.,,,,
California,Anaheim,33.8035,-117.91766,Alpine Inn near Convention Center and the Park,2.0,"""Located just 1.6 km away from Disneyland", this Anaheim hotel features an outdoor heated swimming pool and free Wi-Fi.,,,,,
California,Anaheim,33.79669,-117.91482,Ramada by Wyndham Anaheim Convention Center ( Ex. Travelodge by Wyndham Anaheim Convention Center),2.0,"""Anaheim Convention Center is 0.5 miles walking distance from Ramada by Wyndham Anaheim Convention Center", and 0.8 miles walking distance from Disneyland.  This Anaheim hotel offers rooms with free Wi-Fi. free guest parking, and free continental breakfast.,,,,
California,Anaheim,33.8179,-117.92261,Budget Inn Anaheim near Disneyland Drive,2.0,"""Budget Inn Anaheim near Disneyland Drive is 10 minutes walk from Disneyland Resort. The non-smoking motel offers free WiFi and an outdoor swimming pool. The property provides coffee and danishes in the morning as well.",,,,,,
California,Anaheim,33.80876,-117.91506,Anaheim Desert Inn & Suites,3.0,"""Featuring an indoor pool and hot tub", this hotel is located directly across the street from the Disneyland Resort Main Gate Entrance and just 10 minutes walk from the Anaheim Convention Center.,,,,,
California,Anaheim,33.810402,-117.913974,Carousel Inn And Suites,3.0,"""Just a hop", skip and a jump away from the thrilling rides and lovely characters of the Disneyland Resort, the attractive boutique hotel Carousel Inn And Suites is conveniently situated in Anaheim. A multitude of restaurants can be found in the vicinity, and the Anaheim Convention Center as well as the Garden Walk mall can be reached within a short stroll. Other attractions such as Knott's Berry Farm, Legoland or the Angels Stadium are within easy reach.,,
California,Anaheim,33.807832,-117.915204,Grand Legacy At The Park,3.0,"""This hotel is across the street from the Disneyland? Resort pedestrian entrance and 3 street blocks from the Anaheim Convention Center.",,,,,,
California,Anaheim,33.79255,-117.93888,Castle House - Wonderland House,5.0,"""Situated in Anaheim", 3.5 km from Anaheim Convention Center and 5 km from Disney California Adventure, The Wonderland House offers air conditioning. Boasting a private pool, the holiday home is in an area where guests can engage in activities such as skiing and cycling.,,,
California,Anaheim,33.82057,-117.91554,Frontier Motel,2.0,"""Featuring 2-star accommodation", Frontier Motel is set in Anaheim, 2.7 km from Disney California Adventure and 2.8 km from Anaheim Convention Center. Featuring an outdoor swimming pool, the 2-star motel has air-conditioned rooms with free WiFi, each with a private bathroom. Knotts Berry Farm is 10 km from the motel and South Coast Plaza is 17 km away.,,
California,Anaheim,33.82048,-117.9266,The Neverending Story Home,,"""Offering an outdoor pool", The Neverending Story Home is located in Anaheim. Free WiFi access is available in this holiday home. Free on-site parking is provided.,,,,,
California,Anaheim,33.82528,-117.91944,Magic Forest Disney Theme Home,3.0,"""Located just 5 minutes drive from Disneyland Resort", this Disney theme four-bedroom Anaheim house features an outdoor swimming pool. Free Wi-Fi is offered throughout the home.,,,,,
California,Anaheim,33.85173,-117.90514,Disneyland Tropical Paradise Vacation Home,,"""Located 10 minutes drive away from Disneyland Resort", this four-bedroom house features a private pool and hot tub. Free Wi-Fi and a furnished outdoor terrace is provided.,,,,,
California,Anaheim,33.82637,-117.99308,Best Budget Inn Anaheim,2.0,"""Located 9 km from Disneyland", this Anaheim motel offers guest rooms with free Wi-Fi.  It features a 24-hour reception.  Free guest parking is available.,,,,,
California,Anaheim,33.83185,-117.98984,Welcome Inn & Suites Anaheim,2.0,"""Located 13 minutes drive from Disneyland", this Anaheim motel features a 24-hour reception service.  Guests can enjoy a TV included in each room.,,,,,
California,Anaheim,33.81861,-117.99352,Robinhood Motel,2.0,"""Situated in Anaheim", 3.8 km from Knotts Berry Farm, Robinhood Motel features accommodation with free WiFi and free private parking. The property is around 9.4 km from Anaheim Convention Center, 22 km from South Coast Plaza and 27 km from Queen Mary. Fashion Island is 31 km from the motel and Battleship Iowa Museum is 35 km away.,,,
California,Anaheim,33.82609,-117.91036,Super 7 Motel,5.0,"""Situated in Anaheim", 3.9 km from Anaheim Convention Center, Super 7 Motel features accommodation with free WiFi and free private parking. The property is around 10 km from Knotts Berry Farm, 17 km from South Coast Plaza and 30 km from Fashion Island. The motel has family rooms.,,,
California,Anaheim,33.8394332,-117.89588370000001,Anchor Motel,2.0,,Internet access services and conveniences getting around,,1538 East Lincoln Avenue AnaheimCalifornia 92805-2287 ,92805,,https://www.booking.com/hotel/us/anchor-motel-anaheim.html
California,Anaheim,33.80946,-117.93507,The Pirate's Cove 5 Br Home,5.0,"""The Pirates Cove in Anaheim provides accommodation with free WiFi", 3.2 km from Disneyland, 3.2 km from Anaheim Convention Center and 3.6 km from Disney California Adventure. Boasting a private pool, the holiday home is in an area where guests can engage in activities such as skiing and cycling.,,,
California,Anaheim,33.7975,-117.92023,Temple of Doom 3 Br Condo,5.0,"""Temple of Doom offers accommodation in Anaheim", 1.6 km from Anaheim Convention Center and 3 km from Disney California Adventure. The accommodation is 3.7 km from the Disneyland.,,,,,
California,Anaheim,33.82633,-117.89496,California Dreamin' 6 Br Home,5.0,"""Situated in Anaheim", California Dreamin provides accommodation with a private pool and free WiFi. This holiday home is 7 km from Disney California Adventure and 4.2 km from Angel Stadium of Anaheim.,,,,,
California,Anaheim,33.84003,-117.93364,Pirate's Lair 7 Br Home,5.0,"""Pirates Lair in Anaheim offers accommodation with free WiFi", 6 km from Disneyland, 6 km from Anaheim Convention Center and 8 km from Disney California Adventure. Boasting a private pool, the holiday home is in an area where guests can engage in activities such as skiing and cycling.,,,
