State,City,Latitude,Longitude,HotelName,StarRating,Description,HotelFacilities,Attractions,Address,ZipCode,PhoneNumber,HotelWebsiteUrl
Colorado,Alamosa,37.67673,-106.5933,Ute Bluff Lodge Cabins & Rv Park,2.0,"""Set 34 km from Wolf Creek Ski Resort", Ute Bluff Lodge, Cabins & RV Park offers 2-star accommodation in South Fork and features a garden. With free WiFi, this 2-star motel offers a shared kitchen and a shared lounge. The motel has a ski pass sales point.,,,
Colorado,Alamosa,37.47203,-105.88674,Valley Motel,2.0,"""Located off Highway 160", this budget Alamosa, Colorado motel offers a daily hot breakfast and rooms with free Wi-Fi. Adams State College is 3 minutes drive away.,,,,
Colorado,Alamosa,37.06783,-106.01299,Narrow Gauge Railroad Inn,3.0,"""Offering free WiFi", this motel is located in Antonito. All rooms are equipped with a cable TV. Cumbres & Toltec Scenic Railroad Depot is adjacent to the motel.,,,,,
Colorado,Alamosa,37.67867,-106.35424,Windsor Hotel & Restaurant,3.0,"""Featuring a restaurant and a bistro", this historic hotel is 20 minutes drive from Rio Grande Club Golf Course. All rooms are equipped with free Wi-Fi. Parking is provided on site.,,,,,
Colorado,Alamosa,37.67251,-106.6238,The Spruce Lodge,2.0,"""Located on Route 160 and less than 1 mile from downtown South Fork", this historic lodge features an on-site restaurant. Free WiFi and a complimentary continental breakfast are also provided. Free parking for large vehicles and trailers is provided.,,,,,
Colorado,Alamosa,37.07515,-106.00858,Steam Train Hotel,3.0,"""Steam Train Hotel is located in Antonito. Free Wi-Fi access is available.",,,,,,
Colorado,Alamosa,37.68118,-106.57076,Riverside Meadows Cabins,3.0,"""Offering discounted golfing at Rio Grande Club & Resort", Riverside Meadows Cabins is situated on the banks of the Rio Grand River. It features Gold Medal fishing on site and guests can enjoy free snowshoeing in the winter and free use of kayaks, rafts and inner tubes in the summer.,,,,
Colorado,Alamosa,37.58118,-106.14995,Rio Grande Motel,5.0,"""Rio Grande Motel is located in Monte Vista. The motel also provides free WiFi and free private parking.",,,,,,
Colorado,Alamosa,37.66893,-106.64282,Foothills Lodge and Cabins,5.0,"""This lodge is 30 km away from Wolf Creek Ski Area. Free Wi-Fi is offered.  A central hot tub", parking for boats, snow mobiles and ATVs is provided.,,,,
Colorado,Alamosa,37.47088,-105.85963,Riverside Inn Of Alamosa,1.0,"""Situated in Alamosa", Riverside Inn of Alamosa is an old motor court style motel situated off of highway 160. This property provides free WiFi.,,,,,
Colorado,Alamosa,37.672,-106.64519,South Fork Lodge,5.0,"""This hotel is 20 minutes drive from Wolf Creek Ski Area. Free Wi-Fi access is available. Parking is provided on site.",,,,,,
Colorado,Alamosa,37.57815,-106.7472,Wolf Creek Ranch Ski Lodge,3.0,This charming hotel is located in Pagosa Springs. Pets are not permitted on the premises.,Hotel,,US Highway 160 SOUTH FORK ,81154,7198735371,http://www.tripadvisor.de/Hotel_Review-g33654-d1967819-Reviews-Wolf_Creek_Ranch_Ski_Lodge-South_Fork
Colorado,Alamosa,37.6777,-106.59033,Rio Grande Retreate,5.0,"""Situated in South Fork", 34 km from Wolf Creek Ski Resort, Rio Grande Retreat features accommodation with a garden, free WiFi and an ATM. The property has mountain and river views.,,,
Colorado,Alamosa,37.67627,-106.63758,Artist's Retreat,5.0,"""Boasting mountain views", Artist Retreat provides accommodation with a patio and a coffee machine, around 33 km from Wolf Creek Ski Resort. Featuring a balcony, the holiday home is in an area where guests can engage in activities such as skiing and cycling.,,,
Colorado,Alamosa,37.66904,-106.64043,Four Seasons Lodge,3.0,"""Located in South Fork", 30 km from Wolf Creek Ski Resort, Four Seasons Lodge provides accommodation with free WiFi and a tennis court.,,,,
Colorado,Alamosa,37.07615,-106.007,Indiana Jones Bed And Breakfast,5.0,"""Located in Antonito in the Colorado region", Indiana Jones Bed and Breakfast provides accommodation with free WiFi and free private parking.,,,,,
Colorado,Alamosa,37.46479,-105.87656,The Sunset Inn,2.0,"""The Sunset Inn offers pet-friendly accommodation in Alamosa. Free WiFi is offered and free private parking is available on site. A complimentary breakfast buffet", consisting of hot and cold items, is served daily and coffee and tea are available 24 hours a day.,,,,
Colorado,Alma,40.10047,-99.37019,Super 8 By Wyndham Alma,2.0,"""Super 8 by Wyndham Alma is a 2-star property situated in Alma. This 2-star hotel offers room service", a 24-hour front desk and free WiFi. The hotel has an ATM machine and a fax machine and photocopier that guests can use.,,,,,
Colorado,Antonito,37.06783,-106.01299,Narrow Gauge Railroad Inn,3.0,"""Offering free WiFi", this motel is located in Antonito. All rooms are equipped with a cable TV. Cumbres & Toltec Scenic Railroad Depot is adjacent to the motel.,,,,,
Colorado,Antonito,37.07515,-106.00858,Steam Train Hotel,3.0,"""Steam Train Hotel is located in Antonito. Free Wi-Fi access is available.",,,,,,
Colorado,Antonito,37.07615,-106.007,Indiana Jones Bed And Breakfast,5.0,"""Located in Antonito in the Colorado region", Indiana Jones Bed and Breakfast provides accommodation with free WiFi and free private parking.,,,,,
Colorado,Aspen,39.18909,-106.82052,Prospector Condos,3.0,"""Featuring a mountain view from each apartment", this Aspen, Colorado accommodation is 5 minutes walk of the Aspen Gondola and downtown Aspen.,,,,
