State,City,Latitude,Longitude,HotelName,StarRating,Description,HotelFacilities,Attractions,Address,ZipCode,PhoneNumber,HotelWebsiteUrl
Florida,,27.5116,-82.72211,Mainsail Beach Inn,4.0,,,,Anna Maria Island Florida ,,8888492642,http://www.mainsailbeachinn.com/
Florida,Apalachicola,29.71646,-84.99615,Apalachicola Bay Inn,2.0,"""This Apalachicola Bay Inn is located 3.2 km from Central Apalachicola", public boat launch facilities, and marinas offering fishing charters and waterfront dining. Features include a boat parking, and free WiFi.,,,
Florida,Apalachicola,29.72593,-84.98352,The Gibson Inn,4.0,"""Built in 1907", The Gibson Inn is a historic 3-level in Apalachicola and listed in the National Registry of Historic Places. Features include an on-site restaurant, The Franklin, and rooms with free WiFi.,,,
Florida,Arcadia,27.20971,-81.86147,Economy Inn,1.0,"""Situated in Arcadia", 42 km from Fishermens Village, Economy Inn features accommodation with free WiFi and free private parking. The property is set 800 metres from Arcadia, 3.1 km from De Soto Memorial Hospital Heliport and 4.5 km from Arcadia Municipal Airport. The motel has family rooms.,,,
Florida,Arcadia,27.2296,-81.85278,Desoto Motel,5.0,"""Set in Arcadia", 45 km from Fishermens Village, Desoto Motel offers accommodation with free WiFi and free private parking. The property is located 600 metres from De Soto Memorial Hospital Heliport, 1.9 km from Arcadia and 3.8 km from Cubitis. The property is situated 8.6 km from Lansing and 10 km from McDonalds Field.,,,
Florida,Arcadia,27.21369,-81.83148,Big Tree RV Resort,5.0,"""Big Tree is situated in Arcadia. The property is 45 km from Punta Gorda", and complimentary private parking is available.,,,,,
Florida,Aventura,25.96725,-80.18394,Aventura Home by Flatsaway,5.0,"""This Miami", Florida holiday home is in the Ives Estates neighbourhood and 12 minutes drive from Sunny Isles Beach. Features include a full kitchen and free Wi-Fi.,,,,,
Florida,Aventura,25.95816,-80.13023,6 502 Amazing Water View,5.0,"""Situated in Aventura", 6-502 Amazing Water View - Three Bedrooms offers a terrace with city and sea views, as well as a year-round outdoor pool, fitness centre and hot tub. This apartment features free private parking, a 24-hour front desk and free WiFi.,,
Florida,Aventura,25.95637,-80.13007,Lovely 3 2 at the Yacht Club in Aventura,5.0,"""Boasting an outdoor swimming pool", a fitness centre, and a garden, Lovely 3/2 at the Yacht Club in Aventura features accommodation in Aventura with free WiFi and sea views. This property offers access to a balcony and free private parking.,,,
Florida,Aventura,25.9574,-80.12912,6 608 Amazing Penthouse water view with 2 suites,5.0,"""Situated in Aventura", 6-608 Amazing Penthouse water view with 2 suites offers a terrace with city and sea views, as well as a year-round outdoor pool, fitness centre and hot tub. This apartment has a garden, barbecue facilities, free WiFi and free private parking.,
