State,City,Latitude,Longitude,HotelName,StarRating,Description,HotelFacilities,Attractions,Address,ZipCode,PhoneNumber,HotelWebsiteUrl
Georgia,Adairsville,34.3682,-84.93233,Adair Manor Bed and Breakfast,3.0,"""Offering garden views", Adair Manor Bed & Breakfast in Adairsville offers accommodation, a restaurant and a shared lounge.,,,,
Georgia,Adel,31.06937,-83.49734,Live Oak Bed And Breakfast,5.0,"""Set in Adel", 30 km from Moultrie, Live Oak Bed and Breakfast offers a garden and free WiFi.,,,,
Georgia,Albany,31.22335,-84.19569,Western Motel Camilla,2.0,"""Located just 5 minutes drvie from Old Camilla Train Depot", this Georgia motel features free Wi-Fi and free parking to all guests.,,,,,
Georgia,Albany,31.52881,-83.81892,Days Inn Sylvester,5.0,"""Situated in Sylvester", Georgia region, Sylvester Inn is located 38 km from All American Fun Park.,,,,
Georgia,Albany,31.58971,-84.18826,Econo Lodge,2.0,"""Rodeway Inn is located less than 8 km from Albany State University", Darton College and Albany Civic Center Complex. The Albany Mall is 4.8 km away. This hotel is 6.4 km from the Southwest Georgia Regional Airport.,,,,,
Georgia,Albany,31.76185,-84.43621,Country Hearth Inn & Suites Dawson,3.0,"""This hotel features spacious rooms with free Wi-Fi and serves a daily continental breakfast. It is a 3-minute drive from downtown Dawson", Georgia and Dawson Country Club.,,,,,
Georgia,Albany,31.6192,-84.17792,Kings Inn Albany,2.0,"""This motel is located in Albany", Georgia just 600 m from All American Fun Park and 8 minutes drive from Chehaw Park. It offers an outdoor swimming pool.,,,,,
Georgia,Albany,31.622,-84.22586,InTown Suites Albany,2.0,"""InTown Suites Extended Stay Albany GA is a 2-star property located in Albany.",,,,,,
Georgia,Albany,31.22081,-84.19031,Camilla Inn & Suites,2.0,"""The Camilla Inn and Suites is located 1 mile outside Camilla city centre and 35 minutes drive from the Flint River Aquarium. This hotel offers a continental breakfast.",,,,,,
Georgia,Albany,31.57567,-84.17213,Oglethorpe Motel,2.0,"""Located in Albany", Georgia region, Oglethorpe Motel is set 5 km from All American Fun Park. The property provides a 24-hour front desk and free WiFi is available throughout the property.,,,,
Georgia,Alpharetta,34.08762,-84.25814,Hilton Alpharetta Atlanta,3.0,"""Hilton Alpharetta Atlanta has a fitness centre", shared lounge, a terrace and restaurant in Alpharetta. Featuring a seasonal outdoor swimming pool, the 3-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. The accommodation features room service and a 24-hour front desk for guests.,,
Georgia,Alpharetta,34.1125,-84.22352,Embassy Suites By Hilton Alpharetta Halcyon,5.0,"""Situated in Alpharetta", 38 km from Atlanta History Center, Embassy Suites By Hilton Alpharetta Halcyon features accommodation with a fitness centre, private parking, a shared lounge and a restaurant. The property is around 41 km from Truist Park, 42 km from Cobb Energy Centre and 44 km from Atlanta Botanical Garden. The hotel provides an indoor pool and room service and free WiFi throughout the property.,
Georgia,Athens,33.98113,-83.37781,Bull Dog Inn Athens,2.0,"""The Athens Bull Dog Inn is just 10 minutes drive from Athens city centre and the University of Georgia. This motel offers a microwave and refrigerator in each room as well as free Wi-Fi.",,,,,,
Georgia,Athens,33.93909,-83.45253,Budget Host Athens,2.0,"""Located off Highway 78", this hotel Is between Athens West Shopping Center and Clarke Crossing Shopping Center.  It offers quiet, comfortable and clean rooms.  Pet-friendly guest rooms include free WiFi and a flat-screen TV.,,,,
Georgia,Athens,33.94068,-83.46956,Perimeter Inn Athens,2.0,"""Located 5 miles west of Athens", Georgia, this motel is less than a 10-minute drive from the Jennings Mill Golf Course. It offers a continental breakfast and free Wi-Fi.,,,,
Georgia,Athens,33.95694,-83.37899,Georgia Gameday Center,,"""The 5-star Georgia Gameday Center features spacious one to two-bedroom suites with a private balcony. Located in Athens city centre", it offers free transfer service within a 15-mile radius and a fitness centre.,,,,,
Georgia,Athens,33.7948,-83.7132,Haven Inn & Suites,2.0,"""Haven Inn & Suites offers accommodation in Monroe. The property features free private parking and free WiFi.",,,,,,
Georgia,Athens,34.24801,-83.46041,Scottish Inns Commerce,2.0,"""Situated in Commerce", 37 km from The Georgia Theatre, Scottish Inns - Commerce features rooms with air conditioning. With free WiFi, this 2-star motel offers room service and a 24-hour front desk. Georgia Museum of Art is 38 km away and Athens Arena is 45 km from the motel.,,,
Georgia,Athens,33.92208,-83.38065,InTown Suites Athens,2.0,"""Featuring 2-star accommodation", InTown Suites Extended Stay Athens GA - University of Georgia is situated in Athens, 3.1 km from Georgia Museum of Art and 3.3 km from State Botanical Garden of Georgia. The property is around 3.4 km from University of Georgia Performing Art Center, 3.9 km from Sanford Stadium and 4.9 km from The Georgia Theatre. Original Fine Art Gallery is 3.9 km from the hotel and Aurum Jewelry, Art, & Gallery is 5 km away.,
Georgia,Athens,33.81548,-83.68029,Walton Inn,2.0,"""Located off Highway 78", this motel in Monroe, Georgia features free Wi-Fi and spacious rooms with a cable TV and a work desk.  The McDaniel-Tichenor House Museum is 2.8 miles away.,,,,
Georgia,Atlanta,33.759059,-84.381465,Wyndham Garden Atlanta Downtown,3.0,,NO Connecting rooms Hotel American Express Diners Club MasterCard Visa Bathroom Shower Bathtub Hairdryer Internet access Direct dial telephone TV Radio Tea and coffee making facilities Ironing set Carpeted floors Individually adjustable air conditioning   Individually adjustable heating NO Small pets allowed (under 5 kg) NO Large pets allowed (over 5 kg) NO Wheelchair-accessible YES Car park NO Garage 24-hour reception Room service Laundry service(Additional Fee) Launderette(Additional Fee) Air conditioning in public areas   Hotel safe Cloakroom Lift access Gym Bar Restaurant : 1 Non-smoking area Air conditioning in Restaurant   Conference room Hot tub Continental breakfast  ,ATLANTA : 18km,175 Piedmont Avenue Ne 30303 Atlanta AtlantaGeorgia 30303 ,30303,8779993223,http://www.wyndham.com/hotels/ATLWY/main.wnt
Georgia,Atlanta,33.8996339,-84.4604766,Hawthorn Suites by Wyndham Atlanta Northwest,3.0,,,,1500 Parkwood Circle Atlanta Ga 30339 Us AtlantaGeorgia 30339 ,30339,9529595,
