State,City,Latitude,Longitude,HotelName,StarRating,Description,HotelFacilities,Attractions,Address,ZipCode,PhoneNumber,HotelWebsiteUrl
Hawaii,Haiku,20.92043,-156.32299,Haiku Inn,3.0,"""Built in the late 1860s the Inn was once home to the local plantation doctor and his family.  The home and the grounds still carry the vintage feel and the original architecture of old Hawaii.  Plantation era is about to come to an end here in the islands of Hawaii and Maui will be closing the last sugar plantation at the end of 2016.  ",,,,,,
Hawaii,Haiku,20.91636,-156.28428,Adventure in Paradise,4.0,"""Located in Haiku on Mauis north shore", Adventure in Paradise features two units, each with a partial ocean view and a private hot tub. Free WiFi is included. Kahului Airport is 15 km away.,,,,
Hawaii,Hakalau,19.88272,-155.1351,Mahana House,4.0,"""Situated just outside of Hakalau", 20 km from Hilo, Mahana House Country Inn is a non-smoking property and features ocean views, free WiFi access, and free private parking.,,
Hawaii,Haleiwa,21.64488,-158.06335,Backpackers Vacation Inn and Plantation Village,1.0,"""This hostel is located in Haleiwa", Hawaii and across the street from Three Tables Beach. This hostel provides a kitchen area and cable TV.,,,,,
Hawaii,Haleiwa,21.67831,-158.03727,Haleiwa Sunshine,5.0,"""Haleiwa Sunshine home is located in Haleiwa. Guests staying at this holiday home have access to a fully equipped kitchen.",,,,,,
Hawaii,Haleiwa,21.67173,-158.04383,Blue Mahina at Sunset Beach,5.0,"""Boasting air-conditioned accommodation with a patio", Blue Mahina at Sunset Beach home is located in Haleiwa. The holiday home has sea views and is 38 km from Kapolei.,,,,,
Hawaii,Haleiwa,21.65457,-158.06047,Beach Side Studio,5.0,"""Featuring a balcony with garden views", free bikes and a garden, Beach Side Studio by Sharks Cove can be found in Haleiwa, close to Pupukea Beach Park and 50 metres from Ke Iki Beach. Boasting free private parking, the apartment is in an area where guests can engage in activities such as hiking, diving and tennis.,
Hawaii,Hana,20.76448,-155.99422,Heavenly Hana Paradise,5.0,"""Road to Hana waterfalls", Charles Lindberghs grave and the oceanfront Seven Sacred Pools are within 20 minutes drive of this novel Hana studio on Maui. Free WiFi and cable TV are provided.,,,,,
Hawaii,Hana,20.75965,-155.99036,Hale Nanea Hana Paradise Cottages,5.0,"""Located 0.8 km from Hana Town", Hale Nanea - Hana Paradise Cottages provides accommodation in Hana. The unit is 1.5 km from Hamoa Beach.,,,,,
Hawaii,Hanalei,22.21968,-159.54584,Hale Ho'o Maha Bed & Breakfast,3.0,"""Welcome to Hale Hoo Maha", House of Rest. At only 110 steps from the beach, you can be sure to find plenty of R&R here. We are a 4 suite 6-1/2 bath private BnB, with each suite named for a tropical fruit. Read about our suites for more information! Situated just 110 steps to the beach, this boutique Kauai B&B features an on-site ozonated hot tub, rooms with private lanais and serves a daily full breakfast. Wainiha Beach Park is 2 minutes walk away.,
Hawaii,Hanalei,22.2084,-159.496,Plantation 1 Br Cottage,5.0,"""Plantation Cottage home is set in Hanalei", 500 metres from Black Pot Beach, and offers a patio, garden, and free WiFi.,,
Hawaii,Hanalei,22.20443,-159.49614,Coconut Cottage,5.0,"""Featuring a barbecue", Coconut Cottage is a holiday home set in Hanalei, less than 5 minutes walk to Hanalei Bay beach. Guests benefit from free WiFi and private parking available on site.,,,,
Hawaii,Hanalei,22.20464,-159.49615,Tutu's Cottage,5.0,"""Tutus Cottage is a holiday home with a garden", located in Hanalei, less than 5 minutes walk from Hanalei Bay beach. Guests benefit from free WiFi and private parking available on site.,,,,
Hawaii,Hanalei,22.21221,-159.54382,Kauai Tree House,5.0,"""Set 700 metres from Wainiha Bay Beach", 1.3 km from Lumahai Beach and 48 km from Lydgate State Park, Kauai Tree House offers accommodation located in Wainiha. It is situated 300 metres from Wainiha Beach Park and features an ATM.,,,,
Hawaii,Hanalei,22.20551,-159.49766,Hale Hoku,3.0,"""Located in Hanalei", 300 metres from Waioli Beach Park, 300 metres from Hanalei Beach and less than 1 km from Black Pot Beach, Hale Hoku home provides accommodation with a patio and free WiFi. The property is 5.6 km from Princeville Golf Club Prince Course and 15 km from Kilauea National Wildlife Refuge.,,,
Hawaii,Hanalei,22.20173,-159.50476,Lani Kai,3.0,"""Offering sea views", Lani Kai home is an accommodation located in Hanalei, 1.1 km from Hanalei Beach and 1.8 km from Black Pot Beach. The air-conditioned accommodation is 200 metres from Waioli Beach Park, and guests benefit from complimentary WiFi and private parking available on site.,,,
Hawaii,Hanalei,22.22291,-159.54679,Haena Kai,5.0,"""Situated in Haena", a few steps from Wainiha Bay Beach, 500 metres from Tunnels Beach and 1.1 km from Wainiha Beach Park, Haena Kai home features accommodation with a patio and free WiFi. This holiday home is 49 km from Lydgate State Park and 12 km from Makai Golf Course.,,,
Hawaii,Hilo,19.7325,-155.0161,At The Beach With Friends,5.0,"""At the Beach with Friends Bed and Breakfast is situated in Hilo and on Hilo Bay", steps from the beach, and 5 km from downtown Hilo and the local farmers market.,,,,
Hawaii,Hilo,19.75317,-155.09107,Orchid Tree Bed & Breakfast,5.0,"""Boasting a swimming pool", a garden, a terrace and views of the pool, Orchid Tree B&B is situated in Hilo and features accommodation with free WiFi.,,,
Hawaii,Hilo,19.72778,-155.06319,Hilo Reeds Bay Hotel,3.0,"""Offering free WiFi in public spaces", Hilo Reeds Bay Hotel is set in Hilo. Free private parking is available on site. The property is located in a 3-story building with rooms only accessible via stairs.,,,,,
Hawaii,Hilo,19.73457,-155.04145,Arnott's Lodge & Hiking Adventures,2.0,"""Swimming with sea turtles at Onekahakaha Beach is 5 minutes walk away from this Hilo (Big Island", Hawaii) lodge. Free Wi-Fi and a kitchenette is in all rooms.,,,,,
Hawaii,Hilo,19.72598,-155.08795,Hilo Bay Hostel,5.0,"""Hilo Bay Hostel offers accommodation in Hilo. Guests can enjoy the on-site restaurant.",,,,,,
Hawaii,Hilo,19.73208,-155.0259,Maureen's Bed and Breakfast,4.0,"""This Hilo", Hawaii bed and breakfast is adjacent to Carlsmith Beach Park. It features a daily homemade breakfast and colorful gardens with koi ponds. Guest rooms offer free Wi-Fi.,,,,,
Hawaii,Hilo,19.72365,-155.1346,The Inn at Kulaniapia Falls,4.0,"""The Inn at Kulaniapia Falls sits among 22 lush", natural acres, surrounding Hawaiis largest privately accessible waterfall. Free WiFi is available as well as a guest computers.,,,,
Hawaii,Hilo,19.72609,-155.08772,Hilo Backpackers Hostel,2.0,,Pay Shuttle Service Limited Time Reception Shared bathroom Free self parking Housekeeping Picnic area Pets Not Allowed No elevators Only service dogs are allowed Multilingual staff,,69 Waianuenue Avenue HiloHawaii 96720 ,96720,,
Hawaii,Hilo,19.75768,-155.09091,Hale Kai Hawaii Bed & Breakfast,4.0,"""- The Hale Kai Hawaii Bed & Breakfast offers oceanfront accommodations in a quiet location 2 miles (3.2 km) north of Hilo.  We are located on a 85 ft (26 m) high cliff overlooking the Pacific Ocean and Hilo Bay.",,,,,,
