State,City,Latitude,Longitude,HotelName,StarRating,Description,HotelFacilities,Attractions,Address,ZipCode,PhoneNumber,HotelWebsiteUrl
Idaho,,33.3904,-111.545,Countryside RV Resort,5.0,,Billiards / Pool Table Self Laundry Free self parking Library Spa tub Fitness Center Business centre,,2701 S. Idaho Road Apache JunctionCA 85119 ,85119,8775702267,http://www.rvonthego.com/arizona/countryside-rv-re
Idaho,Atlanta,33.119047,-94.180416,Best Western Pineywoods Inn,2.0,"<p>HeadLine : Near McNoble Harper Park</p><p>Location : With a stay at Best Western Pineywoods Inn in Atlanta, you ll be within a 5-minute drive of McNoble Harper Park and Indian Hills Golf Course.  This hotel is 1.3 mi (2.1 km) from Atlanta Park and 1.9 mi (3 km) from Noble Tradition Jewelers.</p><p>Rooms : Make yourself at home in one of the 42 air-conditioned rooms featuring microwaves and LCD televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with shower/tub combinations feature complimentary toiletries and hair dryers. Conveniences include safes and desks, as well as phones with free local calls.</p><p>Dining : A complimentary full breakfast is served daily.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Be prepared: check the latest COVID-19 travel requirements and measures in place for this destination before you travel.</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",Daily Number of outdoor pools - 1 Upper floors accessible by stairs only 24-hour front desk Free breakfast Business center Uncovered parking Free self parking Dry cleaning/laundry service Free WiFi Smoke-free property Safe-deposit box at front desk Free RV  bus  truck parking ATM/banking Free full breakfast Wheelchair accessible (may have limitations) Laundry facilities Wheelchair accessible path of travel Accessible bathroom Roll-in shower Wheelchair-accessible public washroom Wheelchair accessible parking In-room accessibility Assistive listening devices available Wheelchair-accessible van parking Wheelchair-accessible registration desk Fireplace in lobby,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>McNoble Harper Park - 1.2 km / 0.7 mi <br /> Noble Tradition Jewelers - 1.8 km / 1.1 mi <br /> Indian Hills Golf Course - 2.1 km / 1.3 mi <br /> Atlanta Park - 2.2 km / 1.4 mi <br /> CHRISTUS St. Michael Hospital - Atlanta - 3.1 km / 1.9 mi <br /> Atlanta State Park - 16.1 km / 10 mi <br /> Wright Patman Lake - 20.2 km / 12.6 mi <br /> Music City Texas - 23.5 km / 14.6 mi <br /> Noah Tyson Park - 32.7 km / 20.3 mi <br /> Texarkana College - 40.6 km / 25.2 mi <br /> Texarkana Farmers  Market - 41.2 km / 25.6 mi <br /> Texarkana Regional Arts and Humanities Council - 41.3 km / 25.6 mi <br /> Draughon-Moore Ace of Clubs House - 41.3 km / 25.6 mi <br /> Central Mall - 41.3 km / 25.6 mi <br /> Perot Theater - 41.4 km / 25.7 mi <br /> </p><p>The preferred airport for Best Western Pineywoods Inn is Texarkana  AR (TXK-Texarkana Regional) - 51.5 km / 32 mi </p>,306 US Highway 59 AtlantaTexas 75551 ,75551,9037998500,https://www.bestwestern.com/en_US/book/hotel-details.44545.html
Idaho,Atlanta,33.13052,-94.17503,Travel Inn Atlanta Texas,1.0,"This Atlanta, Texas motel is just 10 miles from Atlanta State Park.  An outdoor swimming pool and rooms with free Wi-Fi are provided.

A coffee machine, microwave, and refrigerator are available for in-room refreshments and light meals sat Travel Inn & Suites Atlanta Texas.  A TV with cable channels is also provided.

Coin-operated washers and dryers are available in the guest launderette at Atlanta Travel Inn.  Vending machines offer a selection of snacks and beverages for purchase.  Fax and photocopy services are provided at the front desk.

Fishing is possible within 15 minutes drive at Wright Patman Lake. International Paper Mill is 11 miles away. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Swimming pool #1 is closed from Thu 04 May 2023 until Tue 30 May 2023
You must show a valid photo ID and credit card upon check-in. Please note that all special requests cannot be guaranteed and are subject to availability upon check-in. Additional charges may apply.",Parking Pets allowed Room service 24-hour front desk Golf course (within 3 km) Non-smoking rooms Laundry Free parking internet services Heating Fax/photocopying wifi Outdoor pool Free WiFi Air conditioning outdoor pool (seasonal) vending machine (drinks) vending machine (snacks) parking on site Picnic area Swimming pool Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers Swimming pool,,801 Loop 59 AtlantaTexas 75551 ,75551,9037967121,https://www.booking.com/hotel/us/travel-inn-atlanta.html
Idaho,Blackfoot,43.197186,-112.363686,Super 8 Blackfoot,2.0,"<p>HeadLine : Near Jensen Grove Park</p><p>Location : When you stay at Super 8 by Wyndham Blackfoot/Idaho Falls in Blackfoot, you ll be near the beach, within a 5-minute drive of Snake River and Jensen Grove Park.  This motel is 1.2 mi (2 km) from Bingham Memorial Hospital and 1.3 mi (2.2 km) from Idaho Potato Museum.</p><p>Rooms : Make yourself at home in one of the 61 air-conditioned rooms featuring LED televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with bathtubs or showers feature complimentary toiletries and hair dryers. Conveniences include coffee/tea makers and blackout drapes/curtains, and housekeeping is provided daily.</p><p>Dining : A complimentary continental breakfast is served daily from 6:00 AM to 10:00 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",Wheelchair accessible (may have limitations) Free RV  bus  truck parking Free breakfast Business center 24-hour front desk Sailing nearby Free WiFi Daily Golfing nearby Snorkeling nearby Water skiing nearby Picnic area Smoke-free property In-room accessibility (in select rooms) Wheelchair accessible parking Laundry facilities Free newspapers in lobby Rafting nearby Accessible bathroom (in select rooms) elevator Free self parking Fitness facilities Free continental breakfast,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Snake River - 1.1 km / 0.7 mi <br /> Jensen Grove Park - 1.4 km / 0.9 mi <br /> Bingham Memorial Hospital - 1.9 km / 1.2 mi <br /> Idaho Potato Museum - 2.3 km / 1.4 mi <br /> Blackfoot Golf Course - 4.1 km / 2.5 mi <br /> Pocatello Idaho Temple - 35.6 km / 22.1 mi <br /> Fort Hall Replica - 38.1 km / 23.7 mi <br /> Standrod Mansion - 38.5 km / 23.9 mi <br /> Portneuf Medical Center - 38.6 km / 24 mi <br /> Holt Arena - 38.8 km / 24.1 mi <br /> Reed Gymnasium - 39.6 km / 24.6 mi <br /> L.E. and Thelma E. Stephens Performing Arts Center - 40.8 km / 25.4 mi <br /> The Warehouse - 40.9 km / 25.4 mi <br /> Idaho State University - 41.3 km / 25.6 mi <br /> Tautphaus Park Zoo - 41.5 km / 25.8 mi <br /> </p><p>The nearest airports are:<br />Pocatello  ID (PIH-Pocatello Regional) - 45.4 km / 28.2 mi<br /> Idaho Falls Regional Airport (IDA) - 45 km / 28 mi<br /> </p><p></p>,1279 Parkway Interstate 15 Exit 93BlackfootIdaho 83221 ,83221,2087859333,http://www.super8.com/hotels/idaho/blackfoot/super-8-blackfoot/hotel-overview
Idaho,Blackfoot,43.20064,-112.35747,Best Western Blackfoot Inn,2.0,"<p>HeadLine : Near Jensen Grove Park</p><p>Location : With a stay at Best Western Blackfoot Inn in Blackfoot, you ll be a 5-minute walk from Jensen Grove Park and 7 minutes by foot from Snake River.  This hotel is 1.3 mi (2.1 km) from Bingham Memorial Hospital and 1.4 mi (2.3 km) from Idaho Potato Museum.</p><p>Rooms : Make yourself at home in one of the 60 air-conditioned guestrooms. Wireless Internet access (surcharge) keeps you connected, and cable programming is available for your entertainment. Partially open bathrooms with showers feature complimentary toiletries and hair dryers. Conveniences include complimentary newspapers and coffee/tea makers, as well as phones with free local calls.</p><p>Dining : A complimentary buffet breakfast is served daily from 6:00 AM to 9:00 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",Wheelchair accessible (may have limitations) Free Buffet Breakfast Luggage storage 24-hour business center Free breakfast 24-hour front desk Free wired Internet Wheelchair-accessible registration desk Free WiFi Daily Assistive listening devices available Number of indoor pools - 1 Upper floors accessible by stairs only Smoke-free property In-room accessibility (in select rooms) Laundry facilities Free newspapers in lobby Accessible bathroom (in select rooms) Free self parking,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Jensen Grove Park - 0.4 km / 0.2 mi <br /> Snake River - 0.6 km / 0.4 mi <br /> Bingham Memorial Hospital - 1.6 km / 1 mi <br /> Idaho Potato Museum - 2.1 km / 1.3 mi <br /> Blackfoot Golf Course - 2.9 km / 1.8 mi <br /> Pocatello Idaho Temple - 36.7 km / 22.8 mi <br /> Fort Hall Replica - 38.9 km / 24.2 mi <br /> Standrod Mansion - 39.3 km / 24.4 mi <br /> Portneuf Medical Center - 39.4 km / 24.5 mi <br /> Holt Arena - 39.6 km / 24.6 mi <br /> Reed Gymnasium - 40.3 km / 25.1 mi <br /> L.E. and Thelma E. Stephens Performing Arts Center - 41.2 km / 25.6 mi <br /> The Warehouse - 41.7 km / 25.9 mi <br /> Idaho State University - 42 km / 26.1 mi <br /> Tautphaus Park Zoo - 42.3 km / 26.3 mi <br /> </p><p>The nearest airports are:<br />Pocatello  ID (PIH-Pocatello Regional) - 46.2 km / 28.7 mi<br /> Idaho Falls Regional Airport (IDA) - 45.7 km / 28.4 mi<br /> </p><p>The preferred airport for Best Western Blackfoot Inn is Pocatello  ID (PIH-Pocatello Regional). </p>,750 Jensen Grove Dr BlackfootIdaho 83221 ,83221,2087854144,https://www.bestwestern.com/en_US/book/hotel-details.13049.html
Idaho,Blanchard,48.01012,-117.00098,Stoneridge Resort,4.0,"Featuring a beautiful 19-hole golf course, this Blanchard Valley timeshare resort is a 10-minute walk from Lake San Souci. Sports courts, a hot tub and an indoor saltwater pool are also available.

A private balcony with views and a full kitchen are found in each lodge-style room of Stoneridge Resorts. A flat-screen cable TV, a DVD player and a coffee maker are also included.

Basketball, volleyball and pickleball courts are available. A playground is also offered. A fitness centre and steam room are located on site.

Downtown Spirit Lake is 9 miles from the resort. Spokane, Coeur dAlene, Priest Lake and Sandpoint are within an hour drive. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Upon check-in photo identification and credit card is required. All special requests are subject to availability upon check-in. Special requests cannot be guaranteed and may incur additional charges.

Please note that check-in on Fridays begins at 18:00. Check-out on Fridays begins at 10:00. Please see Policies for normal check-in and check-out times during the remainder of the week.

Please note: Guests must be 19 years of age or older to check-in at this resort.

Please note that renovations are taking place. You may experience minor disturbances.

Please contact the resort directly to request an ADA accessible room.",all plates  cutlery  glasses and other tableware have been sanitized Parking meeting/banquet facilities 24-hour front desk Tennis Court Sauna Fitness centre Golf course (within 3 km) Non-smoking rooms Fishing Business centre Laundry Facilities for disabled guests Skiing Family rooms Games room Free parking internet services Picnic area lift Steam room Fitness fitness classes fitness/spa locker rooms Swimming pool Movie nights Key access Smoke alarms Fire extinguishers Swimming pool bicycle rental use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed first aid kit available cashless payment available screens or physical barriers placed between staff and guests in appropriate areas children's playground Billiards Table tennis Karaoke Hot tub/jacuzzi Hiking BBQ facilities Cycling Heating Fax/photocopying Squash Luggage storage wifi Mini golf Ski storage Allergy-free room Indoor pool Free WiFi Air conditioning Sun terrace indoor pool (all year) vending machine (drinks) vending machine (snacks) Shared kitchen Lockers shared lounge/TV area parking on site board games/puzzles Indoor play area kids' outdoor play equipment Street parking Accessible parking Heated pool Salt-water pool Shallow end Pool cover tennis equipment Badminton equipment sun loungers or beach chairs Outdoor furniture,,150 Holiday Loop BlanchardIdaho 83804 ,83804,2084372451,https://www.booking.com/hotel/us/blanchard-176-holiday-loop.html
Idaho,Boise,43.77136,-116.10391,Pioneer Inn Condominiums,5.0,"Located in Bogus Basin, Pioneer Condominiums provides city views and free WiFi, 34 km from ExtraMile Arena and 32 km from Idaho State Capitol.

A fridge, an oven and microwave are also featured in the kitchen, as well as a coffee machine.

Boise Centre is 32 km from the apartment, while CenturyLink Arena Boise is 33 km away. The nearest airport is Boise Airport, 37 km from Pioneer Condominiums. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Please inform Pioneer Condominiums in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
This property will not accommodate hen, stag or similar parties.
Guests will receive a rental agreement, which must be signed and returned directly to the property prior to arrival. If the agreement is not received, the guest should contact the property management company at the number on the booking confirmation.

Please note that only registered guests are allowed at the property.

Guests shall abide by the propertys policy. Quiet hours are from 22:00 to 8:00.",Parking Sauna Games room internet services Heating wifi Free WiFi Non-smoking throughout parking on site wifi available in all areas use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays staff follow all safety protocols as directed by local authorities contactless check-in/check-out invoice provided property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized,,1751 Bogus Basin Road BoiseIdaho 83702 ,83702,2083325200,http://www.pioneercondos.com
Idaho,Boise,43.62071,-116.222555,Budget Inn Boise,2.0,"<p>HeadLine : In Boise (Downtown Boise)</p><p>Location : A stay at Budget Inn Boise places you in the heart of Boise, within a 5-minute drive of Boise Centre and Idaho Central Arena.  This motel is 1.9 mi (3 km) from Boise State University and 2.6 mi (4.3 km) from ExtraMile Arena.</p><p>Rooms : Make yourself at home in one of the 44 air-conditioned rooms featuring refrigerators and microwaves. Your room comes with a pillowtop bed. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have shower/tub combinations and hair dryers.</p><p>Dining : Enjoy a satisfying meal at The Capri Cafe serving guests of Budget Inn Boise.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards, debit cards, and cash</li><li>Only bookings from non-local guests are accepted; guests whose residence is within 30 mi (48 km) of the property will not be allowed to check in</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : The front desk is open daily from 6:00 AM - midnight. To make arrangements for check-in please contact the property at least 24 hours before arrival using the information on the booking confirmation. If you are planning to arrive after 11 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival. For more details, please contact the property using the information on the booking confirmation.  Guests arriving outside of regular check-in hours should ring the bell once for check-in assistance.</p>",Wheelchair accessible (may have limitations) Wheelchair-accessible van parking Front desk (limited hours) Wheelchair-accessible registration desk Free WiFi No elevator (single level property) Well-lit path to entrance Upper floors accessible by stairs only In-room accessibility (in select rooms) Wheelchair accessible parking Laundry facilities Accessible bathroom (in select rooms) Computer station,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Boise River - 0.6 km / 0.4 mi <br /> Rhodes Skate Park - 0.8 km / 0.5 mi <br /> Ann Morrison Park - 1 km / 0.6 mi <br /> Kathryn Albertson Park - 1.2 km / 0.7 mi <br /> Boise Art Glass - 1.3 km / 0.8 mi <br /> Jack s Urban Meeting Place - 1.5 km / 0.9 mi <br /> Payette Brewing Company - 1.6 km / 1 mi <br /> Boise State University - 1.7 km / 1 mi <br /> Esther Simplot Performing Arts Academy - 1.8 km / 1.1 mi <br /> Veterans Memorial Park - 1.8 km / 1.1 mi <br /> Knitting Factory - 1.8 km / 1.1 mi <br /> Eighth Street Marketplace - 1.9 km / 1.2 mi <br /> Boise Contemporary Theater - 1.9 km / 1.2 mi <br /> Ridge to River Trail System - 1.9 km / 1.2 mi <br /> Boise Centre - 1.9 km / 1.2 mi <br /> </p><p>The preferred airport for Budget Inn Boise is Boise Airport (BOI) - 14.8 km / 9.2 mi </p>,2600 Fairview Ave BoiseIdaho ,83702,2083448617,
Idaho,Boise,43.595618,-116.177687,SpringHill Suites Boise ParkCenter,3.0,"<p>HeadLine : In Boise (Southeast Boise)</p><p>Location : With a stay at SpringHill Suites by Marriott Boise ParkCenter in Boise (Southeast Boise), you ll be a 5-minute walk from Boise River and within a 5-minute drive of Boise State University.  This hotel is 1.4 mi (2.2 km) from Albertsons Stadium and 6 mi (9.7 km) from Boise Towne Square Mall.</p><p>Rooms : Make yourself at home in one of the 230 guestrooms, featuring kitchenettes with refrigerators and microwaves. Your pillowtop bed comes with premium bedding, and all rooms are furnished with double sofa beds. 37-inch flat-screen televisions with cable programming provide entertainment, while complimentary wireless Internet access keeps you connected. Conveniences include safes and desks, as well as phones with free local calls.</p><p>Dining : Grab a bite from the snack bar/deli serving guests of SpringHill Suites by Marriott Boise ParkCenter. A complimentary buffet breakfast is served daily.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",Dry cleaning/laundry service Outdoor furniture Conference space size (meters) - 174 Free WiFi Downhill skiing nearby Cross-country skiing nearby Number of spa tubs - 1 Braille or raised signage Number of outdoor pools - 1 Assistive listening devices available In-room accessibility (in select rooms) Wheelchair accessible parking Roll-in shower (in select rooms) Internet access - wireless Accessible bathroom (in select rooms) Fireplace in lobby Free Buffet Breakfast Free airport transportation Free breakfast Firepit Visual alarms in hallways Multilingual staff Daily Wheelchair-accessible meeting spaces/business center Barbecue grill(s) Coffee/tea in common areas Laundry facilities Rafting nearby elevator Fitness facilities Mountain biking nearby Meeting rooms Wheelchair-accessible registration desk Wheelchair-accessible fitness center Wheelchair-accessible pool Picnic area Free newspapers in lobby 24-hour fitness facilities Luggage storage Business center 24-hour front desk Golfing nearby Safe-deposit box at front desk Smoke-free property Snack bar/deli Hiking/biking trails nearby Free self parking Conference space Computer station Terrace Wheelchair accessible path of travel Conference space size (feet) - 1872 Concierge services 24-hour business center,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Boise River - 0.4 km / 0.3 mi <br /> Boise River & Greenbelt - 1.4 km / 0.9 mi <br /> Natatorium Pool & Hydrotube - 1.5 km / 0.9 mi <br /> Boise State University - 1.6 km / 1 mi <br /> Old Idaho Penitentiary - 1.7 km / 1.1 mi <br /> Boise Municipal Park - 1.7 km / 1.1 mi <br /> Idaho Botanical Garden - 1.8 km / 1.1 mi <br /> Christ Chapel - 1.9 km / 1.2 mi <br /> Morrison-Knudsen Nature Center - 2 km / 1.2 mi <br /> Julia Davis Park - 2 km / 1.2 mi <br /> Museum of Mining & Geology - 2.1 km / 1.3 mi <br /> Sports Humanitarian Hall of Fame - 2.1 km / 1.3 mi <br /> Albertsons Stadium - 2.3 km / 1.4 mi <br /> Warm Springs Golf Club - 2.5 km / 1.5 mi <br /> ExtraMile Arena - 2.6 km / 1.6 mi <br /> </p><p>The preferred airport for SpringHill Suites by Marriott Boise ParkCenter is Boise Airport (BOI) - 7.9 km / 4.9 mi </p>,424 East Parkcenter Blvd BoiseIdaho 83706 ,83706,2083421044,https://www.marriott.com/hotels/travel/boidt-springhill-suites-boise-parkcenter/
Idaho,Boise,43.5979,-116.18655,Holiday Inn Express Boise University Area,3.0,"<p>HeadLine : In Boise (Southeast Boise)</p><p>Location : With a stay at Holiday Inn Express Boise - University Area, an IHG Hotel, you ll be centrally located in Boise, just a 4-minute walk from Boise River and 7 minutes by foot from Boise State University.  This hotel is 1 mi (1.6 km) from Albertsons Stadium and 5.6 mi (9.1 km) from Boise Towne Square Mall.</p><p>Rooms : Make yourself at home in one of the 159 air-conditioned rooms featuring microwaves and LCD televisions. Your pillowtop bed comes with premium bedding. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms have complimentary toiletries and hair dryers.</p><p>Dining : Take advantage of the hotel s room service (during limited hours). Mingle with other guests at the complimentary reception, held on select days. A complimentary buffet breakfast is served daily from 6:00 AM to 9:30 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a carbon monoxide detector, a fire extinguisher, and a smoke detector</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport. Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",Gift shops or newsstand Proposal/romance packages available Parking (limited spaces) Free reception Number of meeting rooms - 1 Conference space size (meters) - 89 Free WiFi Downhill skiing nearby Designated smoking areas In-room accessibility (in select rooms) Wheelchair accessible parking Snowboarding Nearby Roll-in shower (in select rooms) Internet access - wireless Accessible bathroom (in select rooms) Fireplace in lobby Free Buffet Breakfast Free airport transportation LED light bulbs Wheelchair-accessible lounge Free breakfast Water dispenser Mountain climbing nearby Daily Wheelchair-accessible meeting spaces/business center Laundry facilities Rafting nearby elevator Bicycle rentals on site Mountain biking nearby Uncovered parking Wheelchair accessible (may have limitations) Fishing nearby Wheelchair-accessible van parking Wheelchair-accessible path to elevator Wheelchair-accessible registration desk Pool hoist on site Television in common areas Wheelchair-accessible pool Wheelchair-accessible public washroom Well-lit path to entrance Free use of nearby fitness center Stair-free path to entrance Portable hoist available 24-hour fitness facilities Luggage storage Express check-out Coin laundry on site Business center 24-hour front desk Golfing nearby Outdoor seasonal pool Safe-deposit box at front desk Hiking/biking trails nearby Conference space Self parking (surcharge) Computer station Conference space size (feet) - 960,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Boise River - 0.3 km / 0.2 mi <br /> Boise State University - 0.6 km / 0.4 mi <br /> Boise River & Greenbelt - 0.6 km / 0.4 mi <br /> Morrison-Knudsen Nature Center - 0.8 km / 0.5 mi <br /> Boise Municipal Park - 1.1 km / 0.7 mi <br /> Christ Chapel - 1.1 km / 0.7 mi <br /> Albertsons Stadium - 1.2 km / 0.7 mi <br /> Julia Davis Park - 1.2 km / 0.8 mi <br /> Sports Humanitarian Hall of Fame - 1.3 km / 0.8 mi <br /> ExtraMile Arena - 1.6 km / 1 mi <br /> Discovery Center of Idaho - 1.8 km / 1.1 mi <br /> Zoo Boise - 1.9 km / 1.2 mi <br /> Natatorium Pool & Hydrotube - 1.9 km / 1.2 mi <br /> Ada County Courthouse - 1.9 km / 1.2 mi <br /> Assay Office - 2 km / 1.2 mi <br /> </p><p>The nearest major airport is Boise Airport (BOI) - 7.1 km / 4.4 mi</p>,475 W Parkcenter Blvd BoiseIdaho 83706 ,83706,2083452002,http://www.ihg.com/holidayinnexpress/hotels/de/de/boise/boidt/hoteldetail
