State,City,Latitude,Longitude,HotelName,StarRating,Description,HotelFacilities,Attractions,Address,ZipCode,PhoneNumber,HotelWebsiteUrl
Indiana,Angola,41.70411,-85.02195,Potawatomi Inn & Cabins,3.0,"""Facing the beachfront", Potawatomi Inn & Cabins offers 3-star accommodation in Angola and has a fitness centre, garden and shared lounge. With a terrace, the 3-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. Guests can enjoy American dishes at the restaurant or have a cocktail at the snack bar.,,
Indiana,Angola,41.63378,-85.04531,Wingate by Wyndham Angola,3.0,"""Situated in Angola", 12 km from Pokagon State Park, Wingate by Wyndham Angola features accommodation with free WiFi and free private parking. This 3-star hotel offers a 24-hour front desk. The hotel has family rooms.,,,,
Indiana,Auburn,41.36529,-85.08004,SureStay Plus Hotel by Best Western Auburn (Ex. Quality Inn),3.0,,Parking Room service 24-hour front desk Fitness centre Non-smoking rooms Business centre Facilities for disabled guests Free parking internet services Safety Deposit Box Heating wifi Outdoor pool Free WiFi Non-smoking throughout Air conditioning designated smoking area outdoor pool (seasonal) vending machine (drinks) shared lounge/TV area Daily housekeeping parking on site wifi available in all areas Accessible parking Wheelchair accessible Toilet with grab rails Higher level toilet Lower bathroom sink Emergency cord in bathroom sun loungers or beach chairs Outdoor furniture Fitness breakfast takeaway containers guests have the option to cancel any cleaning services for their accommodation during their stay invoice provided first aid kit available hand sanitizer in guest accommodation and key areas shared stationery such as printed menus  magazines  pens  and paper removed staff follow all safety protocols as directed by local authorities physical distancing in dining areas guest accommodation is disinfected between stays Swimming pool Key access Key card access Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers Swimming pool use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines,,225 Touring Drive AuburnIndiana 46706 ,46706,3014988811,https://www.booking.com/hotel/us/auburn-inn.html
Indiana,Auburn,41.36443,-85.07829,Country Inn & Suites by Radisson,3.0,"""Located off Interstate 69", this Auburn, Country Inn & Suites by Radisson, Auburn, IN offers a daily breakfast buffet and rooms equipped with free Wi-Fi and a flat-screen TV.  Garrett Country Club is a 10-minute drive away.,,
Indiana,Batesville,39.3106784537042,-85.2148917177692,Best Western Batesville,3.0,"""Conveniently located between Cincinnati and Indianapolis on I-74", this Best Western Batesville has many amenities for both the business and leisure traveler. ,,,,,
Indiana,Batesville,39.27777,-85.12815,Indian Lakes RV Campground,5.0,"""Set in Batesville in the Indiana region", Indian Lakes Camping Resort offers accommodation with free WiFi.,,,,,
Indiana,Bedford,38.85691,-86.4889,Rosemount Motel,2.0,"""Located 10 minutes from Bluespring Caverns Park in downtown Bedford", Indiana, this motel features cable TV with the HBO channel and free Wi-Fi.,,,,
Indiana,Bedford,38.86443,-86.51687,Hampton Inn Bedford IN,3.0,"""Featuring 3-star accommodation", Hampton Inn Bedford In, In is located in Bedford, 38 km from Bloomington Memorial Stadium and 36 km from Bloomington Monroe County Convention Center. This 3-star hotel has air-conditioned rooms with a private bathroom. The property is non-smoking and is situated 36 km from Indiana University.,,,
Indiana,Bedford,42.857607,-110.912407,STAR VALLEY LODGE,2.0,"""<p>HeadLine : In Bedford</p><p>Location : When you stay at Star Valley Lodge in Bedford", you ll be within a 5-minute drive of Salt River Range.  This lodge is 8.8 mi (14.1 km) from Caribou-Targhee National Forest and 12.2 mi (19.7 km) from Aspen Hills Golf Course.</p><p>Rooms : Stay in one of 3 guestrooms featuring Smart televisions. Complimentary wireless Internet access keeps you connected, and digital programming is available for your entertainment.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : There is no front desk at this property. Prior to arrival, guests must complete online registration with the property via a secure link. Guests will be asked to provide the property with a copy of their government-issued photo ID before arrival. ,,,
Indiana,Bloomington,39.1828,-86.53364,Wingate by Wyndham Bloomington,2.0,"""<p>HeadLine : Near Indiana University Bloomington</p><p>Location : With a stay at Best Value Inn Bloomington in Bloomington", you ll be within a 5-minute drive of Indiana University Bloomington and Memorial Stadium.  This hotel is 1 mi (1.6 km) from Cascades Park and 1 mi (1.7 km) from Assembly Hall.</p><p>Rooms : Make yourself at home in one of the 98 air-conditioned rooms featuring refrigerators and microwaves. Complimentary wireless Internet access is available to keep you connected. Conveniences include desks," as well as phones with free local calls.</p><p>Dining : A complimentary continental breakfast is served daily from 6:00 AM to 9:00 AM.</p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy. <br />Government-issued photo identification and a credit card or cash deposit are required at check-in for incidental charges. <br />Special requests are subject to availability upon check-in and may incur additional charges. Special requests cannot be guaranteed.  <ul><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation. </li>Please note that cultural norms and guest policies may differ by country and by property. The policies listed are provided by the property. </ul></p>""",Free breakfast Free self parking Free WiFi Elevator/lift Smoke-free property 24-hour front desk,"""                            Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Memorial Stadium - 0.6 km / 0.4 mi <br /> Assembly Hall - 1.3 km / 0.8 mi <br /> Cascades Park - 1.6 km / 1 mi <br /> Monroe County Courthouse - 2.1 km / 1.3 mi <br /> Wonderlab Science Museum - 2.1 km / 1.3 mi <br /> Bloomington Monroe County Convention Center - 2.4 km / 1.5 mi <br /> Indiana University Bloomington - 2.4 km / 1.5 mi <br /> Cascades Golf Course - 2.5 km / 1.6 mi <br /> Indiana University Auditorium - 2.7 km / 1.7 mi <br /> Indiana University Golf Course - 3.6 km / 2.3 mi <br /> Bloomington Speedway - 9.5 km / 5.9 mi <br /> Tibetan Mongolian Buddhist Cultural Center - 10.3 km / 6.4 mi <br /> Oliver Winery - 11.7 km / 7.3 mi <br /> Lake Monroe - 16.2 km / 10 mi <br /> T.C. Steele State Historic Site - 21.8 km / 13.5 mi <br /> </p><p>The nearest major airport is Indianapolis  IN (IND-Indianapolis Intl.) - 69.2 km / 43 mi</p>",,
