State,City,Latitude,Longitude,HotelName,StarRating,Description,HotelFacilities,Attractions,Address,ZipCode,PhoneNumber,HotelWebsiteUrl
Kansas,Atchison,39.55858,-95.12735,Hotel Eastin Riverwalk,2.0,"""Cable TV and air conditioned rooms are featured at this property.  Located 3 km from Benedictine College", free Wi-Fi access is available.,,,,,
Kansas,Beloit,39.4809,-98.1122,Super 8 by Wyndham Beloit,2.0,"""This locally owned and operated """"Pride of Super 8"""" hotel has been remodeled with an additional 20 rooms added in 2013.  Rated #1 by Tripadvisor for the area; this hotel offers easy access to Beloit and the surrounding communities. Offering free WiFi", Super 8 by Wyndham Beloit is situated in Beloit. This 2-star hotel offers a 24-hour front desk and an ATM.,,,,,
Kansas,Chanute,37.68205,-95.45196,Nest Extended Stay Hotel Chanute,2.0,"""Tioga Extended Stay Hotel features air-conditioned rooms in Chanute. The property provides a terrace", a 24-hour front desk, and free WiFi is available throughout the property.,,,,
Kansas,Coffeyville,37.03321,-95.60323,Rest Full Inn,1.0,"""Travelodge by Wyndham Coffeyville is a 1-star property located in Coffeyville. With a shared lounge", the 1-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. There is a restaurant serving American cuisine, and free private parking is available.,,,
Kansas,Colby,39.39589,-101.06437,Budget Inn & Suites Colby,2.0,"""Featuring a picnic area", this motel in Colby, Kansas is 5 minutes drive from Fike Park and Interstate 70. The spacious rooms include free Wi-Fi.,,,,
Kansas,Colby,39.19125,-100.86976,Free Breakfast Inn,1.0,"""Located off Interstate 70 in Oakley", Kansas, this motel offers guests a free hot breakfast at the adjacent Colonial Steak House. Free Wi-Fi access is available throughout the property.,,,,
Kansas,Colby,39.11939,-100.84203,Kansas Country Inn,2.0,"""Featuring a seasonal outdoor swimming pool", this Oakley, Kansas motel provides free Wi-Fi and cable TV in every guest room.  The Fick Fossil & History Museum is 4 km away.,,,,
Kansas,Colby,39.39741,-101.03661,Country Club Inn,2.0,"""OYO Hotel Colby", KS is a 2-star property situated in Colby. This 2-star hotel offers room service, a 24-hour front desk and free WiFi.,,,,
Kansas,Colby,39.32496,-101.72561,Holiday Inn Express & Suites - Goodland I-70,5.0,"""Located in Goodland", Holiday Inn Express & Suites - Goodland I-70, an IHG Hotel features a fitness centre, garden and free WiFi throughout the property.,,,
Kansas,,37.97469,-100.8378,The Heritage Inn & Suites An Ascend Hotel Collection Member Garden City,3.0,"""The Heritage Inn & Suites", An Ascend Hotel Collection® Member, is located in Garden City, Kansas, less than a 10-minute walk from Schulman Crossing Shopping Center. A free hot breakfast is served daily, and free WiFi is available property-wide.,
Kansas,,37.8165923,-96.87384449999999,Sunset Inn,3.0,,languages spoken accessibility Internet access things to do  ways to relax cleanliness and safety dining  drinking  and snacking services and conveniences for the kids access getting around available in all rooms,,1901 West Central Avenue El DoradoKansas 67042 ,67042,3163219172,https://www.agoda.com/partners/partnersearch.aspx?hid=22353277
Kansas,Emporia,38.372759,-96.54179,Grand Central Hotel,3.0,"""Facilities",,,,,,
Kansas,Emporia,38.40689,-96.15051,Budget Host Inn Emporia,2.0,"""David Traylor Zoo of Emporia is just a 5-minute drive from this Kansas hotel. Budget Host Inn - Emporia offers free Wi-Fi throughout the hotel.  A cable TV with 10 HBO channels is in every room.",,,,,,
Kansas,Emporia,38.41119,-96.22489,America's Best Inns & Suites Emporia,1.0,"""Located off Highway 35", this Emporia hotel offers rooms equipped with free Wi-Fi and a cable TV.  It is 2.6 miles from the Emporia Municipal Zoo.,,,,,
Kansas,Emporia,38.5786,-95.2611,Holiday Inn Express & Suites Ottawa,3.0,"""Newly Opened hotel in Ottawa ",,,,,,
Kansas,,37.97469,-100.8378,The Heritage Inn & Suites An Ascend Hotel Collection Member Garden City,3.0,"""The Heritage Inn & Suites", An Ascend Hotel Collection® Member, is located in Garden City, Kansas, less than a 10-minute walk from Schulman Crossing Shopping Center. A free hot breakfast is served daily, and free WiFi is available property-wide.,
