State,City,Latitude,Longitude,HotelName,StarRating,Description,HotelFacilities,Attractions,Address,ZipCode,PhoneNumber,HotelWebsiteUrl
Kentucky,Albany,42.70895,-73.82225,Super 8 by Wyndham Albany,2.0,"""Conveniently located only minutes from Albany city centre", and close to Albany International Airport, this family-run hotel offers comfortable accommodations and modern amenities along with friendly service.,,,,
Kentucky,Albany,42.6722,-73.75133,Red Carpet Inn Albany,2.0,"""This hotel is located off Interstate 90", and 2 miles from downtown Albany. The hotel offers a 24-hour front desk with free Wi-Fi in the lobby and all rooms.  Empire State Plaza, Times Union Center and Palace Theatre are within 2 miles away,,,,
Kentucky,Albany,42.6569,-73.7658,The Morgan State House,4.0,"""The Morgan State House Inn is an elegantly restored 19th century building. It is located in the Washington Park Historic District and is close to many of Albanys downtown attractions.",,,,,,
Kentucky,Albany,42.70441,-73.81818,Scottish Inns Albany,2.0,"""Located just off Interstate 87", this motel is 5 miles from the Albany Institute of History & Art. It offers a 24-hour reception and features free Wi-Fi in every room.,,,,,
Kentucky,Albany,42.65641,-73.77513,The Washington Park Inn,2.0,"""Featuring free WiFi and a terrace", Washington Park Inn is a boutique property located on Washington Park. The property offers accommodation in Albany, 1.4 km from Empire State Plaza Convention Center. Free private parking is available on site.,,,,
Kentucky,Ashland,38.48073,-82.87326,Greenbo Lake State Resort Park,1.0,"""Situated in Argillite", 31 km from Highlands Museum and Discovery Center and 26 km from Sundowner Golf Course, Greenbo Lake State Resort Park features accommodation with free WiFi, air conditioning, a shared lounge and a restaurant.,,
Kentucky,Ashland,38.46903,-82.62243,Ashland Inn,2.0,"""Free Wi-Fi is available in all guest rooms at this Ashland motel. Free Parking is available and coffee is provided in the lobby.",,,,,,
Kentucky,Bardstown,37.80891,-85.46791,Jailer S Inn Bed And Breakfast,2.0,"""Situated in Bardstown", 40 km from Elizabethtown City Park, Jailers Inn features accommodation with free WiFi and free private parking. The property is set 2.6 km from My Old Kentucky Home State Park, 32 km from Heritage Hill Golf Course and 38 km from Schmidt s Museum of Coca Cola Memorabilia. Hardin County History Museum is 41 km away and Hawks View Glass Art Tour Cafe is 44 km from the inn.,,,
Kentucky,Bardstown,37.79113,-85.4862,Americas Inn Bardstown,2.0,"""Located 7 minutes drive from My Old Kentucky Home State Park", Americas Inn Bardstown is located in Bardstown, Kentucky. Free Wi-Fi access is available.,,,,
Kentucky,Bardstown,37.787173,-85.487287,Howard Johnson Bardstown,2.0,Full service hotel near historic Bardstown with a restaurant. Free continental breakfast. Free wireless high speed internet.,Elevator / Lift Cafe Laundry service Whirlpool Sun terrace Gym Car Parking Picnic area Self Laundry Internet access Air Conditioned Coach parking,,1875 New Haven Road BardstownKentucky 40004 ,40004,,
Kentucky,Bardstown,37.8262388954242,-85.4702496528353,Bourbon Capital Inn,3.0,"""Welcome to the Comfort Inn", a Bardstown hotel near My Old Kentucky Home State Park The Comfort Inn hotel is conveniently located just 15 miles from the Maker's Mark Distillery. This Bardstown hotel is minutes from area attractions, like My Old Kentucky Home State Park, the Bernheim Forest, My Old Kentucky Dinner Train and Kentucky Railway Museum. Other points of interest in the vicinity include: Bardstown Civil War Museum Oscar Getz Museum of Whiskey History Jim Beam's American Outpost Churchill Downs Stephen Foster Home Several golf courses are within five miles of the hotel. A variety of restaurants and cocktail lounges are located in the surrounding area.,,
Kentucky,Bardstown,37.82102,-85.46293,Bourbon Manor Bed & Breakfast,,"""Offering an on-site day spa", Bourbon Manor Bed & Breakfast Inn is set in Bardstown, 2.5 km from My Old Kentucky Home State Park. Located along the Kentucky Bourbon Trail, the inn is only 4 km from Heaven Hill Distillery.,,,
Kentucky,Bardstown,37.81085,-85.47453,Old Kentucky Home Motel,2.0,"""Old Kentucky Home Motel is located in Bardstown. Free WiFi access is available throughout the property.  The motel is 1.9 km from My Old Kentucky Home State Park.",,,,,,
Kentucky,Bardstown,37.80902,-85.46752,The Talbott Inn,5.0,"""Situated in Bardstown", 40 km from Elizabethtown City Park and 2.6 km from My Old Kentucky Home State Park, Talbott Tavern and Inn features accommodation with free WiFi, air conditioning, a shared lounge and a bar.,,
Kentucky,Bardstown,37.82898,-85.47555,Holiday Inn Express & Suites - Bardstown,2.0,"""Located in Bardstown", within 3.7 km of My Old Kentucky Home State Park and 2.2 km of Oscar Getz Museum of Whiskey History, Holiday Inn Express & Suites - Bardstown, an IHG Hotel provides accommodation with a tennis court and free WiFi throughout the property. The hotel features an indoor pool, fitness centre and a 24-hour front desk.,,
Kentucky,Bardstown,37.80766,-85.43068,La Quinta Inn & Suites by Wyndham Bardstown,3.0,"""Featuring 3-star accommodation", La Quinta Inn & Suites by Wyndham Bardstown is situated in Bardstown, 4.2 km from My Old Kentucky Home State Park and 35 km from Heritage Hill Golf Course. Featuring a shared lounge, the 3-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. The property is non-smoking and is set 45 km from Elizabethtown City Park.,,
