State,City,Latitude,Longitude,HotelName,StarRating,Description,HotelFacilities,Attractions,Address,ZipCode,PhoneNumber,HotelWebsiteUrl
Maine,,44.31851,-69.817433,Econo Lodge Inn & Suites,1.0,.,NO Connecting rooms Fridge NO Small pets allowed (under 5 kg) NO Large pets allowed (over 5 kg) NO Wheelchair-accessible NO Car park NO Garage Laundry service Gym Restaurant Conference room Continental breakfast  ,,390 Western Ave. 04330 AugustaMaine 04330 ,04330,8774246423,
Maine,,44.43051,-68.96964,Seascape Motel & Cottages,4.0,"""Featuring an outdoor pool", a garden and a hot tub, Seascape Motel & Cottages offers free Wi-Fi in Belfast, Maine. The property provides panoramic views of Penobscot Bay.,,,
Maine,Bridgton,44.06044,-70.71376,Noble House Inn,5.0,"""Situated in Bridgton", Noble House Inn offers accommodation with a balcony or a patio, free WiFi and flat-screen TV, as well as a terrace and a bar.,,,
Maine,Bridgton,44.06027,-70.7285,Gradys West Shore Motel,5.0,"""Gradys West Shore Motel features accommodation in Bridgton. All rooms boast a full kitchen", a TV with cable channels, and a private bathroom. The motel also provides free WiFi and free private parking.,,,,
Maine,Brunswick,43.91244,-69.98302,Relax Inn,1.0,"""This motel in Brunswick", Maine is 1.6 km away from the Brunswick city centre and 2.2 km from the Bowdoin College. Free WiFi is accessible and a continental breakfast is available daily.,,,,,
Maine,Brunswick,43.91277,-69.98328,Travelers Inn,2.0,"""Located on Route 1 and just 1 mile from downtown Brunswick", Free Wi-Fi is offered in all rooms.,,,,,
Maine,Brunswick,43.91334,-69.96316,The Brunswick Inn,5.0,"""Located in Brunswick", 42 km from Portland Observatory, OneSixtyFive, The Inn on Park Row provides accommodation with a garden, free private parking, a shared lounge and a restaurant. Providing a bar, the property is located within 43 km of Merrill Auditorium. The accommodation offers a concierge service and free WiFi throughout the property.
Maine,Edgecomb,43.99949,-69.65205,Resort Condo Unit C,5.0,"""Resort Condo Unit C Condo offers accommodation in Edgecomb", 40 km from Freeport and 17 km from Bath. Guests benefit from balcony and a childrens playground.,,,,,
Maine,Edgecomb,43.99949,-69.65205,Hilltop Harbor Cottage,5.0,"""Set in Edgecomb in the Maine region", Hilltop Harbor Cottage has a balcony. This property offers access to a patio, free private parking and free WiFi.,,,,
Maine,Edgecomb,43.99852,-69.6517,306 Eddy Rd Condo Unit 702b,5.0,"""Set in Edgecomb", this apartment features a balcony. Guests benefit from patio.,,,,,
Maine,Edgecomb,43.99949,-69.65205,318 Eddy Road Home #601,5.0,"""Situated in Edgecomb in the Maine region", 318 Eddy Road Home has a patio. The air-conditioned accommodation is 17 km from Boothbay Harbor, and guests benefit from private parking available on site and free WiFi.,,,,
Maine,Edgecomb,43.99852,-69.6517,306 Eddy Road House Unit 615,5.0,"""306 Eddy Road House Unit 615 Home is a holiday home set in Edgecomb. The accommodation is 40 km from Freeport.",,,,,,
Maine,Hallowell,44.28797,-69.83721,Maple Hill Farm Inn,5.0,"""This Hallowell inn is 6.9 km from Augusta", Maine and I-95 and has on-site facilities like a sauna, an outdoor hot tub and bar. The property serves a made-to-order breakfast each morning and has free WiFi.,,,,
Maine,Harpswell,43.79756,-69.92782,Quahog Bay Inn,5.0,"""Located in Harpswell", Quahog Bay Inn features barbecue facilities. All rooms boast a kitchen and a private bathroom. Every room is fitted with a balcony with a sea view.,,,,,
Maine,Houlton,46.14408,-67.84179,Shiretown Inn & Suites,5.0,"""Set in Houlton", 44 km from Hartland Covered Bridge, Shiretown Inn & Suites offers accommodation with a restaurant, free private parking and a bar. The accommodation features evening entertainment and room service.,,,
Maine,Jackman,45.62619,-70.25615,Bishop's Motel,5.0,"""Bishops Country Inn Motel is offering accommodation in Jackman. The accommodation offers free shuttle service and free WiFi throughout the property.",,,,,,
Maine,Jackman,45.65272,-70.26616,Sky Lodge Cabins,5.0,"""Secluded in Moose River", these Maine cabins are 13 minutes drive from the Canadian border and offer an environment for outdoor activities like fishing, hunting and more.,,,,
Maine,,29.966269,-90.073486,Charming 3br 2ba Home in Historic Treme by Domio,3.0,,,,1816 Dumaine Street  ,70116,9179933107,
Maine,Newcastle,43.85102,-104.23393,Auto Inn Motel,2.0,"""Auto Inn Motel & RV Park features rooms in Newcastle. All rooms boast a flat-screen TV with cable channels and a private bathroom. Free WiFi is available and on-site parking is provided.",,,,,,
