State,City,Latitude,Longitude,HotelName,StarRating,Description,HotelFacilities,Attractions,Address,ZipCode,PhoneNumber,HotelWebsiteUrl
Missouri,Arnold,38.443000793,-90.376998901,Ramada Limited & Suites Arnold,2.0,"""HotelDescription#This hotel is located in Arnold", just outside St Louis. Countless restaurants can be found in the surrounding area, and it is about 30 km to the city centre of St Louis and its many attractions and sights.,,,,
Missouri,Arnold,38.44391,-90.37753,Drury Inn & Suites Arnold,3.0,"""Conveniently located off Interstate 55 and less than 20 minutes drive from Saint Louis city centre", this hotel includes guest rooms with free Wi-Fi and a flat-screen TV. A hot breakfast is offered each morning.,,,,,
Missouri,Arnold,38.44498,-90.37792,Pear Tree Inn St. Louis Arnold,3.0,"""Offering free Wi-Fi and a cable TV in every guest room", this hotel is less than 20 minutes drive from Saint Louis city centre.  A complimentary hot breakfast is served each morning.,,,,,
Missouri,Belton,37.787173,-85.487287,Howard Johnson Bardstown,2.0,Full service hotel near historic Bardstown with a restaurant. Free continental breakfast. Free wireless high speed internet.,Elevator / Lift Cafe Laundry service Whirlpool Sun terrace Gym Car Parking Picnic area Self Laundry Internet access Air Conditioned Coach parking,,1875 New Haven Road BardstownKentucky 40004 ,40004,,
Missouri,Branson,36.65176,-93.35109,Alpine Lodge Resort,5.0,"""Set in Branson", 3.6 km from Silver Dollar City, Alpine Lodge Resort offers air-conditioned accommodation and barbecue facilities. Boasting family rooms, this property also provides guests with a childrens playground. The resort has an outdoor swimming pool, hot tub and free WiFi throughout the property.,,
Missouri,Branson,36.6443,-93.23353,Homestead Motel,3.0,"""This Branson", Missouri, motel is 1 mile from The Branson Landing and Dixie Stampede Dinner Attraction. Guests of Homestead Motel will enjoy an outdoor pool and free Wi-Fi.,,,,
Missouri,Branson,45.61721,-123.94381,Beach Stay Motel,3.0,"""Located on the beach side of Highway 101 and a short walk from the beach", this motel offers easy access to the Pacific coast. Free Wi-Fi is available in every room.,,,,,
Missouri,Branson,45.61148,-123.94504,Silver Sands,3.0,"""This beachfront property offers cable TV in each room at Silver Sands.",,,,,,
Missouri,Branson,45.62719,-123.9433,Surfside Resort,3.0,"""Located on Rockaway Beach", this oceanfront hotel features an indoor heated pool and offers guest rooms with free Wi-Fi. Manhattan Beach State Park is less than a mile away.,,,,,
Missouri,Branson,45.61805,-123.94294,Sea Haven Motel And Guest House,5.0,"""Sea Haven Motel Unit 2 is situated in Rockaway Beach", 200 metres from Rockaway Beach, 40 km from Haystack Hill State Park, as well as 42 km from Haystack Gallery. This holiday home is 36 km from Arcadia Beach State Park and 39 km from Tolovana Beach State Park.,,,
Missouri,Branson,45.61519,-123.94404,Sea Treasures Inn,5.0,"""Sea Treasures Inn is located in Rockaway Beach", within 100 metres of Rockaway Beach and 41 km of Haystack Hill State Park. The property is around 43 km from Haystack Gallery, 48 km from Necanicum Guard Station and 35 km from Hug Point State Park. The accommodation provides an ATM and free WiFi throughout the property.,,,,
Missouri,Branson,36.6398546874645,-93.2827126979828,The Gretna Inn,5.0,,,,205 Gretna Road North of Highway 76BransonMissouri ,,4173348444,http://www.gretnainnbranson.com
Missouri,Branson,36.63815,-93.276,Hall Of Fame,3.0,"""Featuring free WiFi", this hotel is located across the street from Hollywood Wax Museum. The College of the Ozarks is 6 miles from the property.,,,,,
Missouri,Branson,36.6285,-93.27952,MidWest Inn,2.0,"""Featuring 2-star accommodation", OYO Hotel Branson MO-165 is set in Branson, 2 km from Mickey Gilley Theatre and 3 km from Andy Williams Moon River Theater. The 2-star hotel has air-conditioned rooms with a private bathroom and free WiFi. The property is non-smoking and is situated 1.5 km from Titanic Museum.,,,,
Missouri,Branson,36.642,-93.248,Ramada Resort & Conference Centre,3.0,"""This charming hotel enjoys a fabulous location in the picturesque wooded greenery of Branson and offers glorious views of the Dixie Stampede. A wide selection of shopping and entertainment venues are all located nearby. Celebration City (a night-time theme park) is about 6 km away.",,,,,,
Missouri,Branson,36.6351,-93.41253,Port Of Kimberling Marina & Resort,3.0,"""Located in southern Missouri", this resort is on the shores of Table Lake. It features a swim area and an on-site boat ramp.,,,,,
Missouri,Branson,36.656089783,-93.33379364,Capital Resorts Crowne View Heights,3.0,Nestled off Indian Point Road near Silver Dollar City  The Condos are minutes from the pristine shores of Table Rock Lake,Separate dining area Cable / Satellite Television Children's pool Free self parking American Express Tea/Coffee Making Facilities Spa tub Barbecue / Grill Telephone Concierge Desk Visa Discover Diners Club Tour desk Flat screen TV (LCD  LED or Plasma TV) Toiletries Jacuzzi Pets Not Allowed No elevators Fridge Hairdryer Dishwasher Kitchen Iron & Board Extra Bed/Sofa Bed CD/DVD Player Golf Course Car Parking Sofa Bed Microwave Private bathrooms Air Condition in rooms Private balcony / terrace Premium TV channels Fireplace in room Outdoor Swimming Pool Separate living room,Distances are calculated in a straight line from the property&apos;s location to the point of interest or attraction  and may not reflect actual travel distance. &lt;br /&gt;&lt;br /&gt; Distances are displayed to the nearest 0.1 mile and kilometer. &lt;p&gt;Silver Dollar City - 1.3 km / 0.8 mi &lt;br /&gt;Shepherd of the Hills Outdoor Theater - 2.5 km / 1.5 mi &lt;br /&gt;Indian Point Park - 3 km / 1.9 mi &lt;br /&gt;Henning Conservation Area - 3.4 km / 2.1 mi &lt;br /&gt;The Butterfly Palace - 3.7 km / 2.3 mi &lt;br /&gt;RFD TV - The Theatre - 3.8 km / 2.3 mi &lt;br /&gt;IMAX Entertainment Complex - 4.1 km / 2.5 mi &lt;br /&gt;Little Opry Theater - 4.1 km / 2.5 mi &lt;br /&gt;Xtreme Racing Center Branson - 4.2 km / 2.6 mi &lt;br /&gt;World&apos;s Largest Toy Museum - 4.2 km / 2.6 mi &lt;br /&gt;Faith Life Church - 4.3 km / 2.7 mi &lt;br /&gt;Shoji Tabuchi Theater - 4.5 km / 2.8 mi &lt;br /&gt;White Water - 4.6 km / 2.9 mi &lt;br /&gt;Talking Rocks Cavern - 4.7 km / 2.9 mi &lt;br /&gt;Mickey Gilley Theater - 4.7 km / 2.9 mi &lt;br /&gt;&lt;/p&gt;&lt;p&gt;The preferred airport for Capital Resorts Crowne View Heights is Branson  MO (BKG) - 18.6 km / 11.5 mi. &lt;/p&gt;,16 Willow Oak Ln Off Indian Point Road BransonMissouri 65616 ,65616,8663744849,http://www.grandcrowneresorts.com/content/lodging-property/branson-mo/lodging/crowne-view-heights
Missouri,Branson,36.62295,-93.27697,Palace View Resort by Spinnaker,4.0,"""About a 5-minute drive from the Branson entertainment strip", this property offers self-catering villas with a furnished balcony. Table Rock Lake is 6.5 miles away.,,,,,
Missouri,Branson,36.6435,-93.28914,Spinning Wheel Inn,2.0,"""Featuring an outdoor seasonal pool", the Spinning Wheel Inn is a 2-minute drive from the water park White Water. Decorated in floral designs, the guest rooms include free Wi-Fi and cable TV.,,,,
Missouri,Branson,36.64457,-93.2893,Twelve Oaks Inn,2.0,"""Located in the center of Branson", Missouri, this motel is just 0.4 miles from White Water Park. Guests can enjoy a free continental breakfast with biscuits and gravy as well as an outdoor pool.,,,,
