State,City,Latitude,Longitude,HotelName,StarRating,Description,HotelFacilities,Attractions,Address,ZipCode,PhoneNumber,HotelWebsiteUrl
Montana,Babb,48.79644,-113.6577,Many Glacier Hotel,3.0,This lovely hotel is set in Kalispell. There are a total of 214 guests rooms at Many Glacier Hotel. Many Glacier Hotel is not a pet-friendly establishment.,Hotel,,36 Many Glacier Hotel Loop GLACIER NATIONAL PARK ,59417,4067324411,http://www.glacierparkinc.com/many_glacier_hotel.php
Montana,Babb,48.84399,-113.39708,Montana's Duck Lake Lodge,2.0,"""Located 10 miles from Glacier National Park Conservancy", this Babb, Montana lodge features a restaurant and a lounge onsite. A mountain view is featured from each room.,,,,
Montana,,45.83087,-109.96099,River Valley Inn,1.0,"""Our property is family built and for the most part ran by us", we do hire out, and our employees and ourselves take great pride in our property. We hope you get that homey feel as we try our best to make everyone feel at home!!! Located off Interstate 90, this Montana motel features guest rooms with free Wi-Fi.  It serves a daily continental breakfast and offers free guest parking for large vehicles.  Yellowstone National Park is 165 miles away.,,,
Montana,Bigfork,48.05767,-114.07613,Timbers Motel Travelodge by Wyndham Bigfork,2.0,"""Located off Highway 35", this Big Fork, Timbers Motel is just a short walk to Flathead Lake downtown Bigfork.  It features a heated outdoor pool, hot tub, sauna and an outdoor lounge area with a  gazebo.  Pet-friendly guest rooms offer free Wi-Fi.,,
Montana,Bigfork,48.00006,-114.04694,The Islander Inn,3.0,"""Located on Flathead Lake just 4.5 miles from Bigfork", this collection of island-theme suites and bungalows offer free Wi-Fi, and many are dog-friendly. There is an on-site restaurant and bar.,,,,
Montana,Bigfork,48.05985,-114.07207,Bridge Street Cottages,3.0,"""Providing barbecue facilities", Bridge Street Cottages provides accommodation in Bigfork. Free WiFi is available.,,,,,
Montana,Bigfork,48.06278,-114.07462,Swan River Inn,4.0,"""Conveniently located just 2 miles from the galleries and restaurants in Bigfork city centre", this Montana hotel offers uniquely themed guest accommodations and an on-site restaurant.,,,,,
Montana,Bigfork,48.0029,-114.05127,Flathead Lake Resort,2.0,"""Offering nautical-themed cabins", motel rooms, RV hookups, and tent camping, Flathead Lake Resort features a private beach area on Flathead Lake. Free WiFi is available on-site.,,
Montana,Billings,45.59059,-109.08328,Yellowstone River Lodge,3.0,"""Nestled on the banks of the Yellowstone River", this Montana lodge offers furnished guest accommodations. Fishing access is just a few minutes away.,,,,,
Montana,Billings,45.79183,-108.51311,Rimview Inn,2.0,,24-hour front desk Free WiFi Free airport transportation Free breakfast Free long-term parking Free self parking Laundry facilities Pets allowed Picnic area Total number of rooms - 54,Distances are calculated in a straight line from the property&apos;s location to the point of interest or attraction  and may not reflect actual travel distance. &lt;br /&gt;&lt;br /&gt; Distances are displayed to the nearest 0.1 mile and kilometer. &lt;p&gt;Dehler Park - 0.4 km / 0.2 mi &lt;br /&gt;Yellowstone Art Museum - 0.9 km / 0.5 mi &lt;br /&gt;Alberta Bair Theater - 1 km / 0.6 mi &lt;br /&gt;Skypoint - 1.1 km / 0.7 mi &lt;br /&gt;St. Patrick&apos;s Co-Cathedral - 1.1 km / 0.7 mi &lt;br /&gt;Moss Mansion - 1.4 km / 0.8 mi &lt;br /&gt;Billings Depot - 1.4 km / 0.9 mi &lt;br /&gt;Billings Studio Theater - 3.2 km / 2 mi &lt;br /&gt;Rimrock Auto Arena - 3.3 km / 2 mi &lt;br /&gt;Rocky Mountain College - 3.3 km / 2.1 mi &lt;br /&gt;Rimrock Mall - 5.8 km / 3.6 mi &lt;br /&gt;Pictograph Cave State Park - 8.7 km / 5.4 mi &lt;br /&gt;Geyser Park - 9.7 km / 6.1 mi &lt;br /&gt;ZooMontana - 10.6 km / 6.6 mi &lt;br /&gt;&lt;/p&gt;&lt;p&gt;The preferred airport for Rimview Inn is Billings  MT (BIL-Logan Intl.) - 2.3 km / 1.5 mi. &lt;/p&gt;,1025 North 27th Street BillingsMontana 59101 ,59101,4062482622,http://www.rimviewinn.com/
