State,City,Latitude,Longitude,HotelName,StarRating,Description,HotelFacilities,Attractions,Address,ZipCode,PhoneNumber,HotelWebsiteUrl
Nevada,Beatty,36.90811,-116.75641,Atomic Inn Beatty Near Death Valley,2.0,"""Located 19 miles from the Hells Gate entrance to Death Valley National Park", this pet-friendly motel offers retro American design. Guests of this non-smoking motel are offered coffee, tea, and hot cereal. Unlimited free parking is always available.,,,
Nevada,Beatty,36.90451,-116.75599,Death Valley Inn Motel & RV Park,3.0,"""Located in Beatty", Nevada, 13 km from the entrance to Death Valley National Park, this motel offers an outdoor pool, a hot tub and a furnished terrace with BBQ facilities and shaded seating. Featuring modern furnishings, all of the non-smoking guest rooms include free WiFi.,
Nevada,Beatty,36.91459,-116.7531,Stagecoach Hotel & Casino,3.0,This charming hotel can be found in Death Valley. Stagecoach Hotel & Casino features a total of 80 accommodation units. This accommodation does not accept pets.,Hotel,,East Highway 95 BEATTY ,89003,7755532419,http://www.bestdeathvalleyhotels.com/beatty-hotels-stagecoach.php
Nevada,Beatty,36.90851,-116.75842,Exchange Club Motel,3.0,"""Located in Beatty", Nevada, 9.5 miles from the Death Valley National Park, this motel offers an on-site launderette. Comfortably furnished, all guest rooms include free WiFi.,,
Nevada,Beatty,36.90589,-116.76229,El Portal Motel,2.0,"""Offering a seasonal outdoor pool", El Portal Motel is located in Beatty, the Gateway to Death Valley. Free Wi-Fi access is available in all guest rooms.,,,,
Nevada,Beatty,37.25804,-117.00782,Shady Lady Bed & Breakfast,3.0,"""Offering an outdoor pool and views of the pool", Shady Lady Bed and Breakfast is situated in the Nevada Region and is 49 km away from Death Valley National Park North East Entrance.,,,,,
Nevada,Elko,40.85761,-115.73881,Hilton Garden Inn Elko,3.0,"""Located just off I-80 and 5 minutes from downtown Elko", this hotel features an on-site restaurant. Free Wi-Fi and shuttle service to and from Elko Municipal Airport are provided.,,,,,
Nevada,Elko,40.83942,-115.75547,Budget Inn Elko,2.0,"""Located off I-80", this Elko, Nevada motel features classically furnished rooms with free WiFi. It offers a free shuttle to the Elko Regional Airport, 3.2 km away.,,,
Nevada,Elko,40.83176,-115.76521,Thunderbird Motel,2.0,"""This downtown Elko motel offers a free transfer service to Elko Regional Airport", 3 miles away. It features a seasonal outdoor pool. All guest rooms feature free Wi-Fi. Free parking is available.,,,,,
Nevada,Elko,41.10128,-114.95372,Motel 6 Wells,2.0,"""Less than 1 mile from Wells Municipal/Harriet Field Airport", this motel offers air-conditioned rooms with cable TV. Facilities include a seasonal outdoor heated swimming pool.,,,,,
Nevada,Elko,40.8329,-115.76315,Esquire Inn,2.0,"""Featuring a daily breakfast", this 100% non-smoking Elko hotel is 5 minutes drive to Elko Regional Airport. Free transportation to Stockmens Casino is offered. Western Folklife Center is 2 minutes walk away.,,,,,
Nevada,Elko,40.83813,-115.75646,Holiday Motel,2.0,"""Featuring free WiFi", Holiday Motel offers accommodation in Elko. Free private parking is available on site.,,,,,
Nevada,Elko,40.83805,-115.75719,Travelers Motel,2.0,"""Travelers Motel is a 2-star property set in Elko. The 2-star motel has air-conditioned rooms with a private bathroom and free WiFi.",,,,,,
Nevada,Elko,41.10961,-114.96162,Sharon Motel,2.0,"""Near the junction of Highways 80 and 93", Sharon Motel is a family-owned non-smoking hotel in Wells. Every room offers free WiFi and a free parking space.,,,,,
Nevada,Elko,41.10739,-114.97503,Wells Chinatown,2.0,"""Located less than a mile from Interstate 80", a full service restaurant is on site at this motel and RV park. Rooms offer free Wi-Fi and laundry facilities are available for guest convenience.,,,,,
Nevada,Elko,40.83663,-115.75889,Economy Inn Elko,2.0,"""Economy Inn Elko is a 2-star property situated in Elko. This 2-star motel offers free shuttle service", a 24-hour front desk and free WiFi.,,,,,
Nevada,Elko,41.097852157,-114.961383803,Hampton Inn & Suites Wells,3.0,"""Welcome to our Hampton Inn & Suites Wells hotel at the crossroads of I-80 and Hwy 93 with easy access to the city center", nearby casinos and restaurants. We are just steps from Love's Travel Stop and Casino and minutes from the Humboldt National Forest.,,,,,
Nevada,Elko,40.82853,-115.77212,American Inn,4.0,"""Located in Elko", American inn features 4-star accommodation with private balconies. This 4-star hotel has air-conditioned rooms with a private bathroom. The accommodation provides a 24-hour front desk, airport transfers, room service and free WiFi.,,,
Nevada,Ely,39.24891,-114.88468,White Pine Motel,5.0,"""Situated in Ely", White Pine Motel Under New Managment features air-conditioned rooms with free WiFi.,,,,,
Nevada,Ely,39.25107,-114.87228,Bristlecone Motel,3.0,"""Located in Ely", Bristlecone Motel features rooms with free WiFi. Free guest parking is available.  Ramada Copper Queen Casino is 1 minutes walk away.,,,,,
Nevada,Ely,39.25837,-114.86843,All Aboard Cafe & Inn,3.0,"""Featuring air-conditioned accommodation with a patio", All Aboard Cafe and Inn is located in Ely. This bed and breakfast provides a restaurant, a garden as well as free WiFi.,,,,
Nevada,Ely,39.2486,-114.89303,Jailhouse Motel and Casino,3.0,"""Located 2 minutes walk from Bristlecone Convention Center", this motel includes a casino and 2 restaurants and bars on site.  It features a fitness centre with a hot tub.  All rooms offer free Wi-Fi.,,,,,
Nevada,Fallon,39.47475,-118.78721,Super 8 by Wyndham Fallon,3.0,"""Featuring free WiFi", Super 8 Fallon offers pet-friendly accommodation in Fallon.,,,,,
Nevada,Fallon,39.47508,-118.77888,Value Inn,2.0,"""Located on Interstate 50 and US 95", this Fallon motel features a seasonal outdoor pool. All guest rooms offer free Wi-Fi. Free guest parking is available.,,,,,
Nevada,Fallon,39.47549,-118.80062,Budget Inn,2.0,"""Located in Fallon just 15 minutes drive from the NAS Fallon front gate", the Budget Inn features free WiFi access. Each air-conditioned guest room offers a microwave and compact fridge.,,,,,
Nevada,Gardnerville,38.69487,-119.54839,Super 8 by Wyndham Gardnerville Topaz Lake,1.0,"""Located 18.6 miles from the Carson Valley Country Club", this Gardnerville hotel offers a seasonal outdoor pool, on-site dining and a 24-hour casino complete with a bar and lounge. Free Wi-Fi is included in all guest rooms.,,,,
Nevada,Henderson,36.00588,-115.121877,Oakwood At Green Valley,3.0,HotelDescription#Further information about this hotel will be available shortly,NO Garage NO Connecting rooms NO Large pets allowed (over 5 kg) NO Smoking rooms NO Car park NO Small pets allowed (under 5 kg) NO Disability-friendly bathroom NO Wheelchair-accessible,,10115 Jeffreys Street Las VegasNevada ,,,
Nevada,Henderson,36.06246,-115.00836,Skyline Hotel And Casino,3.0,"""Situated 18 km from Crystals Shopping Center", Skyline Hotel and Casino offers 3-star accommodation in Las Vegas and features a garden, a restaurant and a bar. This 3-star hotel offers a 24-hour front desk, an ATM and free WiFi. The hotel has an outdoor swimming pool, fitness centre, evening entertainment and a shared lounge.,
Nevada,Jackpot,41.9857,-114.672,Horseshu Hotel & Casino,3.0,"""Facilities",,,,,,
Nevada,,36.036543927672,-115.17182081938,Budget Suites Las Vegas,3.0,HotelDescription#Further information about this hotel will be available shortly,NO Garage NO Wheelchair-accessible NO Disability-friendly bathroom NO Small pets allowed (under 5 kg) NO Large pets allowed (over 5 kg) NO Smoking rooms NO Car park NO Connecting rooms,,8440 Las Vegas Boulevard Las VegasNevada 89123 ,89123,7028372000,http://www.budgetsuites.com/locations-list.php?id=
Nevada,,36.039823306778,-115.1757261157,Oakwood At One Las Vegas,3.0,HotelDescription#Further information about this hotel will be available shortly,NO Connecting rooms NO Large pets allowed (over 5 kg) NO Car park NO Smoking rooms NO Wheelchair-accessible NO Garage NO Small pets allowed (under 5 kg) NO Disability-friendly bathroom,,8255 Las Vegas Boulevard South Las VegasNevada 89123-1064 ,89123,,http://www.oakwood.com/furnished-apartments/furnis
Nevada,,36.00588,-115.121877,Oakwood At Green Valley,3.0,HotelDescription#Further information about this hotel will be available shortly,NO Garage NO Connecting rooms NO Large pets allowed (over 5 kg) NO Smoking rooms NO Car park NO Small pets allowed (under 5 kg) NO Disability-friendly bathroom NO Wheelchair-accessible,,10115 Jeffreys Street Las VegasNevada ,,,
