State,City,Latitude,Longitude,HotelName,StarRating,Description,HotelFacilities,Attractions,Address,ZipCode,PhoneNumber,HotelWebsiteUrl
New Hampshire,,43.98438,-71.16245,Darby Field Inn,3.0,"The Darby Field Inn offers an authentic White Mountain experience with an incredible mountain view. Escape the traffic and crowds on Rt. 16 and stay on serene Chase Hill Rd, surrounded by what you came here for: beautiful scenery, easy access to area attractions, friendly, helpful staff, and delicious food!  Hiking, shopping, skiing, canoeing, and MORE only minutes away.  Make your visit to New Hampshire a memorable one...reserve your vacation at the Darby Field Inn! Uniquely decorated rooms are offered at this full-service Albany, New Hampshire inn. The inn features Littlefields Tavern, spa services and a seasonal outdoor heated pool. Mount Washington Observatory is 8.5 miles away.

Free WiFi is available in all rooms at the Darby Field Inn. Each room includes a private bathroom, air conditioning and a seating area. Some rooms provide a 2-person whirlpool tub.

The restaurant serves made-to-order breakfasts and dinner, by candlelit, Thursday through Sunday. A wine list is available.

North Conway Country Club is 8.4 miles from Albany Darby Field Inn. Nearby activities include snowmobiling, canoeing, hiking and tours of covered bridges.

Award winning gardens are on site for guests to walk through. White Mountain croquet and cribbage are available. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Swimming pool #1 is closed from Mon 14 Sept 2020 until Thu 31 Dec 2020
Upon check-in photo identification and credit card is required. All special requests are subject to availability upon check-in. Special requests cannot be guaranteed and may incur additional charges.",Air conditioning Facilities for disabled guests Restaurant Pool with view meeting/banquet facilities pool/beach towels Skiing Garden Parking Library Private parking shared lounge/TV area Shallow end Fence around pool Fire extinguishers Free WiFi Private check-in/check-out Swimming pool Outdoor pool On-site parking concierge service wifi Heating Free parking Tennis Court Massage internet services Bridal suite outdoor pool (seasonal) board games/puzzles Daily housekeeping Non-smoking throughout wifi available in all areas Bar Adult only Non-smoking rooms Smoke alarms Cycling designated smoking area Sun terrace Hiking temporary art galleries Terrace,,185 Chase Hill Road AlbanyNew Hampshire 03818 ,03818,6034472181,https://www.booking.com/hotel/us/albany-185-chase-hill-road.html
New Hampshire,,43.0299,-71.9381,Maplehurst Inn,2.0,"Property Location Located in Antrim, Maplehurst Inn is within the vicinity of Crotched Mountain Ski and Ride Area and Franklin Pierce Homestead. This bed & breakfast is within the region of Mariposa Museum and World Cultures Center and Pats Peak.Rooms Make yourself at home in one of the 14 air-conditioned guestrooms. Wireless Internet access surcharge keeps you connected, and satellite programming is available for your entertainment. Conveniences include phones and ceiling fans.Rec, Spa, Premium Amenities Make use of convenient amenities such as wireless Internet access surcharge, wedding services, and a fireplace in the lobby.Dining Enjoy a satisfying meal at a restaurant serving guests of Maplehurst Inn. Quench your thirst with your favorite drink at a bar/lounge.Business, Other Amenities The front desk is staffed during limited hours.",Hairdryer TV Channels Fire Place Air Condition in rooms Fan Restaurant Telephone Wedding services Bar / Lounge Barbecue / Grill Wireless Internet Access Limited Time Reception Conference Facilites,Distances are calculated in a straight line from the property&apos;s location to the point of interest or attraction  and may not reflect actual travel distance. &lt;br /&gt;&lt;br /&gt; Distances are displayed to the nearest 0.1 mile and kilometer. &lt;p&gt;Franklin Pierce Homestead - 9.7 km / 6 mi &lt;br /&gt;Peterborough Players - 12.6 km / 7.8 mi &lt;br /&gt;Sharon Arts Center - 16.8 km / 10.4 mi &lt;br /&gt;Peterborough Town House - 17 km / 10.6 mi &lt;br /&gt;The Monadnock Center for History and Culture - 17 km / 10.6 mi &lt;br /&gt;Friendly Farm - 18 km / 11.2 mi &lt;br /&gt;Pats Peak - 18.8 km / 11.7 mi &lt;br /&gt;Miller State Park - 20.5 km / 12.7 mi &lt;br /&gt;Granite Gorge - 23.3 km / 14.5 mi &lt;br /&gt;Monadnock State Park - 23.8 km / 14.8 mi &lt;br /&gt;Jaffrey Civic Center - 24.8 km / 15.4 mi &lt;br /&gt;Stonebridge Golf Course - 25.1 km / 15.6 mi &lt;br /&gt;Cathedral of the Pines - 28.7 km / 17.8 mi &lt;br /&gt;Central Square - 29.7 km / 18.4 mi &lt;br /&gt;Colonial Theatre - 29.7 km / 18.5 mi &lt;br /&gt;&lt;/p&gt;&lt;p&gt;The preferred airport for Maplehurst Inn is Manchester  NH (MHT-Manchester-Boston Regional) - 42.2 km / 26.2 mi. &lt;/p&gt;,67 Main Street AntrimNew Hampshire 03440 ,03440,,
New Hampshire,,43.737884,-71.664221,Cold Spring Resort,3.0,"<p>HeadLine : Near The Flying Monkey Movie House and Performance Center</p><p>Location : Located in Ashland, Cold Spring Resort is in the mountains, within a 10-minute drive of Plymouth State University and Silver Center for the Arts.  This golf vacation home is 3.2 mi (5.2 km) from The Flying Monkey Movie House and Performance Center and 6.3 mi (10.2 km) from Squam Lake.</p><p>Rooms : Make yourself at home in one of the 77 air-conditioned rooms featuring fireplaces. Kitchens are outfitted with full-sized refrigerators/freezers, stovetops, and microwaves. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Conveniences include coffee/tea makers and irons/ironing boards, as well as phones with free local calls.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : The front desk is open daily from 8:00 AM - 4:00 PM. To make arrangements for check-in please contact the property at least 24 hours before arrival using the information on the booking confirmation. If you are planning to arrive after 4:00 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",Motor boating nearby Golf cart Wheelchair accessible (may have limitations) Fishing nearby Pool umbrellas Sailing nearby Playground on site Free WiFi Barbecue grill(s) Downhill skiing nearby Golfing nearby Cross-country skiing nearby Hiking/biking trails nearby Arcade/game room Laundry facilities Designated smoking areas Sauna Kayaking nearby Fitness facilities Golf course on site Basketball on site Snowshoeing on site Number of spa tubs - 1 Pool sun loungers Number of outdoor pools - 1 Fence around pool Number of indoor pools - 1 Picnic area Snowboarding Nearby Fireplace in lobby Volleyball on site Boat tours nearby Golf driving range on site Pro shop Off-street parking Clubhouse Outdoor tennis courts - 1 Billiards or pool table Ski equipment rental shops nearby Canoeing nearby Front desk (limited hours) Marina nearby,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Plymouth State University - 4.2 km / 2.6 mi <br /> Plymouth Historical Society Museum - 4.7 km / 2.9 mi <br /> Silver Center for the Arts - 4.7 km / 2.9 mi <br /> Museum of the White Mountains - 5 km / 3.1 mi <br /> The Flying Monkey Movie House and Performance Center - 5.2 km / 3.2 mi <br /> Langdon Park - 5.3 km / 3.3 mi <br /> Pauline E Glidden Toy Museum - 5.7 km / 3.5 mi <br /> Fox Park - 5.9 km / 3.6 mi <br /> St. Mark s Episcopal Church - 6.3 km / 3.9 mi <br /> Whipple House Museum - 6.4 km / 4 mi <br /> Ashland Railroad Station Museum - 6.7 km / 4.1 mi <br /> Rhino Bike Works - 6.9 km / 4.3 mi <br /> Livermore Falls State Forest - 7.5 km / 4.7 mi <br /> Whitten Woods Trailhead - 7.7 km / 4.8 mi <br /> Riveredge Marina - 9 km / 5.6 mi <br /> </p><p>The nearest airports are:<br />Manchester-Boston Regional Airport (MHT) - 101.8 km / 63.3 mi<br /> Laconia  NH (LCI-Laconia Municipal) - 36.3 km / 22.6 mi<br /> </p><p>The preferred airport for Cold Spring Resort is Manchester-Boston Regional Airport (MHT). </p>,North Ashland Road 460 03217 Ashland AshlandNew Hampshire 03217 ,03217,6035364600,http://coldspringresort.org
New Hampshire,,43.700283,-71.64522,Comfort Inn,2.0,"<p>HeadLine : Near Pauline E Glidden Toy Museum</p><p>Location : When you stay at Quality Inn in Ashland, you ll be near the beach, within a 5-minute drive of Pauline E Glidden Toy Museum and St. Mark s Episcopal Church.  This hotel is 10.6 mi (17.1 km) from Lake Winnipesaukee and 9.7 mi (15.5 km) from White Mountain National Forest.</p><p>Rooms : Make yourself at home in one of the 40 guestrooms featuring refrigerators and LCD televisions. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Bathrooms have shower/tub combinations and hair dryers. Conveniences include desks and microwaves, as well as phones with free local calls.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a carbon monoxide detector, a smoke detector, a security system, and window guards</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",Gift shops or newsstand Wheelchair accessible (may have limitations) Free RV  bus  truck parking Vending machine Wheelchair-accessible registration desk Television in common areas Free WiFi Downhill skiing nearby Cross-country skiing nearby Arcade/game room Designated smoking areas Upper floors accessible by stairs only In-room accessibility (in select rooms) Wheelchair accessible parking Snowboarding Nearby Fireplace in lobby Ski passes available Snow Tubing Nearby Express check-out Snowmobiling Nearby Visual alarms in hallways Business center Ice skating nearby 24-hour front desk Wheelchair-accessible meeting spaces/business center Safe-deposit box at front desk Coffee/tea in common areas Hiking/biking trails nearby Free self parking Computer station,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Pauline E Glidden Toy Museum - 0.8 km / 0.5 mi <br /> St. Mark s Episcopal Church - 1.3 km / 0.8 mi <br /> Whipple House Museum - 1.5 km / 0.9 mi <br /> Ashland Railroad Station Museum - 1.8 km / 1.1 mi <br /> Little Squam Lake - 2.5 km / 1.5 mi <br /> Whitten Woods Trailhead - 2.7 km / 1.7 mi <br /> Riveredge Marina - 4.6 km / 2.8 mi <br /> Scribner-Fellows State Forest - 5 km / 3.1 mi <br /> Winona Lake - 6.6 km / 4.1 mi <br /> Squam Lake - 7.9 km / 4.9 mi <br /> Squam Lakes Natural Science Center - 7.9 km / 4.9 mi <br /> Plymouth State University - 9.2 km / 5.7 mi <br /> Silver Center for the Arts - 9.5 km / 5.9 mi <br /> Plymouth Historical Society Museum - 9.7 km / 6 mi <br /> The Flying Monkey Movie House and Performance Center - 10 km / 6.2 mi <br /> </p><p>The nearest airports are:<br />Manchester-Boston Regional Airport (MHT) - 98.2 km / 61 mi<br /> Laconia  NH (LCI-Laconia Municipal) - 28.7 km / 17.8 mi<br /> </p><p>The preferred airport for Quality Inn is Manchester-Boston Regional Airport (MHT). </p>,53 West St. AshlandNew Hampshire 03217 ,03217,6039687668,http://www.comfortinn.com/hotel-ashland-new_hampshire-NH022
New Hampshire,,43.69746,-71.63357,Glynn House Inn,,"Nestled in the heart of New Hampshires lakes and mountains, this historic inn offers elegant surroundings, delicious food, modern amenities and unrivaled service. Its situated near leisure activities, historic sites, great restaurants and shops.

The Glynn House is a charming, Victorian inn offering 13 spacious guestrooms. The rooms include elegant furnishings, private baths romantic fireplaces, LCD TVs, and Wi-Fi. Six of the rooms are deluxe suites that also offer double whirlpool baths.

A delicious gourmet breakfast is served at individual tables in the Glynn House Inns elegant dining room. Guests will also enjoy daily afternoon refreshments plus complimentary wine. Please inform Glynn House Inn in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
Upon check-in photo identification and credit card are required.  All special requests are subject to availability upon check-in. Special requests cannot be guaranteed and may incur additional charges.

All special requests and special dietary requirements need to be communicated to the Inn at least 48 hours prior to arrival.",sun loungers or beach chairs Sun umbrellas Outdoor furniture Picnic area Spa Facilities Spa/wellness packages Fitness fitness classes Personal trainer Key access Smoke alarms Fire extinguishers bicycle rental use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available cashless payment available physical distancing rules followed invoice provided all plates  cutlery  glasses and other tableware have been sanitized breakfast takeaway containers Ski storage Ski school Free WiFi Air conditioning designated smoking area concierge service Ski pass vendor Special diet menus (on request) Daily housekeeping parking on site wifi available in all areas board games/puzzles secured parking Accessible parking Wine/champagne Fruits Pet basket Pet bowls Parking Pets allowed Tennis Court Golf course (within 3 km) Garden Terrace Non-smoking rooms Fishing Laundry Skiing Family rooms Free parking internet services express check-in/check-out children's playground Windsurfing Canoeing Hiking Packed lunches Cycling Bowling Tour desk Heating Horse riding Luggage storage wifi Mini golf,,59 Highland Street AshlandNew Hampshire 03217 ,03217,6039683775,https://www.booking.com/hotel/us/glynn-house-inn.html
New Hampshire,,44.09257,-71.20471,Wills Inn,2.0,"Located in the White Mountain National Forest, this motel in Bartlett is 5 minutes drive from Attitash ski area and offers discount access to the ski lifts in this area. Guests have access to free WiFi and coffee in the lobby.

Swimming in the outdoor heated pool and cooking on the BBQ facilities are available to guests at the Wills Inn  Bartlett. The accommodation also has a childrens playground.

The rooms at Wills Inn offer the convenience of a microwave and a refrigerator. There is also a cable TV.

Story Land is 6 minutes drive from the motel. North Conway is 12 km away. Jackson, New Hampshire is 8 km from the property. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Please note, some rooms are accessible by stairs only.",Parking Pets allowed Non-smoking rooms Laundry Family rooms Free parking internet services children's playground BBQ facilities Heating wifi Free WiFi Air conditioning parking on site wifi available in all areas board games/puzzles kids' outdoor play equipment Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays staff follow all safety protocols as directed by local authorities process in place to check health of guests contactless check-in/check-out cashless payment available physical distancing rules followed invoice provided property is cleaned by professional cleaning companies,,440 U.S. 302 GlenNew Hampshire 03838 ,03838,,https://www.booking.com/hotel/us/wills-inn.html
New Hampshire,,44.0795,-71.26255,The Villager Motel,2.0,"The Villager Motel is surrounded by the White Mountain National Forest and is 5.5 miles from Storyland Amusement Park. It features rooms with free Wi-Fi.

A microwave and refrigerator are included in all simply furnished rooms at the Villager Motel. All rooms include a cable TV and a patio with outdoor seating.

Free access to the seasonal outdoor pool is provided to all guests of the Motel Villager. Outdoor barbecue facilities and a childrens playground are also available.

Parking is free at the Villager. The Conway Scenic Railroad is 10 miles from the motel. Sabbaday Falls is a 30-minute drive away. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Upon check-in photo identification and credit card is required. All special requests are subject to availability upon check-in. Special requests cannot be guaranteed and may incur additional charges.",Parking Free parking Pool with view wifi available in all areas Air conditioning Pets allowed breakfast options internet services BBQ facilities Heating Family rooms Heated pool outdoor pool (seasonal) children's playground Swimming pool On-site parking wifi Swimming pool Free WiFi Daily housekeeping Non-smoking rooms,,1126 Route 302 P.O.Box 427BartlettNew Hampshire 03812 ,03812,6033742742,https://www.booking.com/hotel/us/the-villager-motel.html
New Hampshire,,44.07576,-71.29375,The Bartlett Inn,3.0,"Offering a complimentary hot breakfast, Bartlett Inn is located in Bartlett, New Hampshire. Free Wi-Fi access is available. The property features a heated outdoor swimming pool.

Air conditioning and a wood or gas fireplace are included in each uniquely decorated room. Private bathrooms are equipped with towels.

Guests at Bartlett Inn can enjoy views of the gardens. Other facilities offered include a shared lounge, childrens playground and ski pass vendor. An array of activities can be enjoyed in the surroundings, including skiing and hiking.

A breakfast including coffee, fresh fruit, a hot entrée and more is served each morning at the New Hampshire Bartlett Inn.

Attitash Mountain is just 6 minutes drive from the property. Black Mountain is 20 minutes drive. In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Due to Coronavirus (COVID-19), this property has reduced reception and service operating hours.
Food & beverage services at this property may be limited or unavailable due to Coronavirus (COVID-19).
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
You must show a valid photo ID and credit card upon check-in. Please note that all special requests cannot be guaranteed and are subject to availability upon check-in. Additional charges may apply.

Please note, the pet policy applies to dogs and cottage room types only. Pets must be approved in advance. Contact the property for details.

Please note maximum occupancy is 2 guests including children and infants. This means 2 adults OR 1 adult and 1 child OR 1 adult and 1 infant. Children and infants may not be added in addition to 2 adults.

we are not serving breakfast now, the pool is currently closed and there is a self-checkin wherein guests will go right to their reserved room where the door will be unlocked with the key inside (versus obtaining the key from the office).  The rooms are extra cleaned.",Parking Pets allowed Non-smoking rooms Skiing Free parking internet services express check-in/check-out children's playground Hiking Heating wifi Free WiFi Air conditioning Ski pass vendor Ski-to-door access parking on site Private parking kids' outdoor play equipment Street parking Accessible parking Outdoor furniture Picnic area Smoke alarms Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning staff follow all safety protocols as directed by local authorities contactless check-in/check-out cashless payment available physical distancing rules followed invoice provided property is cleaned by professional cleaning companies guests have the option to cancel any cleaning services for their accommodation during their stay,,1477 US Route 302 BartlettNew Hampshire 03812 ,03812,6037456700,https://www.booking.com/hotel/us/bartlett-inn.html
New Hampshire,,44.077539,-71.251809,Grand Summit Hotel at Attitash,3.0,"<p>HeadLine : Near Attitash Mountain Resort</p><p>Location : Located in Bartlett, Grand Summit Hotel at Attitash is in the mountains, within a 15-minute drive of Story Land and Wentworth Golf Club.  This ski hotel is 8 mi (12.9 km) from Jackson Falls and 8.7 mi (14 km) from Diana s Baths.</p><p>Rooms : Make yourself at home in one of the 143 air-conditioned rooms featuring LCD televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with shower/tub combinations feature complimentary toiletries and hair dryers. Conveniences include desks and coffee/tea makers, and housekeeping is provided daily.</p><p>Dining : Enjoy a meal at the restaurant or snacks in the hotel s coffee shop/cafe. Quench your thirst with your favorite drink at the bar/lounge. Cooked-to-order breakfasts are available daily from 7:00 AM to noon for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a carbon monoxide detector and a smoke detector</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",Breakfast available (surcharge) Ski-in/ski-out access Playground on site Housekeeping on request Smoke-free property Number of coffee shops/cafes - 1 Laundry facilities Sauna elevator Free self parking Fitness facilities Computer station ATM/banking Wheelchair accessible path of travel Pool sun loungers Concierge services Fence around pool Gift shops or newsstand Snowshoeing Nearby Vending machine Swimming pool Free WiFi Downhill skiing nearby Number of bars/lounges - 1 Cross-country skiing nearby Number of spa tubs - 2 Ski storage Number of outdoor pools - 1 Picnic area In-room accessibility (in select rooms) Wheelchair accessible parking Free newspapers in lobby Snowboarding Nearby Wedding services Tours/ticket assistance Fireplace in lobby Sledding nearby Snow Tubing Nearby Recycling Heated pool Luggage storage Snowmobiling Nearby 24-hour front desk,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Attitash Mountain Resort - 0.1 km / 0.1 mi <br /> White Mountain National Forest - 0.9 km / 0.6 mi <br /> Saco River - 1.6 km / 1 mi <br /> Bear Notch Ski Touring and Snowshoe Center - 2.8 km / 1.7 mi <br /> Bear Notch Ski Touring Center - 4.5 km / 2.8 mi <br /> Steep Falls Whitewater Kayak School - 8.1 km / 5.1 mi <br /> Ellis River Falls - 8.7 km / 5.4 mi <br /> Story Land - 8.7 km / 5.4 mi <br /> Hartmann Model R. R. and Toy Museum - 10.7 km / 6.6 mi <br /> Nestlenook Farm - 12.1 km / 7.5 mi <br /> Museum of White Mountain Art at Jackson - 12.4 km / 7.7 mi <br /> Jackson Historical Society - 12.4 km / 7.7 mi <br /> Wentworth Golf Club - 12.6 km / 7.8 mi <br /> Jackson Falls - 12.9 km / 8 mi <br /> Diana s Baths - 14 km / 8.7 mi <br /> </p><p>The nearest airports are:<br />Manchester-Boston Regional Airport (MHT) - 193.2 km / 120 mi<br /> Fryeburg  ME (FRY-Eastern Slopes Regional) - 41.9 km / 26 mi<br /> Whitefield  NH (HIE-Mount Washington Regional) - 54.9 km / 34.1 mi<br /> </p><p>The preferred airport for Grand Summit Hotel at Attitash is Manchester-Boston Regional Airport (MHT). </p>,104 Grand Summit Road Route 302Bartlett (New Hampshire)New Hampshire 03812 ,03812,6033746700,http://www.attitash.com/grand-summit-overview-winter/
New Hampshire,,44.08331,-71.23127,Attitash Mountain Village Resort,3.0,"Placed between Attitash Mountain and the Saco River and only a short distance from area attractions and activities, this Bartlett, New Hampshire property offers spacious accommodations and many on-site facilities.

The Attitash Mountain Village provides easy access to top-rated ski trails, scenic walking paths and canoeing and kayaking locations. Guests can also discover numerous nearby shopping centres, including outlet stores and antique shops.

In addition to 60 acres of tranquil landscape, the Attitash Mountain Village features indoor and outdoor pools, tennis courts and hot tubs. Guests will also enjoy free wireless internet access as well as modern on-site fitness facilities. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Upon check-in photo identification and credit card is required. All special requests are subject to availability upon check-in. Special requests cannot be guaranteed and may incur additional charges.",Parking Restaurant Bar 24-hour front desk Tennis Court Sauna Fitness centre Garden Non-smoking rooms Fishing Business centre Laundry Facilities for disabled guests Skiing Games room Free parking internet services children's playground Billiards Table tennis Darts Hot tub/jacuzzi Canoeing Hiking BBQ facilities Car hire Tour desk Heating Fax/photocopying wifi Ski storage Indoor pool Outdoor pool Free WiFi Non-smoking throughout Air conditioning ATM/cash machine on site Private beach area outdoor pool (seasonal) indoor pool (all year) concierge service Ski pass vendor Ski-to-door access vending machine (drinks) vending machine (snacks) parking on site Private parking wifi available in all areas board games/puzzles Accessible parking tennis equipment sun loungers or beach chairs Outdoor furniture Picnic area Steam room Fitness fitness/spa locker rooms kids' pool Swimming pool Beach Movie nights Key card access Smoke alarms Fire extinguishers Swimming pool,,1 River Run Drive BartlettNew Hampshire 03812 ,03812,6033746500,https://www.booking.com/hotel/us/attitash-mountain-village.html
