State,City,Latitude,Longitude,HotelName,StarRating,Description,HotelFacilities,Attractions,Address,ZipCode,PhoneNumber,HotelWebsiteUrl
New Jersey,,39.42517,-74.49847,Jonathan Pitney House,3.0,"<p>HeadLine : Near Absecon Wildlife Management Area</p><p>Location : With a stay at Jonathan Pitney House in Absecon, you ll be within a 10-minute drive of Atlantic City Convention Center and Golden Nugget Atlantic City Casino.  This bed & breakfast is 6.5 mi (10.5 km) from Borgata Casino and 6.9 mi (11.2 km) from Harrah s Atlantic City Casino.</p><p>Rooms : Make yourself at home in one of the 14 individually decorated guestrooms. Complimentary wireless Internet access is available to keep you connected.</p><p>Dining : A complimentary full breakfast is served daily from 8 AM to 10:00 AM.</p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed Safety features at this property include a carbon monoxide detector, a fire extinguisher, a smoke detector, a first aid kit, and window guards</p><p>Special Instructions : There is no front desk at this property.</p>",Free breakfast Terrace Free self parking Free WiFi Wheelchair accessible parking In-room accessibility Garden Designated smoking areas,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Heritage Park - 1.2 km / 0.8 mi <br /> Absecon Wildlife Management Area - 1.3 km / 0.8 mi <br /> Lakes Bay - 5.2 km / 3.3 mi <br /> Galloway National Golf Club - 5.5 km / 3.4 mi <br /> Atlantic City Expressway Visitor Welcome Center - 6.5 km / 4.1 mi <br /> Atlantic City Country Club - 7.1 km / 4.4 mi <br /> Days of Olde Antique Center - 7.5 km / 4.7 mi <br /> AtlantiCare Regional Medical Center - 7.8 km / 4.8 mi <br /> Edwin B Forsythe National Wildlife Refuge - 8.9 km / 5.5 mi <br /> FAA William J. Hughes Technical Center - 9 km / 5.6 mi <br /> Historic Smithville and Village Green - 9.2 km / 5.7 mi <br /> Golden Nugget Atlantic City Casino - 10.2 km / 6.3 mi <br /> Surf Stadium - 10.4 km / 6.5 mi <br /> Delta Basin - 10.5 km / 6.5 mi <br /> Borgata Casino - 10.5 km / 6.5 mi <br /> </p><p>The nearest airports are:<br />Atlantic City Intl. Airport (ACY) - 10.1 km / 6.3 mi<br /> Millville  NJ (MIV-Millville Municipal) - 57.4 km / 35.7 mi<br /> </p><p></p>,57 N Shore Rd AbseconNew Jersey 08201 ,08201,6097480536,http://www.jonathanpitneyhouse.com
New Jersey,,39.41804,-74.49411,Red Roof Inn & Suites Atlantic City,2.0,"<p>HeadLine : Near Heritage Park</p><p>Location : When you stay at Days Inn by Wyndham Absecon Atlantic City Area in Absecon, you ll be in the entertainment district, within a 10-minute drive of Borgata Casino and Harrah s Atlantic City Casino.  This hotel is 6.6 mi (10.6 km) from Atlantic City Boardwalk and 5.7 mi (9.1 km) from Atlantic City Convention Center.</p><p>Rooms : Make yourself at home in one of the 199 air-conditioned rooms featuring refrigerators and microwaves. 32-inch Smart televisions with cable programming provide entertainment, while complimentary wireless Internet access keeps you connected. Bathrooms have shower/tub combinations and complimentary toiletries. Conveniences include safes and desks, as well as phones with free local calls.</p><p>Dining : A complimentary on-the-go breakfast is served on weekends from 7:00 AM to 10:00 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a carbon monoxide detector and a smoke detector</li>  </ul></p><p>Special Instructions : To make arrangements for check-in please contact the property at least 48 hours before arrival using the information on the booking confirmation. If you are planning to arrive after 6:00 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",Gift shops or newsstand Wheelchair accessible (may have limitations) RV  bus  truck parking (surcharge) Parking (limited spaces) Wheelchair-accessible van parking Dog exercise area Litter box Number of meeting rooms - 1 Wheelchair-accessible path to elevator Conference space size (meters) - 46 Swimming pool Wheelchair-accessible registration desk Free WiFi Wheelchair-accessible pool Well-lit path to entrance Wheelchair accessible parking Accessible bathroom (in select rooms) 24-hour fitness facilities Free breakfast to go Free breakfast Business center Handrails in stairways 24-hour front desk Outdoor seasonal pool Smoke-free property Laundry facilities elevator Free self parking Conference space Conference space size (feet) - 490,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Absecon Wildlife Management Area - 0.9 km / 0.6 mi <br /> Heritage Park - 2.3 km / 1.4 mi <br /> Noyes Museum of Art - 4.4 km / 2.7 mi <br /> Stockton Seaview Golf Club - 4.6 km / 2.8 mi <br /> Lakes Bay - 7.3 km / 4.5 mi <br /> Galloway National Golf Club - 7.5 km / 4.6 mi <br /> Atlantic City Expressway Visitor Welcome Center - 7.5 km / 4.7 mi <br /> Atlantic City Country Club - 8.4 km / 5.2 mi <br /> Chicken Bone Beach Historical Foundation - 8.5 km / 5.3 mi <br /> Edwin B. Forsythe National Wildlife Refuge - 8.9 km / 5.5 mi <br /> Richard Stockton College of New Jersey - 9 km / 5.6 mi <br /> Harbor Square - 9.1 km / 5.7 mi <br /> Atlantic City Convention Center - 9.1 km / 5.7 mi <br /> Borgata Event Center - 9.2 km / 5.7 mi <br /> Borgata Casino - 9.2 km / 5.7 mi <br /> </p><p>The nearest major airport is Atlantic City Intl. Airport (ACY) - 12.2 km / 7.6 mi</p>,East Blvd 405 AbseconNew Jersey 08201 ,08201,6096465000,https://www.redroof.com/property/NJ/ABSECON/RRI815#
New Jersey,,39.40366,-74.494446,Knights Inn Atlantic City/Absecon,2.0,"HotelDescription#When your travels bring you to New Jersey's Atlantic coast, stay at our Travelodge Absecon Atlantic City hotel for reliable amenities and affordable adventure. We are located within minutes of casinos, entertainment, beaches, and Atlantic City's iconic Boardwalk, as well as Atlantic City International Airport (ACY). For those seeking sun-worshiping and people-watching, the legendary white sands of the Jersey Shore are a little further afoot, while closer to our front doors, there are a bounty of restaurants sure to satisfy multiple appetites.",Total number of rooms : 205 NO Connecting rooms Hotel NO Disability-friendly bathroom NO Wheelchair-accessible NO Smoking rooms NO Small pets allowed (under 5 kg) NO Large pets allowed (over 5 kg) YES Wheelchair-accessible YES Car park NO Garage 24-hour reception Late Check-out(Additional Fee) Wi-fi Lift access Meeting room Business centre Breakfast   Fitness,Distances are calculated in a straight line from the property&apos;s location to the point of interest or attraction  and may not reflect actual travel distance. &lt;br /&gt;&lt;br /&gt; Distances are displayed to the nearest 0.1 mile and kilometer. &lt;p&gt;Absecon Wildlife Management Area - 2.4 km / 1.5 mi &lt;br /&gt;Atlantic City Expressway Visitor Welcome Center - 2.7 km / 1.7 mi &lt;br /&gt;Heritage Park - 3.3 km / 2 mi &lt;br /&gt;Atlantic City Country Club - 5.7 km / 3.6 mi &lt;br /&gt;Harbor Square - 6 km / 3.7 mi &lt;br /&gt;Harrah&apos;s Atlantic City Casino - 6.1 km / 3.8 mi &lt;br /&gt;Bernie Robbins Stadium - 6.1 km / 3.8 mi &lt;br /&gt;Galloway National Golf Club - 6.3 km / 3.9 mi &lt;br /&gt;Senator Frank S. Farley State Marina - 6.5 km / 4.1 mi &lt;br /&gt;Chelsea Harbor - 6.5 km / 4.1 mi &lt;br /&gt;Atlantic City Convention Center - 6.6 km / 4.1 mi &lt;br /&gt;Delta Basin - 6.8 km / 4.2 mi &lt;br /&gt;Snug Harbor - 6.8 km / 4.2 mi &lt;br /&gt;Dante Hall Theater of the Arts - 6.9 km / 4.3 mi &lt;br /&gt;Tanger Outlets The Walk - 6.9 km / 4.3 mi &lt;br /&gt;&lt;/p&gt;&lt;p&gt;The preferred airport for Inn Atlantic City Absecon is Atlantic City  NJ (ACY-Atlantic City Intl.) - 8.5 km / 5.3 mi. &lt;/p&gt;,531 Absecon Boulevard AbseconNew Jersey 08201 ,08201,,
New Jersey,,39.433418,-74.514017,Empire Inn & Suites Atlantic City Absecon,2.0,"<p>HeadLine : Near Heritage Park</p><p>Location : When you stay at Empire Inn & Suites Atlantic City Absecon in Absecon, you ll be in the business district, within a 15-minute drive of Borgata Casino and Harrah s Atlantic City Casino.  This motel is 8.1 mi (13.1 km) from Atlantic City Boardwalk and 7.2 mi (11.6 km) from Atlantic City Convention Center.</p><p>Rooms : Make yourself at home in one of the 34 air-conditioned rooms featuring microwaves and flat-screen televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have shower/tub combinations and hair dryers. Conveniences include desks, as well as phones with free local calls.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards, debit cards, and cash</li><li>Onsite parties or group events are strictly prohibited</li><li>Property is located within an airport and access is restricted to airport travelers only</li><li>Safety features at this property include a carbon monoxide detector, a fire extinguisher, a smoke detector, a first aid kit, and window guards</li>  </ul></p><p>Special Instructions : This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival.</p>",Casino nearby Wheelchair accessible (may have limitations) Parking (limited spaces) Wheelchair-accessible van parking 24-hour front desk Wheelchair-accessible registration desk Television in common areas Free WiFi Designated smoking areas Garden Internet access in public areas - high speed Wheelchair accessible parking Laundry facilities Free newspapers in lobby Internet access - wireless Free self parking,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Heritage Park - 0.8 km / 0.5 mi <br /> Absecon Wildlife Management Area - 3.7 km / 2.3 mi <br /> Noyes Museum of Art - 4.1 km / 2.5 mi <br /> Stockton Seaview Golf Club - 4.7 km / 2.9 mi <br /> Richard Stockton College of New Jersey - 6.3 km / 3.9 mi <br /> AtlantiCare Regional Medical Center - 6.6 km / 4.1 mi <br /> Lakes Bay - 6.6 km / 4.1 mi <br /> Galloway National Golf Club - 6.7 km / 4.1 mi <br /> Harbor Square - 6.7 km / 4.2 mi <br /> Edwin B. Forsythe National Wildlife Refuge - 7.3 km / 4.5 mi <br /> Atlantic City Expressway Visitor Welcome Center - 8 km / 5 mi <br /> Days of Olde Antique Center - 8.6 km / 5.4 mi <br /> Atlantic City Country Club - 8.8 km / 5.5 mi <br /> FAA William J. Hughes Technical Center - 9.4 km / 5.8 mi <br /> Harold E. Taylor Observatory - 9.4 km / 5.9 mi <br /> </p><p>The nearest airports are:<br />Atlantic City Intl. Airport (ACY) - 10.6 km / 6.6 mi<br /> Millville  NJ (MIV-Millville Municipal) - 53.8 km / 33.4 mi<br /> </p><p>The preferred airport for Empire Inn & Suites Atlantic City Absecon is Atlantic City Intl. Airport (ACY). </p>,630 White Horse Pike AbseconNew Jersey 08201 ,08201,6096458008,http://www.empireinnsuites.com
New Jersey,,39.42979,-74.50811,Starlite Motor Inn,2.0,"<p>HeadLine : Near Heritage Park</p><p>Location : With a stay at Starlite Motor Inn Absecon in Absecon, you ll be within a 15-minute drive of Atlantic City Convention Center and Borgata Casino.  This motel is 7.4 mi (11.9 km) from Harrah s Atlantic City Casino and 7.8 mi (12.5 km) from Hard Rock Casino Atlantic City.</p><p>Rooms : Make yourself at home in one of the 83 guestrooms featuring refrigerators and microwaves. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Conveniences include phones and desks.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",Smoke-free property Wheelchair accessible  no Free self parking Free WiFi 24-hour front desk,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Heritage Park - 0.8 km / 0.5 mi <br /> Absecon Wildlife Management Area - 2.4 km / 1.5 mi <br /> Lakes Bay - 6 km / 3.7 mi <br /> Galloway National Golf Club - 6.2 km / 3.9 mi <br /> AtlantiCare Regional Medical Center - 7.2 km / 4.5 mi <br /> Atlantic City Expressway Visitor Welcome Center - 7.6 km / 4.7 mi <br /> Harbor Square - 8 km / 4.9 mi <br /> Atlantic City Country Club - 8.2 km / 5.1 mi <br /> Days of Olde Antique Center - 8.3 km / 5.1 mi <br /> FAA William J. Hughes Technical Center - 8.4 km / 5.2 mi <br /> Edwin B Forsythe National Wildlife Refuge - 9.6 km / 6 mi <br /> Historic Smithville and Village Green - 9.9 km / 6.2 mi <br /> Harold E. Taylor Observatory - 10 km / 6.2 mi <br /> Richard Stockton College of New Jersey - 10.6 km / 6.6 mi <br /> Golden Nugget Atlantic City Casino - 11 km / 6.8 mi <br /> </p><p>The nearest airports are:<br />Atlantic City Intl. Airport (ACY) - 9.5 km / 5.9 mi<br /> Millville  NJ (MIV-Millville Municipal) - 56.7 km / 35.3 mi<br /> </p><p>The preferred airport for Starlite Motor Inn Absecon is Atlantic City Intl. Airport (ACY). </p>,461 White Horse Pike Absecon Nj 08201 AbseconNew Jersey 08201 ,08201,6096457499,
New Jersey,,39.435018,-74.516388,Superlodge Atlantic City Absecon,2.0,"<p>HeadLine : Near Heritage Park</p><p>Location : When you stay at Superlodge Atlantic City Absecon in Absecon, you ll be near the beach, within a 15-minute drive of Borgata Casino and Harrah s Atlantic City Casino.  This motel is 8.4 mi (13.5 km) from Atlantic City Boardwalk and 7.4 mi (11.8 km) from Atlantic City Convention Center.</p><p>Rooms : Make yourself at home in one of the 36 guestrooms featuring microwaves. Complimentary wireless Internet access is available to keep you connected. Conveniences include desks, as well as phones with free local calls.</p><p>Dining : Take advantage of the motel s room service.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards, debit cards, and cash</li><li>Onsite parties or group events are strictly prohibited</li><li>Property is located within an airport and access is restricted to airport travelers only</li><li>Safety features at this property include a carbon monoxide detector, a fire extinguisher, a smoke detector, and a first aid kit</li>  </ul></p><p>Special Instructions : This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival.</p>",Casino nearby Wheelchair accessible (may have limitations) Parking (limited spaces) Wheelchair-accessible van parking 24-hour front desk Wheelchair-accessible registration desk Television in common areas Free WiFi Designated smoking areas Garden Wheelchair accessible parking Laundry facilities Free newspapers in lobby Free self parking,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Heritage Park - 1.1 km / 0.7 mi <br /> Absecon Wildlife Management Area - 4 km / 2.5 mi <br /> Noyes Museum of Art - 4.4 km / 2.7 mi <br /> Stockton Seaview Golf Club - 4.8 km / 3 mi <br /> Richard Stockton College of New Jersey - 6.6 km / 4.1 mi <br /> AtlantiCare Regional Medical Center - 6.9 km / 4.3 mi <br /> Lakes Bay - 6.9 km / 4.3 mi <br /> Galloway National Golf Club - 6.9 km / 4.3 mi <br /> Harbor Square - 7 km / 4.3 mi <br /> Edwin B. Forsythe National Wildlife Refuge - 7.6 km / 4.7 mi <br /> Atlantic City Expressway Visitor Welcome Center - 8.3 km / 5.1 mi <br /> Days of Olde Antique Center - 8.9 km / 5.5 mi <br /> Atlantic City Country Club - 9.1 km / 5.7 mi <br /> FAA William J. Hughes Technical Center - 9.6 km / 6 mi <br /> Harold E. Taylor Observatory - 9.7 km / 6 mi <br /> </p><p>The nearest airports are:<br />Atlantic City Intl. Airport (ACY) - 10.9 km / 6.8 mi<br /> Millville  NJ (MIV-Millville Municipal) - 54 km / 33.6 mi<br /> </p><p>The preferred airport for Superlodge Atlantic City Absecon is Atlantic City Intl. Airport (ACY). </p>,633 White Horse Pike Absecon 08201New Jersey ,08201,6096410085,http://acsuperlodge.com/
New Jersey,,39.40049,-74.49314,Royal Lodge,2.0,"<p>HeadLine : Near Atlantic City Expressway Visitor Welcome Center</p><p>Location : When you stay at Royal Lodge in Absecon, you ll be in the business district, within a 10-minute drive of Borgata Casino and Harrah s Atlantic City Casino.  This casino motel is 5.9 mi (9.5 km) from Atlantic City Boardwalk and 4.4 mi (7 km) from Atlantic City Convention Center.</p><p>Rooms : Make yourself at home in one of the 25 air-conditioned rooms featuring refrigerators and flat-screen televisions. Cable programming and DVD players are provided for your entertainment, while complimentary wireless Internet access keeps you connected. Private bathrooms with shower/tub combinations feature rainfall showerheads and complimentary toiletries. Conveniences include safes and microwaves, and housekeeping is provided daily.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li><li>Safety features at this property include a carbon monoxide detector, a fire extinguisher, a smoke detector, a security system, a first aid kit, and window guards</li>  </ul></p><p>Special Instructions : This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival.</p>",Wheelchair accessible (may have limitations) Designer stores on site Luggage storage 24-hour front desk Wheelchair-accessible registration desk Free WiFi Number of spa tubs - 4 Barbecue grill(s) Garden Picnic area Smoke-free property In-room accessibility (in select rooms) Wheelchair accessible parking Laundry facilities Free newspapers in lobby Casino Accessible bathroom (in select rooms) Free self parking Fishing on site Shopping mall on site Bicycle rentals on site,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Absecon Wildlife Management Area - 0.9 km / 0.6 mi <br /> Heritage Park - 4.4 km / 2.7 mi <br /> Noyes Museum of Art - 4.5 km / 2.8 mi <br /> Chicken Bone Beach Historical Foundation - 6.4 km / 4 mi <br /> Stockton Seaview Golf Club - 7 km / 4.4 mi <br /> Atlantic City Convention Center - 7 km / 4.4 mi <br /> Borgata Event Center - 7.1 km / 4.4 mi <br /> Borgata Casino - 7.1 km / 4.4 mi <br /> Golden Nugget Atlantic City Casino - 7.4 km / 4.6 mi <br /> Senator Frank S. Farley State Marina - 7.6 km / 4.7 mi <br /> Tanger Outlets The Walk - 7.6 km / 4.7 mi <br /> Atlanticare - 7.7 km / 4.8 mi <br /> Atlantic City Hall - 7.7 km / 4.8 mi <br /> Atlantic City Historical Museum - 7.8 km / 4.8 mi <br /> Atlantic City Free Public Library - 7.9 km / 4.9 mi <br /> </p><p>The nearest major airport is Atlantic City Intl. Airport (ACY) - 13.7 km / 8.5 mi</p>,553 East Absecon Boulevard AbseconNew Jersey 08201 ,08201,6096451280,
New Jersey,,39.43711,-74.51815,Garden State Inn,2.0,"<p>HeadLine : Near Heritage Park</p><p>Location : With a stay at Garden State Inn in Absecon, you ll be within a 15-minute drive of Borgata Casino and Harrah s Atlantic City Casino.  This hotel is 8.5 mi (13.6 km) from Atlantic City Boardwalk and 7.5 mi (12.1 km) from Atlantic City Convention Center.</p><p>Rooms : Make yourself at home in one of the 62 air-conditioned rooms featuring refrigerators and flat-screen televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms have complimentary toiletries and hair dryers. Conveniences include desks and microwaves, and housekeeping is provided on a limited basis.</p><p>Dining : A complimentary on-the-go breakfast is served daily from 6:00 AM to 9:00 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",Off-street parking Free breakfast to go Wheelchair accessible  no Free breakfast 24-hour front desk Free WiFi Daily In-room accessibility (in select rooms) Wheelchair accessible parking Roll-in shower (in select rooms) Accessible bathroom (in select rooms) Free self parking,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Heritage Park - 1.3 km / 0.8 mi <br /> Absecon Wildlife Management Area - 4.4 km / 2.7 mi <br /> Noyes Museum of Art - 4.6 km / 2.9 mi <br /> Stockton Seaview Golf Club - 5.1 km / 3.2 mi <br /> Richard Stockton College of New Jersey - 5.6 km / 3.5 mi <br /> AtlantiCare Regional Medical Center - 5.9 km / 3.7 mi <br /> Edwin B. Forsythe National Wildlife Refuge - 6.9 km / 4.3 mi <br /> Lakes Bay - 7.2 km / 4.5 mi <br /> Galloway National Golf Club - 7.2 km / 4.5 mi <br /> Harbor Square - 7.3 km / 4.5 mi <br /> FAA William J. Hughes Technical Center - 8.1 km / 5 mi <br /> Atlantic City Expressway Visitor Welcome Center - 8.6 km / 5.3 mi <br /> Harold E. Taylor Observatory - 8.8 km / 5.4 mi <br /> Days of Olde Antique Center - 9.2 km / 5.7 mi <br /> Atlantic City Country Club - 9.4 km / 5.9 mi <br /> </p><p>The nearest airports are:<br />Atlantic City Intl. Airport (ACY) - 9.4 km / 5.8 mi<br /> Millville  NJ (MIV-Millville Municipal) - 54.3 km / 33.8 mi<br /> </p><p></p>,701 White Horse Pike 08201 Absecon AbseconNew Jersey 08201-1415 ,08201,6096450697,http://book.bestwestern.com/bestwestern/US/NJ/Absecon-hotels/BEST-WESTERN-Garden-State-Inn/Hotel-Overview.do?propertyCode=31048
New Jersey,,39.403385,-74.49277,Travelodge by Wyndham Absecon Atlantic City,2.0,"<p>HeadLine : Near Atlantic City Expressway Visitor Welcome Center</p><p>Location : With a stay at Travelodge by Wyndham Absecon Atlantic City, you ll be centrally located in Absecon, within a 10-minute drive of Borgata Casino and Harrah s Atlantic City Casino.  This hotel is 6.1 mi (9.8 km) from Atlantic City Boardwalk and 4.6 mi (7.4 km) from Atlantic City Convention Center.</p><p>Rooms : Make yourself at home in one of the 205 guestrooms featuring microwaves and flat-screen televisions. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Bathrooms have complimentary toiletries and hair dryers. Conveniences include safes and desks, and housekeeping is provided daily.</p><p>Dining : Take advantage of the hotel s 24-hour room service. A complimentary continental breakfast is served on weekends from 8:00 AM to 10:00 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and debit cards; cash is not accepted</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",Long-term parking (surcharge) Casino nearby Wheelchair accessible (may have limitations) Free RV  bus  truck parking Television in common areas Free WiFi Braille or raised signage Assistive listening devices available In-room accessibility (in select rooms) Free newspapers in lobby Roll-in shower (in select rooms) Tours/ticket assistance Accessible bathroom (in select rooms) Free continental breakfast Luggage storage Free breakfast Express check-out Porter/bellhop Multilingual staff Business center 24-hour front desk Golfing nearby Safe-deposit box at front desk Smoke-free property Coffee/tea in common areas elevator Free self parking ATM/banking Concierge services,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Absecon Wildlife Management Area - 0.5 km / 0.3 mi <br /> Heritage Park - 4.2 km / 2.6 mi <br /> Noyes Museum of Art - 4.9 km / 3 mi <br /> Chicken Bone Beach Historical Foundation - 6.8 km / 4.2 mi <br /> Atlantic City Convention Center - 7.4 km / 4.6 mi <br /> Stockton Seaview Golf Club - 7.4 km / 4.6 mi <br /> Borgata Event Center - 7.4 km / 4.6 mi <br /> Borgata Casino - 7.5 km / 4.6 mi <br /> Golden Nugget Atlantic City Casino - 7.7 km / 4.8 mi <br /> Tanger Outlets The Walk - 7.9 km / 4.9 mi <br /> Senator Frank S. Farley State Marina - 8 km / 5 mi <br /> Atlantic City Historical Museum - 8 km / 5 mi <br /> Atlanticare - 8 km / 5 mi <br /> Atlantic City Hall - 8.1 km / 5 mi <br /> Bally s Atlantic City Casino - 8.3 km / 5.2 mi <br /> </p><p>The preferred airport for Travelodge by Wyndham Absecon Atlantic City is Atlantic City Intl. Airport (ACY) - 14.9 km / 9.3 mi </p>,539 E Absecon Blvd North Route 30 AbseconNew Jersey 08201 ,08201,6096417272,http://www.comfortinn.com/hotel-absecon-new_jersey-NJ715
New Jersey,,39.401871277367,-74.492978900671,Rodeway Inn,1.0,Marina District nearby. Borgata Casino  Trump Marina  Harrahs  and Absecon Lighthouse 2 miles. Atlantic City casinos  new convention center  The Walk (outlet stores)  clubs (nightlife)  fishing  and restaurants 3 miles,Air Conditioned Casino Bowling Cinema Whirlpool Free Wireless Internet access Cafe Free self parking American Express Coach parking Visa Basketball Hairdresser Small Pets Accepted (on request) Carte Blanche Gym Golf Course Wireless Internet Access Discover Diners Club Multilingual staff Fishing Car Parking,,547 East Absecon Boulevard Route 30AbseconNew Jersey 08201 ,08201,6096463867,https://www.choicehotels.com/new-jersey/absecon/ro
