State,City,Latitude,Longitude,HotelName,StarRating,Description,HotelFacilities,Attractions,Address,ZipCode,PhoneNumber,HotelWebsiteUrl
New Mexico,,36.20823,-106.30956,Abiquiu Inn,2.0,"Offering an onsite restaurant, this Abiquiu inn is adjacent to the Georgia OKeeffe Studio. Each room includes free Wi-Fi.

Each air-conditioned room features a seating area, a fireplace and a cable TV at Abiquiu Inn. An en suite bathroom is also offered.

Café Abiquiu serves Southwestern cuisine daily at Abiquiu Inn. A courtyard with a fountain is available for guests to enjoy. A gift shop featuring local artists is also provided on site.

Ghost Ranch is 20 minutes drive from Abiquiu Inn. Plaza Blanca is 4 miles from the hotel Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
You must show a valid photo ID and credit card upon check-in. Please note that all special requests cannot be guaranteed and are subject to availability upon check-in. Additional charges may apply.",Outdoor fireplace Spa/wellness packages temporary art galleries Walking tours Tour or class about local culture Parking Restaurant Pets allowed meeting/banquet facilities Garden Terrace Non-smoking rooms Fishing Business centre Facilities for disabled guests Family rooms Free parking internet services Canoeing Hiking Packed lunches Cycling Heating Fax/photocopying Horse riding wifi Free WiFi Non-smoking throughout Air conditioning Special diet menus (on request) Daily housekeeping parking on site Kid meals Accessible parking Wine/champagne Pet basket Pet bowls coffee house on site Outdoor furniture Picnic area,,21120 Highway 84 AbiquiuNew Mexico 87510 ,87510,5056854378,https://www.booking.com/hotel/us/abiquiu-inn.html
New Mexico,,35.075573,-107.556085,Sky City Casino Hotel,3.0,"<p>HeadLine : Near Sky City Casino</p><p>Location : Located in San Fidel, Sky City Casino Hotel is a 1-minute drive from Sky City Casino and 7 minutes from Dancing Eagle Casino.  This casino hotel is 4.7 mi (7.5 km) from Guadalupe Vineyards and 13.2 mi (21.2 km) from El Malpais National Conservation Area.</p><p>Rooms : Stay in one of 132 guestrooms featuring flat-screen televisions. Your room comes with a pillowtop bed, and all rooms are furnished with sofa beds. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms with shower/tub combinations feature complimentary toiletries and hair dryers.</p><p>Dining : Stop by the hotel s restaurant, Huwaka, for lunch, dinner, or brunch, or grab snacks at the coffee shop/cafe. Quench your thirst with your favorite drink at the bar/lounge. Breakfast is available for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",Safe-deposit box at front desk Snack bar/deli Number of coffee shops/cafes - 1 Hiking/biking trails nearby Laundry facilities Casino elevator Free self parking Fitness facilities Conference space Hair salon ATM/banking Conference space size (feet) - 2800 24-hour business center Gift shops or newsstand Snowshoeing Nearby Mountain biking nearby Banquet hall Wheelchair accessible Free RV  bus  truck parking Meeting rooms Conference space size (meters) - 260 Free WiFi Number of bars/lounges - 1 Arcade/game room Number of spa tubs - 1 In-room accessibility (in select rooms) Wedding services Tours/ticket assistance Luggage storage Grocery/convenience store 24-hour front desk Breakfast available (surcharge) Golfing nearby Outdoor seasonal pool,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Sky City Casino - 0.1 km / 0.1 mi <br /> Guadalupe Vineyards - 7.5 km / 4.7 mi <br /> Dancing Eagle Casino - 11.1 km / 6.9 mi <br /> El Malpais National Conservation Area - 21.2 km / 13.2 mi <br /> Enchanted Mesa - 25.5 km / 15.8 mi <br /> Northwest New Mexico Visitor Center - 28.7 km / 17.8 mi <br /> Sky City Cultural Center and Haak u Museum - 30.1 km / 18.7 mi <br /> Acoma Pueblo Indian Museum - 30.6 km / 19 mi <br /> San Estevan Del Rey Mission Church - 30.7 km / 19.1 mi <br /> Mining Museum - 32.3 km / 20 mi <br /> El Malpais National Monument - 35.5 km / 22.1 mi <br /> La Ventana Natural Arch - 49.3 km / 30.6 mi <br /> El Calderon Trail - 51 km / 31.7 mi <br /> </p><p>The preferred airport for Sky City Casino Hotel is Albuquerque International Sunport (ABQ) - 101.9 km / 63.3 mi </p>,I-40 Exit 102 PO Box 310AcomaNew Mexico 87034 ,87034,5055526123,http://www.skycity.com/alpha.html?pgid=1
New Mexico,,32.87865,-105.95923,White Sands Motel,2.0,"White Sands Motel offers accommodation in Alamogordo. Free private parking is available on site.

Each room at this motel is air conditioned and features a flat-screen TV. Some rooms feature a seating area to relax in after a busy day. Rooms include a private bathroom. Extras include free toiletries and a hairdryer. White Sands Motel features free WiFi throughout the property.

There is a 24-hour front desk at the property. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Please inform White Sands Motel in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
This property will not accommodate hen, stag or similar parties.
This property is located in a residential area and guests are asked to refrain from excessive noise.
Please note that only credit cards are accepted at this property as a valid form of payment. Contact the property for more information.",Parking 24-hour front desk Golf course (within 3 km) Non-smoking rooms Facilities for disabled guests Family rooms Free parking internet services Heating Fax/photocopying wifi Free WiFi Air conditioning designated smoking area Daily housekeeping parking on site Private parking wifi available in all areas secured parking Accessible parking Fire extinguishers Smoke alarms Key access Outdoor furniture Higher level toilet,,1101 South White Sands Boulevard AlamogordoNew Mexico 88310 ,88310,,https://www.booking.com/hotel/us/white-sands-motel-alamogordo.html
New Mexico,,32.87496,-105.96235,Hampton Inn Alamogordo,2.0,"<p>HeadLine : Near Flickinger Center for Performing Arts</p><p>Location : Located in Alamogordo, Hampton Inn Alamogordo is a 4-minute drive from Flickinger Center for Performing Arts and 6 minutes from Toy Train Depot.  This hotel is 5.3 mi (8.6 km) from New Mexico Museum of Space History and 5.6 mi (8.9 km) from International Space Hall of Fame.</p><p>Rooms : Make yourself at home in one of the 70 guestrooms featuring refrigerators and microwaves. Complimentary wired and wireless Internet access keeps you connected, and satellite programming provides entertainment. Bathrooms have shower/tub combinations and hair dryers. Conveniences include coffee/tea makers and irons/ironing boards, and housekeeping is provided daily.</p><p>Dining : A complimentary on-the-go breakfast is served daily from 6:00 AM to 10:00 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards, debit cards, and cash</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : Guests will receive smart lock details.</p>",Wheelchair-accessible van parking Wheelchair-accessible concierge desk Wheelchair accessible Stair-free path to entrance Wheelchair accessible parking Free use of nearby fitness center In-room accessibility (in select rooms) Number of indoor pools - 1 Assistive listening devices available Well-lit path to entrance Braille or raised signage Wheelchair-accessible public washroom Wheelchair-accessible pool Free WiFi Wheelchair-accessible fitness center Wheelchair accessible (may have limitations) Pool hoist on site Wheelchair-accessible registration desk Free wired Internet Swimming pool Wheelchair-accessible path to elevator Fitness facilities Free self parking elevator Laundry facilities Coffee/tea in common areas Wheelchair-accessible meeting spaces/business center Daily 24-hour front desk Business center Visual alarms in hallways Express check-out Free breakfast Wheelchair-accessible on-site restaurant Free breakfast to go Accessible bathroom (in select rooms) Roll-in shower (in select rooms),Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Flickinger Center for Performing Arts - 3.3 km / 2.1 mi <br /> Toy Train Depot - 4.9 km / 3.1 mi <br /> New Mexico State University Alamogordo - 8.1 km / 5.1 mi <br /> New Mexico Museum of Space History - 8.6 km / 5.3 mi <br /> Gerald Champion Regional Medical Center - 8.8 km / 5.5 mi <br /> International Space Hall of Fame - 8.9 km / 5.6 mi <br /> La Luz & Tularosa - 13.5 km / 8.4 mi <br /> World s Largest Pistachio - 15.2 km / 9.5 mi <br /> Heart of the Desert Pistachios & Wine - 16.1 km / 10 mi <br /> Osha Trail - 21.3 km / 13.3 mi <br /> The Tunnel Stop - 22.1 km / 13.7 mi <br /> Oliver Lee Memorial State Park - 22.6 km / 14 mi <br /> Old Apple Barn - 22.8 km / 14.2 mi <br /> White Sands National Park - 23 km / 14.3 mi <br /> White Sands Visitor Center - 23.1 km / 14.4 mi <br /> </p><p>The nearest airports are:<br />El Paso International Airport (ELP) - 138 km / 85.8 mi<br /> Alamogordo  NM (ALM-White Sands Regional) - 6.3 km / 3.9 mi<br /> </p><p>The preferred airport for Hampton Inn Alamogordo is El Paso International Airport (ELP). </p>,1295 Hamilton Road AlamogordoNew Mexico 88310 ,88310,5754391782,http://hamptonalamogordo.com/
New Mexico,,32.874287,-105.96172,Holiday Inn Express & Suites Alamogordo Highway 54 70,2.0,"<p>HeadLine : In the city center</p><p>Location : A stay at Holiday Inn Express Hotel & Suites Alamogordo Hwy 54/70, an IHG Hotel places you in the heart of Alamogordo, a 4-minute drive from Flickinger Center for Performing Arts and 6 minutes from Toy Train Depot.  This hotel is 14.3 mi (23 km) from White Sands National Park and 5 mi (8.1 km) from New Mexico State University Alamogordo.</p><p>Rooms : Make yourself at home in one of the 80 air-conditioned rooms featuring refrigerators and microwaves. Wired and wireless Internet access is complimentary, and flat-screen televisions with cable programming provide entertainment. Private bathrooms with shower/tub combinations feature complimentary toiletries and hair dryers. Conveniences include desks and coffee/tea makers, as well as phones with free local calls.</p><p>Dining : A complimentary buffet breakfast is included.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival.</p>",Dry cleaning/laundry service Wheelchair accessible (may have limitations) Vending machine Number of meeting rooms - 1 Free wired Internet Free WiFi Number of spa tubs - 1 Braille or raised signage Assistive listening devices available Number of indoor pools - 1 In-room accessibility (in select rooms) Internet access in public areas - high speed Roll-in shower (in select rooms) Internet access - wireless Accessible bathroom (in select rooms) Free Buffet Breakfast Free breakfast Multilingual staff Business center 24-hour front desk Safe-deposit box at front desk Smoke-free property Laundry facilities elevator Free self parking Fitness facilities,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Flickinger Center for Performing Arts - 3.3 km / 2 mi <br /> Toy Train Depot - 4.9 km / 3 mi <br /> New Mexico State University Alamogordo - 8.1 km / 5 mi <br /> International Space Hall of Fame - 8.6 km / 5.3 mi <br /> New Mexico Museum of Space History - 8.7 km / 5.4 mi <br /> Gerald Champion Regional Medical Center - 8.8 km / 5.5 mi <br /> La Luz & Tularosa - 14.4 km / 8.9 mi <br /> World s Largest Pistachio - 15.2 km / 9.4 mi <br /> Heart of the Desert Pistachios & Wine - 16.1 km / 10 mi <br /> Osha Trail - 22.2 km / 13.8 mi <br /> Oliver Lee Memorial State Park - 22.5 km / 14 mi <br /> The Tunnel Stop - 22.9 km / 14.3 mi <br /> White Sands National Park - 23 km / 14.3 mi <br /> White Sands Visitor Center - 23.1 km / 14.4 mi <br /> Old Apple Barn - 23.7 km / 14.7 mi <br /> </p><p>The preferred airport for Holiday Inn Express Hotel & Suites Alamogordo Hwy 54/70  an IHG Hotel is Alamogordo  NM (ALM-White Sands Regional) - 6.3 km / 3.9 mi </p>,100 Kerry Avenue AlamogordoNew Mexico 88310 ,88310,5754349773,http://www.ihg.com/holidayinnexpress/hotels/us/en/alamogordo/almhr/hoteldetail?_requestid=413335
New Mexico,,32.920246,-105.96031,Suburban Extended Stay Hotel,2.0,"<p>HeadLine : Near Toy Train Depot</p><p>Location : Located in Alamogordo, Suburban Studios Alamogordo is within a 5-minute drive of Toy Train Depot and Flickinger Center for Performing Arts.  This hotel is 17.8 mi (28.6 km) from White Sands National Park and 2.1 mi (3.4 km) from Gerald Champion Regional Medical Center.</p><p>Rooms : Make yourself at home in one of the 57 individually furnished guestrooms, featuring kitchenettes with refrigerators and stovetops. 32-inch flat-screen televisions with cable programming provide entertainment, while complimentary wireless Internet access keeps you connected. Conveniences include microwaves and coffee/tea makers, as well as phones with free local calls.</p><p>Dining : Take advantage of the hotel s room service.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : The front desk is open daily from 9:00 AM - 8:00 PM. Front desk staff will greet guests on arrival.</p>",Vending machine Ziplining nearby Wheelchair-accessible van parking Swimming pool Wheelchair-accessible registration desk Television in common areas Free WiFi Wheelchair-accessible pool Designated smoking areas Braille or raised signage Well-lit path to entrance Assistive listening devices available Upper floors accessible by stairs only Picnic area In-room accessibility (in select rooms) Wheelchair accessible parking Stair-free path to entrance Roll-in shower (in select rooms) Accessible bathroom (in select rooms) Rock climbing nearby Cave exploring/spelunking nearby No accessible shuttle Hunting nearby Front desk (limited hours) Mountain climbing nearby Number of accessible parking spaces - 4 Barbecue grill(s) Outdoor seasonal pool Coffee/tea in common areas Hiking/biking trails nearby Laundry facilities Use of nearby fitness center (discount) Wheelchair accessible (may have limitations) Free self parking Terrace Pool sun loungers Fence around pool,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Toy Train Depot - 0.7 km / 0.4 mi <br /> Flickinger Center for Performing Arts - 2.4 km / 1.5 mi <br /> Gerald Champion Regional Medical Center - 3.7 km / 2.3 mi <br /> New Mexico State University Alamogordo - 4.3 km / 2.7 mi <br /> International Space Hall of Fame - 4.7 km / 2.9 mi <br /> New Mexico Museum of Space History - 4.8 km / 3 mi <br /> La Luz & Tularosa - 8.1 km / 5.1 mi <br /> World s Largest Pistachio - 9 km / 5.6 mi <br /> Heart of the Desert Pistachios & Wine - 9.9 km / 6.1 mi <br /> Osha Trail - 15.9 km / 9.9 mi <br /> The Tunnel Stop - 16.7 km / 10.4 mi <br /> Old Apple Barn - 17.5 km / 10.8 mi <br /> St Francis De Paula Church - 18 km / 11.2 mi <br /> Oliver Lee Memorial State Park - 28.2 km / 17.5 mi <br /> White Sands National Park - 28.6 km / 17.8 mi <br /> </p><p>The preferred airport for Suburban Studios Alamogordo is Alamogordo  NM (ALM-White Sands Regional) - 11.9 km / 7.4 mi </p>,2500 N White Sands Blvd AlamogordoNew Mexico 88310 ,88310,5754466111,http://www.suburbanhotels.com/hotel-alamogordo-new_mexico-NM187
New Mexico,,32.87599,-105.95904,Fairfield Inn & Suites Alamogordo,2.0,"<p>HeadLine : Near Flickinger Center for Performing Arts</p><p>Location : A stay at Fairfield Inn & Suites Alamogordo places you in the heart of Alamogordo, a 4-minute drive from Flickinger Center for Performing Arts and 5 minutes from Toy Train Depot.  This hotel is 5 mi (8.1 km) from New Mexico Museum of Space History and 14.2 mi (22.8 km) from White Sands National Park.</p><p>Rooms : Make yourself at home in one of the 73 air-conditioned rooms featuring refrigerators and microwaves. Wired and wireless Internet access is complimentary, while 42-inch flat-screen televisions with cable programming provide entertainment. Conveniences include phones, as well as safes and desks.</p><p>Dining : Grab a bite from the snack bar/deli serving guests of Fairfield Inn & Suites Alamogordo. A complimentary continental breakfast is included.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",Gift shops or newsstand Wheelchair accessible Express check-in Number of meeting rooms - 1 Conference space size (meters) - 52 Free wired Internet Wheelchair-accessible registration desk Wheelchair-accessible fitness center Free WiFi Wheelchair-accessible pool Braille or raised signage Assistive listening devices available Number of indoor pools - 1 Picnic area In-room accessibility (in select rooms) Wheelchair accessible parking Free newspapers in lobby Roll-in shower (in select rooms) Accessible bathroom (in select rooms) 24-hour fitness facilities Free continental breakfast Free breakfast Express check-out Visual alarms in hallways Multilingual staff Business center 24-hour front desk Conference center Wheelchair-accessible meeting spaces/business center Barbecue grill(s) Smoke-free property Coffee/tea in common areas Snack bar/deli Laundry facilities elevator Free self parking Conference space Computer station Wheelchair accessible path of travel Conference space size (feet) - 565,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Flickinger Center for Performing Arts - 3.1 km / 1.9 mi <br /> Toy Train Depot - 4.7 km / 2.9 mi <br /> New Mexico State University Alamogordo - 6.9 km / 4.3 mi <br /> New Mexico Museum of Space History - 8.1 km / 5 mi <br /> International Space Hall of Fame - 8.2 km / 5.1 mi <br /> Gerald Champion Regional Medical Center - 8.6 km / 5.3 mi <br /> La Luz & Tularosa - 14.2 km / 8.8 mi <br /> World s Largest Pistachio - 15 km / 9.3 mi <br /> Heart of the Desert Pistachios & Wine - 15.9 km / 9.9 mi <br /> Osha Trail - 21.1 km / 13.1 mi <br /> The Tunnel Stop - 21.8 km / 13.6 mi <br /> Oliver Lee Memorial State Park - 22.3 km / 13.9 mi <br /> Old Apple Barn - 22.6 km / 14 mi <br /> White Sands National Park - 22.8 km / 14.2 mi <br /> White Sands Visitor Center - 22.9 km / 14.2 mi <br /> </p><p>The nearest airports are:<br />El Paso International Airport (ELP) - 137.8 km / 85.6 mi<br /> Alamogordo  NM (ALM-White Sands Regional) - 6 km / 3.8 mi<br /> </p><p>The preferred airport for Fairfield Inn & Suites Alamogordo is El Paso International Airport (ELP). </p>,300 Panorama Blvd AlamogordoNew Mexico 88310 ,88310,5754374000,http://www.marriott.com/hotels/travel/almfi-fairfield-inn-and-suites-alamogordo/
New Mexico,,32.879529,-105.960225,Magnuson Hotel and Suites Alamogordo,3.0,"<p>HeadLine : Near Flickinger Center for Performing Arts</p><p>Location : Located in Alamogordo, The Classic Desert Aire Hotel is in the business district, within a 5-minute drive of Flickinger Center for Performing Arts and Toy Train Depot.  This hotel is 14.3 mi (22.9 km) from White Sands National Park and 4.1 mi (6.6 km) from New Mexico State University Alamogordo.</p><p>Rooms : Make yourself at home in one of the 92 air-conditioned rooms featuring refrigerators and flat-screen televisions. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms with bathtubs or showers feature rainfall showerheads and complimentary toiletries. Conveniences include safes and desks, as well as phones with free local calls.</p><p>Dining : A complimentary cooked-to-order breakfast is served daily from 6:30 AM to 10:00 AM.</p><p>Renovations : The following facilities are closed seasonally each year. They will be closed from March 1 to June 30:<ul><li>Swimming pool</li></ul> The property will be renovating from April 26 2023 to June 30 2023 (completion date subject to change). The following areas are affected:  <ul><li>Swimming pool</li></ul> Renovation work will only be conducted during business hours. Every effort will be made to minimize noise and disturbance.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a fire extinguisher, a smoke detector, and a first aid kit</li>  </ul></p><p>Special Instructions : The front desk is open daily from 5:00 AM - midnight. This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival.</p>",Dry cleaning/laundry service Shopping on site Free long-term parking Free RV  bus  truck parking Proposal/romance packages available Pool umbrellas Number of meeting rooms - 1 Conference space size (meters) - 42 Swimming pool Free WiFi Braille or raised signage Assistive listening devices available In-room accessibility (in select rooms) Wheelchair accessible parking Roll-in shower (in select rooms) Accessible bathroom (in select rooms) Free Cooked-to-Order Breakfast Wheelchair-accessible on-site restaurant Free breakfast Visual alarms in hallways Handrails in stairways Wheelchairs available on site Daily Barbecue grill(s) Laundry facilities Fitness facilities Uncovered parking Wheelchair accessible (may have limitations) Wheelchair-accessible van parking Wheelchair-accessible registration desk Pool hoist on site Wheelchair-accessible fitness center Wheelchair-accessible pool Wheelchair-accessible public washroom Upper floors accessible by stairs only Picnic area Internet access in public areas - high speed Art gallery on site Off-street parking Luggage storage Business center Front desk (limited hours) Outdoor seasonal pool Housekeeping on request Safe-deposit box at front desk Smoke-free property Free self parking Conference space Terrace Pool sun loungers Conference space size (feet) - 450 Fence around pool,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Flickinger Center for Performing Arts - 2.5 km / 1.6 mi <br /> Toy Train Depot - 4.1 km / 2.6 mi <br /> New Mexico State University Alamogordo - 6.6 km / 4.1 mi <br /> International Space Hall of Fame - 7.9 km / 4.9 mi <br /> New Mexico Museum of Space History - 7.9 km / 4.9 mi <br /> Gerald Champion Regional Medical Center - 8 km / 5 mi <br /> La Luz & Tularosa - 12.7 km / 7.9 mi <br /> World s Largest Pistachio - 14.4 km / 8.9 mi <br /> Heart of the Desert Pistachios & Wine - 15.3 km / 9.5 mi <br /> Osha Trail - 20.5 km / 12.7 mi <br /> The Tunnel Stop - 21.2 km / 13.2 mi <br /> Old Apple Barn - 22 km / 13.7 mi <br /> Oliver Lee Memorial State Park - 22.5 km / 14 mi <br /> White Sands National Park - 22.9 km / 14.3 mi <br /> White Sands Visitor Center - 23 km / 14.3 mi <br /> </p><p>The nearest major airport is Alamogordo  NM (ALM-White Sands Regional) - 6.2 km / 3.9 mi</p>,1021 S White Sands Blvd AlamogordoNew Mexico 88310-7250 ,88310,5754372110,http://www.magnusonhotels.com/Magnuson-Hotel-Suites-Alamogordo/
New Mexico,,32.955099,-105.742765,The Crofting Inn,3.0,"<p>HeadLine : Near Trestle Recreation Area</p><p>Location : With a stay at The Crofting Inn in Cloudcroft, you ll be 3 mi (4.8 km) from Cloudcroft Ski Area and 18.8 mi (30.2 km) from New Mexico Museum of Space History.  This golf bed & breakfast is within the region of Grindstone Lake and Ski Apache.</p><p>Rooms : Make yourself at home in one of the 8 guestrooms featuring microwaves. Rooms have private balconies. Complimentary wireless Internet access is available to keep you connected.</p><p>Dining : A complimentary full breakfast is served daily from 8:30 AM to 9:30 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and debit cards; cash is not accepted</li><li>Safety features at this property include a fire extinguisher and a smoke detector</li>  </ul></p><p>Special Instructions : There is no front desk at this property. This property doesn t offer after-hours check-in. Guests will receive key retrieval information.</p>",Mountain biking nearby Public winery tours Free full breakfast Wheelchair accessible  no Free breakfast Handrails in stairways Mountain climbing nearby Daily Well-lit path to entrance Smoke-free property Hiking/biking trails nearby Free self parking,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Trestle Recreation Area - 1 km / 0.6 mi <br /> Sacramento Mountains Museum - 1 km / 0.6 mi <br /> Sacramento Peak Observatory - 1.3 km / 0.8 mi <br /> New Mexico Rails-to-Trails - 1.6 km / 1 mi <br /> Cloudcroft Ski Area - 4.6 km / 2.9 mi <br /> Old Apple Barn - 11.7 km / 7.3 mi <br /> The Tunnel Stop - 12.4 km / 7.7 mi <br /> Osha Trail - 13.2 km / 8.2 mi <br /> National Solar Observatory - 27.1 km / 16.9 mi <br /> Apache Point Observatory - 27.4 km / 17 mi <br /> La Luz & Tularosa - 28.4 km / 17.7 mi <br /> Gerald Champion Regional Medical Center - 28.6 km / 17.8 mi <br /> New Mexico State University Alamogordo - 29.7 km / 18.5 mi <br /> Toy Train Depot - 29.8 km / 18.5 mi <br /> International Space Hall of Fame - 30.2 km / 18.8 mi <br /> </p><p>The nearest airports are:<br />El Paso International Airport (ELP) - 171.6 km / 106.6 mi<br /> Alamogordo  NM (ALM-White Sands Regional) - 39.8 km / 24.7 mi<br /> </p><p>The preferred airport for The Crofting Inn is El Paso International Airport (ELP). </p>,300 Swallow Place P.O. Box 1084CloudcroftNew Mexico 88317 ,88317,5756823604,http://www.thecroftinginn.com/
New Mexico,,32.9586750850844,-105.744511753364,Cloudcroft Hotel,2.0,"<p><b>Property Location</b> <br />With a stay at Cloudcroft Hotel, you''ll be centrally located in Cloudcroft, walking distance from Trestle Recreation Area and close to Cloudcroft Ski Area.</p><p><b>Rooms</b> <br />Stay in one of 18 guestrooms featuring flat-screen televisions. Complimentary wireless Internet access is available to keep you connected. Bathrooms have bathtubs or showers and hair dryers. Housekeeping is provided daily, and both cribs/infant beds (surcharge) and rollaway/extra beds (surcharge) are available on request.</p><p><b>Rec, Spa, Premium Amenities</b> <br />Make use of convenient amenities such as complimentary wireless Internet access, gift shops/newsstands, and a hair salon.</p><p><b>Business, Other Amenities</b> <br />Free self parking is available onsite.</p>",Cribs/infant beds (surcharge) Private bathrooms Hair dryer (on request) Flat screen TV (LCD  LED or Plasma TV) coffee shop Free self parking American Express Service animals exempt from fees/restrictions Pets allowed Individually decorated / furnished Bathtub or shower No elevators Visa Souvenirs / Gift Shop MasterCard Hairdresser Luggage storage Non-Smoking Hotel Discover Free Wireless Internet access Housekeeping Bicycle Rentals Beauty salon,Distances are calculated in a straight line from the property&apos;s location to the point of interest or attraction  and may not reflect actual travel distance. &lt;br /&gt;&lt;br /&gt; Distances are displayed to the nearest 0.1 mile and kilometer. &lt;p&gt;Trestle Recreation Area - 0.5 km / 0.3 mi &lt;br /&gt;Cloudcroft Ski Area - 3.3 km / 2.1 mi &lt;br /&gt;New Mexico Museum of Space History - 17 km / 10.6 mi &lt;br /&gt;New Mexico State University Alamogordo - 17.5 km / 10.9 mi &lt;br /&gt;National Solar Observatory - 20.2 km / 12.5 mi &lt;br /&gt;Toy Train Depot - 20.8 km / 12.9 mi &lt;br /&gt;Flickinger Center for Performing Arts - 21 km / 13.1 mi &lt;br /&gt;Apache Point Observatory - 21 km / 13.1 mi &lt;br /&gt;Grindstone Lake - 41.4 km / 25.7 mi &lt;br /&gt;Cree Medows Public Golf Course - 42.9 km / 26.6 mi &lt;br /&gt;Ruidoso Downs Racetrack - 43.3 km / 26.9 mi &lt;br /&gt;Hubbard Museum of the American West - 43.7 km / 27.2 mi &lt;br /&gt;White Sands National Monument - 44.7 km / 27.8 mi &lt;br /&gt;The Links at Sierra Blanca - 45 km / 28 mi &lt;br /&gt;Three Rivers Petroglyph Site - 49.5 km / 30.8 mi &lt;br /&gt;&lt;/p&gt;&lt;p&gt;The preferred airport for Cloudcroft Hotel is Alamogordo  NM (ALM-White Sands Regional) - 26.9 km / 16.7 mi. &lt;/p&gt;,306 Burro Avenue CloudcroftNew Mexico ,-0001,5756823414,http://cloudcrofthotel.com/
