State,City,Latitude,Longitude,HotelName,StarRating,Description,HotelFacilities,Attractions,Address,ZipCode,PhoneNumber,HotelWebsiteUrl
North Carolina,,35.480621338,-82.553718567,Quality Inn & Suites Biltmore South,2.0,HotelDescription#10 minutes to Biltmore Estate and Chimney Rock Park. Located near shopping and many restaurants.,Year of construction : 1995 NO Connecting rooms Hotel American Express EC JCB Diners Club MasterCard Visa NO Disability-friendly bathroom Satellite TV Cable TV YES Wheelchair-accessible NO Smoking rooms NO Small pets allowed (under 5 kg) NO Large pets allowed (over 5 kg) NO Wheelchair-accessible YES Car park NO Garage Air conditioning in public areas   Cloakroom Lift access Gym Restaurant Highchairs Indoor heated pool   Hot tub Continental breakfast   Fitness,,1 Skyland Inn Drive ArdenNorth Carolina 28704 ,28704,8286846688,
North Carolina,,35.57895,-82.59568,Bon Paul & Sharkys Hostel,5.0,"""Situated in Asheville", within 13 km of Biltmore Estate and 5.1 km of Harrahs Cherokee Center - Asheville, Bon Paul & Sharkys Hostel features accommodation with a shared lounge and free WiFi throughout the property as well as free private parking for guests who drive. The property is around 7.4 km from Botanical Gardens at Asheville, 13 km from Folk Art Center and 16 km from North Carolina Arboretum. Memorial Stadium is 5.7 km from the hostel and Western North Carolina Nature Center is 13 km away.,,,
North Carolina,,35.57289,-82.54816,Corner Oak Manor,3.0,,NO Connecting rooms NO Car park NO Smoking rooms NO Large pets allowed (over 5 kg) NO Garage NO Wheelchair-accessible NO Disability-friendly bathroom NO Small pets allowed (under 5 kg),,Saint Dunstans Road 53 53 28803 Asheville 28803 AshevilleNorth Carolina ,28803,8282640077,http://www.corneroakmanor.com/
North Carolina,,35.319432,-82.494934,The Apple Inn Bed & Breakfast,3.0,HotelDescription#Further information about this hotel will be available shortly,NO Smoking rooms NO Large pets allowed (over 5 kg) NO Disability-friendly bathroom NO Connecting rooms NO Garage NO Car park NO Small pets allowed (under 5 kg) NO Wheelchair-accessible,,1005 White Pine Drive 28739 HendersonvilleNorth Carolina ,28739,8286930107,
North Carolina,,35.480621338,-82.553718567,Quality Inn & Suites Biltmore South,2.0,HotelDescription#10 minutes to Biltmore Estate and Chimney Rock Park. Located near shopping and many restaurants.,Year of construction : 1995 NO Connecting rooms Hotel American Express EC JCB Diners Club MasterCard Visa NO Disability-friendly bathroom Satellite TV Cable TV YES Wheelchair-accessible NO Smoking rooms NO Small pets allowed (under 5 kg) NO Large pets allowed (over 5 kg) NO Wheelchair-accessible YES Car park NO Garage Air conditioning in public areas   Cloakroom Lift access Gym Restaurant Highchairs Indoor heated pool   Hot tub Continental breakfast   Fitness,,1 Skyland Inn Drive ArdenNorth Carolina 28704 ,28704,8286846688,
North Carolina,,35.5328,-82.51301,Asheville Cabins of Willow Winds,5.0,"""Featuring a garden and free WiFi", Asheville Cabins of Willow Winds is located in Asheville, 12 km from Biltmore Estate and 10 km from Harrahs Cherokee Center - Asheville. The property is set 12 km from Botanical Gardens at Asheville, 14 km from Folk Art Center and 19 km from North Carolina Arboretum. The resort has a childrens playground and a hot tub.,,,
North Carolina,,35.400926920892,-79.784082770348,The Star Hotel Bed and Breakfast,3.0,HotelDescription#Further information about this hotel will be available shortly,NO Small pets allowed (under 5 kg) NO Car park NO Wheelchair-accessible NO Disability-friendly bathroom NO Garage NO Large pets allowed (over 5 kg) NO Smoking rooms NO Connecting rooms,,118 N Main Street StarNorth Carolina 27356 ,27356,9104282565,http://www.starbedandbreakfast.com/
North Carolina,,36.206699991437,-81.6714861989021,Red Carpet Inn Boone,5.0,,,,862 Blowing Rock Road BooneNorth Carolina ,28607,,
North Carolina,,35.265375,-75.522976,Falcon Motel,2.0,,Outdoor Swimming Pool Bathtub/Shower Combination Free Wireless Internet access Cable / Satellite Television Free self parking Free Wireless Internet access (inroom) Tea/Coffee Making Facilities Barbecue / Grill Television Visa MasterCard Discover Seasonal Outdoor Pool Hair dryer (on request) Toiletries Writing Desk Pets Not Allowed Fridge Housekeeping Picnic area Microwave Private bathrooms Air Condition in rooms Private balcony / terrace Air Conditioned American Express,Distances are calculated in a straight line from the property&apos;s location to the point of interest or attraction  and may not reflect actual travel distance. &lt;br /&gt;&lt;br /&gt; Distances are displayed to the nearest 0.1 mile and kilometer. &lt;p&gt;Uncle Eddy&apos;s Frozen Custard and 18-Hole Mini Golf - 0.1 km / 0 mi &lt;br /&gt;12 Kiteboarding - 0.7 km / 0.4 mi &lt;br /&gt;Buxton Woods Nature Trail - 0.7 km / 0.5 mi &lt;br /&gt;Cape Hatteras Lighthouse - 1.7 km / 1.1 mi &lt;br /&gt;Buxton Seafood - 4.4 km / 2.7 mi &lt;br /&gt;Frisco Mini Golf and Go Karts - 6.2 km / 3.8 mi &lt;br /&gt;R/C Hatteras Movies 4 - 7.6 km / 4.7 mi &lt;br /&gt;Surf&apos;s Up - 7.9 km / 4.9 mi &lt;br /&gt;Frisco Beach - 8.6 km / 5.3 mi &lt;br /&gt;Canadian Hole - 9.2 km / 5.7 mi &lt;br /&gt;Hatteras Island Boardsports - 9.2 km / 5.7 mi &lt;br /&gt;Avon Pier - 9.3 km / 5.8 mi &lt;br /&gt;Avon Fishing Pier - 9.4 km / 5.8 mi &lt;br /&gt;Frisco Native American Museum - 9.8 km / 6.1 mi &lt;br /&gt;Studio 12 - 10 km / 6.2 mi &lt;br /&gt;&lt;/p&gt;&lt;p&gt;The preferred airport for Falcon Motel is Norfolk  VA (ORF-Norfolk Intl.) - 191.7 km / 119.1 mi. &lt;/p&gt;,46854 Highway Nc 12 Buxton Buxton 27920 United States Of America BuxtonNorth Carolina 27920 ,27920,2529955968,http://www.thefalconmotel.com/
North Carolina,,35.2809269932557,-81.2372714281082,Affordable Suites of America Gastonia,5.0,,,,1921 Bessemer City Road GastoniaNorth Carolina 28052 ,28052,7048530045,http://www.affordablesuites.com/affordablesuites-g
