State,City,Latitude,Longitude,HotelName,StarRating,Description,HotelFacilities,Attractions,Address,ZipCode,PhoneNumber,HotelWebsiteUrl
Ohio,Akron,41.31801,-81.34516,Mario's International Spa Hotel & Restaurant,4.0,"""Situated in Aurora", 40 km from Cleveland Orchestra, Marios International Spa, Hotel & Restaurant features accommodation with a shared lounge, free private parking, a restaurant and a bar. With free WiFi, this 4-star hotel offers room service and a 24-hour front desk. The property is non-smoking and is located 40 km from Akron Art Museum.
Ohio,Akron,41.080381,-81.515069,The Quaker Square Inn at the University of Akron,3.0,,NO Disability-friendly bathroom NO Garage NO Smoking rooms NO Car park NO Connecting rooms NO Large pets allowed (over 5 kg) NO Small pets allowed (under 5 kg) NO Wheelchair-accessible,,135 South Broadway Akron 44325-9002Ohio ,44325,,http://www.quakersquareakron.com
Ohio,Akron,41.0825,-81.51833,Rodeway Inn,3.0,This comfortable hotel is in Akron. The hotel features a total of 274 accommodation units. The Akron City Centre Hotel is not a pet-friendly establishment.,Hotel,,. AKRON ,44308,3303841500,
Ohio,Akron,41.13343,-81.64687,Motel 6 Akron,2.0,"""Hotel Akron Northwest - Copley features accommodation in Copley. The accommodation offers a 24-hour front desk and free WiFi is available throughout the property.",,,,,,
Ohio,Akron,41.06653,-81.72724,Comfortable Private Apartment,5.0,"""Set in Wadsworth in the Ohio region", Comfortable Private Apartment features a patio and lake views. The air-conditioned accommodation is 43 km from Independence, and guests benefit from complimentary WiFi and private parking available on site.,,,,
Ohio,Ashtabula,41.87627,-80.76502,Economy Inn & Suites,5.0,"""Economy Inn & Suites is offering accommodation in Ashtabula. Among the facilities at this property are room service and a 24-hour front desk", along with free WiFi throughout the property.,,,,,
Ohio,Athens,39.43156,-82.20769,The Inn At Hocking College,5.0,"""Set in Nelsonville", 21 km from Brass Ring Golf Club, The Lodge at Hocking College offers accommodation with a terrace, free private parking and a bar.,,,
Ohio,Athens,39.42522,-82.52564,Inn & Spa At Cedar Falls,3.0,"""This inn located in Logan", Ohio is 4 minutes drive from the sites of the Hocking Hills State Park like the Old Mans Cave. The accommodation offers free Wi-Fi and there is an on-site spa.,,,,,
Ohio,Athens,39.52581,-82.46079,Hocking Hills Inn,5.0,"""Featuring a charming and relaxing ambiance", Hocking Hills Inn is located in Logan, 38 km from Athens. Free WiFi is offered throughout the property and free private parking is available on site.,,,,
Ohio,Athens,39.33129,-82.12163,Highlander Motel,5.0,"""36 km from Brass Ring Golf Club", Highlander Motel is situated in Athens and offers air-conditioned rooms with free WiFi. The accommodation features room service and a 24-hour front desk for guests.,,,,,
Ohio,Athens,39.50856,-82.47149,Hocking Hills Cabins & Resort,5.0,"""Located in Logan", Hocking Hills Cabins & Resort Hill of a View features a shared lounge. There is a sun terrace and guests can make use of free WiFi and free private parking.,,,,,
Ohio,Athens,39.50856,-82.47149,Hocking Hills Cabins & Resort Hemlock Haven,5.0,"""Hocking Hills Cabins & Resort Hemlock Haven offers air-conditioned accommodation in Logan. There is a sun terrace and guests can make use of free WiFi and free private parking.",,,,,,
Ohio,Aurora,41.31801,-81.34516,Mario's International Spa Hotel & Restaurant,4.0,"""Situated in Aurora", 40 km from Cleveland Orchestra, Marios International Spa, Hotel & Restaurant features accommodation with a shared lounge, free private parking, a restaurant and a bar. With free WiFi, this 4-star hotel offers room service and a 24-hour front desk. The property is non-smoking and is located 40 km from Akron Art Museum.
Ohio,Austinburg,41.87627,-80.76502,Economy Inn & Suites,5.0,"""Economy Inn & Suites is offering accommodation in Ashtabula. Among the facilities at this property are room service and a 24-hour front desk", along with free WiFi throughout the property.,,,,,
Ohio,Austinburg,41.72,-81.2525,Steele Mansion Inn & Gathering Hub,4.0,"""Situated in Painesville", 43 km from Cleveland Orchestra, Steele Mansion Inn & Gathering Hub features accommodation with a garden, free private parking, a shared lounge and a terrace. With a bar, the 4-star inn has air-conditioned rooms with free WiFi, each with a private bathroom. The property is non-smoking and is set 45 km from Western Reserve Historical Society.
Ohio,Austinburg,41.85804,-80.9246,Indian Creek RV & Camping Resort,3.0,"""Featuring a viewing deck that overlooks Lake Erie", this camping resort offers 2 heated outdoor pools and 3 playground areas. Lake Erie is just 900 metres away.,,,,,
Ohio,Austinburg,41.75341,-81.20041,Villa Rosa Motel,3.0,"""Offering free Wi-Fi access", this Painesville motel is located 12 minutes drive from Headlands Beach State Park. Boat parking is available.,,,,,
Ohio,Austinburg,41.71317,-81.26013,Rider's Inn,5.0,"""Riders Inn is offering accommodation in Painesville. Among the various facilities are a shared lounge and a bar. There is a restaurant.",,,,,,
Ohio,Austinburg,41.7428,-80.95093,Vineyard Woods,5.0,"""Set 37 km from Little Mountain Country Club", Vineyard Woods offers a garden, and air-conditioned accommodation with a patio and free WiFi.,,,,
Ohio,Austintown,41.10092,-80.73672,Westgate Manor Motel,5.0,,,,4493 Mahoning Avenue AustintownOhio 44515 ,44515,,https://www.booking.com/hotel/us/westgate-motel.html
Ohio,Beavercreek,39.76313,-84.05558,Home2 Suites by Hilton Dayton Beavercreek,3.0,"""Set in Beavercreek", 12 km from Dayton Motor Car Company Historic District, Home2 Suites By Hilton Dayton/Beavercreek, Oh offers accommodation with a fitness centre, free private parking, a shared lounge and barbecue facilities. The property is situated 13 km from Dayton Visual Arts Center, 14 km from Benjamin and Marian Schuster Performing Arts Center and 14 km from RiverScape. The hotel features an indoor pool and a 24-hour front desk and free WiFi throughout the property.
Ohio,Bellville,40.62061,-82.51132,Wishmaker House Bed and Breakfast,5.0,"""Set in Bellville", Wishmaker House B&b offers accommodation with free WiFi and flat-screen TV, as well as a restaurant and a bar.,,,,
Ohio,Belmont,40.05744,-81.05485,Sleep Inn & Suites Belmont St. Clairsville,3.0,"""A modern fitness centre", free WiFi, and a daily free hot breakfast are featured at this Sleep Inn & Suites. Located in Belmont, the hotel is 12 km from the Wheeling Downs Racetrack and Casino.,,,
Ohio,Berlin,40.56475,-81.79592,Carlisle Country Inn,5.0,"""Hillside Inn features a hot tub and free private parking", and is within 31 km of Warther Carving Museum.,,,,,
Ohio,Berlin,41.06047,-80.92323,Bella Fattoria Bed and Breakfast,2.0,"""Our rural century home located on two acres offers beautiful views of the local winery and vineyard and a spacious outside deck overlooks the winery providing mesmerizing sunsets. Our home is a mix of tastefully decorated rooms with modern conveniences and vintage/antique charm of the old farmhouse. We are located within 15 miles of 8 different wineries on Ohios Canal Country Wine Trail. Attractions include two lakes. Lake Milton is a 1685 acre lake and Berlin Lake is a 3",650 acre lake. Both lakes provide opportunities for boating, fishing, swimming, wildlife viewing and education, picnicking and hiking. Buckeye Horse Park just 6.3 miles away hosts Horse shows and provides recreational riding trails. Mill Creek Parks 262 acre Vickers Nature preserve is located next to the Horse Park and provides hiking trails. There are 7 Golf courses within ten miles and Mahoning Valley Race Course and Casino within 14 miles. Set in Berlin Center, Bella Fattoria Bed and Breakfast offers accommodation with free WiFi and barbecue facilities.
Ohio,Bryan,41.47448,-84.53692,Colonial Manor Motel,2.0,"""Bryan Inn is located in Bryan.  A complimentary breakfast bar and pet-friendly rooms are provided. Free Wi-Fi access is available.",,,,,,
Ohio,Bucyrus,40.76061,-83.01316,HideAway Country Inn,2.0,"""Situated 6.3 km from Port Bucyrus-Crawford County Airport", Hideaway Inn features accommodation with a restaurant, a garden and room service for your convenience. The bed and breakfast features both WiFi and private parking free of charge.,,,,
Ohio,Cambridge,40.00144,-81.5751,Best Western Cambridge,3.0,,designated smoking area indoor pool (all year) minimarket on site Daily housekeeping parking on site wifi available in all areas Accessible parking Wheelchair accessible Toilet with grab rails Higher level toilet Lower bathroom sink Heated pool Shallow end Visual aids: Braille Auditory guidance Outdoor furniture Fitness Swimming pool Key access Key card access Smoke alarms Fire extinguishers Swimming pool use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays physical distancing in dining areas staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers face masks for guests available Parking Pets allowed meeting/banquet facilities 24-hour front desk Fitness centre Non-smoking rooms Business centre Laundry dry cleaning Facilities for disabled guests Free parking internet services lift Safety Deposit Box Fax/photocopying wifi Indoor pool Free WiFi Non-smoking throughout Air conditioning,,2307 Southgate Parkway CambridgeOhio 43725 ,43725,7404350035,https://www.choicehotels.com/ohio/cambridge/sleep-inn-hotels/oh587
Ohio,Cambridge,40.00383,-81.5766,Southgate Hotel,3.0,"""Situated in Cambridge", 37 km from The Wilds, Southgate Hotel features accommodation with a seasonal outdoor swimming pool, free private parking, a fitness centre and a shared lounge. With a bar, the 3-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. The accommodation offers a 24-hour front desk and an ATM for guests.
Ohio,Cambridge,40.01323,-81.6223,Budget Inn Cambridge,2.0,"""Budget Inn - Cambridge is a 2-star property set in Fairdale. The 2-star motel has air-conditioned rooms with a private bathroom and free WiFi.",,,,,,
Ohio,Cambridge,39.99976,-81.57409,Deer Creek Motel,1.0,"""Deer Creek Motel offers accommodation in Cambridge.",,,,,,
Ohio,Celina,40.536233,-84.574391,West Bank Inn,1.0,Private balconies with views of Grand Lake private jetted tubs and a convenient location near restaurants are all part of the deal at the West Bank Inn. All 14 rooms in this two-story hotel have stunning views of Grand Lake. As an added bonus each room has its own two-person jetted tub. Use the hotel''s Wi-Fi to send pictures of your balcony view to friends or enjoy a show on your cable TV. Hairdryers ironing boards coffeemakers and mini-fridges are provided and local calls are free. Parking is free. The West Bank Inn is right on the west bank of Grand Lake where guests can enjoy hiking fishing boating swimming and more. The center of Celina is one mile north and Wright State University''s Lake Campus is four-and-a-half miles away. Catch a race at Eldora Speedway a 25-minute drive. Fort Wayne International Airport is 53 miles away. our guests enjoy the view of the lake and the &quotnice&quot in-room jetted tubs at the West Bank Inn in Celina.,,,1055 West Bank Road CelinaOhio 45822 ,45822,4195843625,http://www.westbankinn.com
Ohio,Celina,40.53372,-84.57558,Romers Westlake Hotel Villas,4.0,"""Romers Westlake Hotel Villas offers accommodation in Celina.",,,,,,
Ohio,Chillicothe,39.11516,-82.99715,Ameristay Inn & Suites,3.0,"""Boasting an indoor pool and an on-site restaurant", Ameristay Inn & Suites is located in Waverly. Free WiFi access is available. Big Beaver Creek Golf Club is 10 minutes drive away.,,,,,
Ohio,Cincinnati,39.152271664532,-84.402325527613,Execustay Centennial,3.0,HotelDescription#Further information about this hotel will be available shortly,NO Wheelchair-accessible NO Garage NO Large pets allowed (over 5 kg) NO Car park NO Connecting rooms NO Smoking rooms NO Small pets allowed (under 5 kg) NO Disability-friendly bathroom,,4209 Erie Avenue Cincinnati 45227Ohio ,45227,8004162787,http://www.execustay.com/furnished-apartments/cinc
Ohio,Cincinnati,39.31858,-84.4936,WoodSpring Suites Cincinnati Fairfield,2.0,"""Featuring 2-star accommodation", WoodSpring Suites Cincinnati Fairfield is located in Fairfield, 27 km from Cincinnati Zoo and Botanical Garden and 28 km from Kings Island. This 2-star hotel offers free WiFi. The property is non-smoking and is situated 27 km from Cincinnati Zoo.,,,,
Ohio,Cincinnati,39.10200119,-84.513000488,Terrace Hotel Cincinnati,3.0,"""HotelDescription#This cosy hotel is located in the centre opposite Fountain Square and only a block away from the Contemporary Arts Centre and the Cinergy Center.",,,,,,
Ohio,Cincinnati,39.14421,-84.53446,Budget Host Town Center,1.0,"""Located close to Interstate 75", this hotel offers free Wi-Fi and traditionally decorated rooms that include a refrigerator and a work desk. The University of Cincinnati is less than 2 miles away.,,,,,
Ohio,Cincinnati,39.44164,-84.33699,Wave Hotels,3.0,"""Featuring an outdoor pool", this Monroe, Ohio hotel offers rooms with a flat-screen TV. WiFi access is provided free of charge.,,,,
Ohio,Cincinnati,39.34958034007,-84.5417899547,Budget Inn Fairfield,1.0,HotelDescription#This property enjoys a convenient position in Fairfield . There are a total of 92 rooms on the premises.,NO Connecting rooms Hotel Fridge YES Wheelchair-accessible NO Small pets allowed (under 5 kg) NO Large pets allowed (over 5 kg) NO Wheelchair-accessible NO Car park NO Garage Laundry service Gym Continental breakfast  ,,4670 Dixie Highway FairfieldOH 45014 ,45014,,
Ohio,Cincinnati,39.10489,-84.51415,Garfield Suites Hotel,3.0,This comfortable hotel can be found in Downtown. The hotel consists of 152 guests rooms. Pets are not allowed at Garfield Suites Hotel.,Hotel,,. CINCINNATI ,45202,5134213355,http://www.garfieldsuiteshotel.com/
Ohio,Cincinnati,39.26989,-84.43765,Drury Inn & Suites Cincinnati North,3.0,"""Located off I-75", this hotel features free Wi-Fi, a 24-hour fitness centre and rooms with a flat-screen cable TV. Sharonville Convention Center is 4 minutes drive.,,,,
Ohio,Cincinnati,39.43106,-84.19299,Knights Inn Lebanon,2.0,"""This Guest Inn Lebanon hotel offers free WiFi and rooms equipped with a microwave and refrigerator. Kings Island Amusement Park is 14 km away.",,,,,,
Ohio,Cincinnati,39.44025,-84.32965,Comfort Inn Monroe,3.0,"""Located off Interstate 75", the beautiful Holiday Inn Express - Cincinnati North - Monroe is close to many popular attractions. Golf enthusiasts can play a round at Shaker Run Golf Club, located only minutes away. Looking for fun-in-the-sun and exciting entertainment in Ohio? Enjoy the thrilling rides at The Beach Waterpark and Kings Island amusement park, both nearby.,,,
Ohio,Cincinnati,39.28701,-84.44833,Crossland Economy Studios Cincinnati Springdale Tri Cty Mall,2.0,"""Situated in Springdale", Studio 6 Cincinnati- Springdale provides accommodation with free WiFi, a TV and a kitchen.,,,,
Ohio,Cincinnati,39.13671,-84.50729,Kingsgate Marriott Conference Center at the University of Cincinnati,4.0,"""Situated in Cincinnati", less than 1 km from Cincinnati Zoo and Botanical Garden, Graduate Cincinnati has rooms with free WiFi access. Every guest at the 4-star property can enjoy city views from the rooms, and has access to a fitness centre. Guests can make use of a bar.,,,
Ohio,Cincinnati,39.3787,-84.27832,Kirkwood Inn,2.0,"""Situated in Mason", 4.4 km from Kings Island, Kirkwood Inn boasts air-conditioned rooms with free WiFi and complimentary breakfast.,,,,
Ohio,Cincinnati,39.11782,-84.50801,Hopkins Park Bed and Breakfast,3.0,"""Featuring a daily breakfast and free WiFi", this Cincinnati bed and breakfast is located 5 minutes drive from the Great American Ball Park. The Cincinnati Playhouse is 1 mile away.,,,,,
Ohio,Cincinnati,39.10482,-84.48192,Weller Haus Bed Breakfast & Event Center,5.0,"""Situated in Bellevue", 19 km from Sharonville, Weller Haus Bed, Breakfast & Event Center features a garden and free WiFi.,,,
Ohio,Cincinnati,39.29366,-84.31785,Drury Inn & Suites Cincinnati Northeast Mason,3.0,"""Featuring 3-star accommodation", Drury Inn & Suites Cincinnati Northeast Mason is situated in Mason, 22 km from Cincinnati Observatory Center and 28 km from Cincinnati Zoo. With a fitness centre, the 3-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. The property is non-smoking and is set 7.1 km from Kings Island.,,
Ohio,Cincinnati,39.14954,-84.52158,Gaslight Bed & Breakfast,5.0,"""Set in Cincinnati", 2 km from Cincinnati Zoo and 1.7 km from Cincinnati Zoo and Botanical Garden, Gaslight Bed & Breakfast offers accommodation with free WiFi, air conditioning, a garden and a shared lounge.,,
Ohio,Cincinnati,39.43841,-84.33254,"""Tru By Hilton Monroe"," Oh""",2.0,"""Featuring 2-star accommodation", Tru By Hilton Monroe, Oh is situated in Monroe, 40 km from Cincinnati Zoo and 40 km from Cincinnati Zoo and Botanical Garden. Featuring a shared lounge, the 2-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. The property is non-smoking and is set 19 km from Kings Island.
Ohio,Cincinnati,39.33007,-84.42688,avid hotel Cincinnati N - West Chester,5.0,"""Situated in West Chester", 17 km from Kings Island, Avid Hotels - Cincinnati N - West Chester, an IHG Hotel features accommodation with a fitness centre, free private parking and a shared lounge. The property is set 24 km from Cincinnati Zoo, 24 km from Cincinnati Zoo and Botanical Garden and 29 km from Cincinnati Observatory Center. The accommodation offers a 24-hour front desk, a business centre and luggage storage for guests.
Ohio,Cincinnati,,,Home2 Suites by Hilton Cincinnati Eastgate,5.0,"""<p>We are located across the highway from 32 East Shopping Center and less than a mile from Eastgate Mall. Our location provides diverse eateries that range from LongHorn Steakhouse to El Rancho Grande  Eastgate. Visit the Cincinnati Nature Center less than 10 minutes away. Our pet friendly hotel also features an indoor heated pool.",,,,,,
Ohio,Cincinnati,39.18853,-84.65385,Hampton Inn & Suites Cincinnati West  OH,5.0,"""Situated in Dent", 19 km from Cincinnati Zoo and Botanical Garden, Hampton Inn & Suites Cincinnati West, Oh features air-conditioned accommodation and a fitness centre. The property is around 20 km from Cincinnati Museum Center, 20 km from Cincinnati Zoo and 22 km from Paul Brown Stadium. The accommodation offers a shared lounge and a 24-hour front desk for guests.,,
Ohio,Cincinnati,39.32325,-84.43173,Fairfield by Marriott Inn & Suites Cincinnati North West Chester,3.0,"""Fairfield by Marriott Inn & Suites Cincinnati North West Chester features accommodation in Rialto.",,,,,,
Ohio,Cincinnati,39.10037,-84.51253,Courtyard by Marriott Cincinnati Downtown,5.0,"""Situated in Cincinnati", 400 metres from Freedom Center, Courtyard by Marriott Cincinnati Downtown features accommodation with a fitness centre, private parking, a restaurant and a bar. The property is around 2.8 km from Cincinnati Museum Center, 5 km from Cincinnati Zoo and Botanical Garden and 6.4 km from Cincinnati Zoo. The property is 700 metres from Great American Ball Park, and within 200 metres of the city centre.
