State,City,Latitude,Longitude,HotelName,StarRating,Description,HotelFacilities,Attractions,Address,ZipCode,PhoneNumber,HotelWebsiteUrl
Rhode Island,,41.1688,-71.55875,The Bellevue House,3.0,"<p><b>Property Location</b> <br />With a stay at Block Island Accommodations in Block Island, you'll be near the beach, just a 5-minute walk from Nichols Park and 8 minutes by foot from Ballard's Beach.  This guesthouse is 0.5 mi (0.9 km) from Block Island Historical Society Museum and 0.9 mi (1.4 km) from Crescent Beach.</p><p><b>Rooms</b> <br />Make yourself at home in one of the 8 individually decorated guestrooms. Complimentary wireless Internet access is available to keep you connected. Bathrooms feature showers, complimentary toiletries, and hair dryers. Housekeeping is provided daily, and irons/ironing boards can be requested.</p><p><b>Amenities</b> <br />Take in the views from a terrace and a garden and make use of amenities such as complimentary wireless Internet access. Additional amenities at this guesthouse include concierge services, a picnic area, and barbecue grills.</p><p><b>Business, Other Amenities</b> <br />Featured amenities include dry cleaning/laundry services, luggage storage, and a library.</p>",Accessible bathroom Barbecue grill(s) Concierge services Dry cleaning/laundry service Free WiFi Front desk (limited hours) Garden Library Luggage storage Picnic area Smoke-free property Terrace Total number of rooms - 8 Tours/ticket assistance,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Nichols Park - 0.4 km / 0.3 mi <br /> Ballard's Beach - 0.6 km / 0.4 mi <br /> Block Island Historical Society Museum - 0.9 km / 0.5 mi <br /> Crescent Beach - 1.5 km / 0.9 mi <br /> Mohegan Bluffs - 2.2 km / 1.4 mi <br /> Great Salt Pond - 2.3 km / 1.4 mi <br /> Southeast Light House - 2.4 km / 1.5 mi <br /> Nathan Mott Park - 2.8 km / 1.8 mi <br /> Rodman's Hollow - 4.3 km / 2.7 mi <br /> Lewis-Dickens Farm - 4.8 km / 3 mi <br /> Block Island National Wildlife Refuge - 5 km / 3.1 mi <br /> Mansion Beach - 5 km / 3.1 mi <br /> Clay Head Preserve - 5.7 km / 3.5 mi <br /> Coast Guard Beach - 6 km / 3.7 mi <br /> Sacred Labyrinth - 6 km / 3.8 mi <br /> </p><p>The nearest airports are:<br />Block Island  RI (BID-Block Island State) - 2.8 km / 1.7 mi<br /> North Kingstown  RI (NCO-Quonset State) - 57.9 km / 36 mi<br /> Newport  RI (NPT-Newport State) - 65.8 km / 40.9 mi<br /> Westerly  RI (WST-Westerly State) - 66.6 km / 41.4 mi<br /> Providence  RI (PVD-T.F. Green) - 71.5 km / 44.4 mi<br /> </p><p></p>,Block Island Rhode Island ,02807,,http://www.blockislandbedandbreakfast.com/agents/b
Rhode Island,,41.17286,-71.56161,Island Manor Resort,3.0,"Block Island is located about twelve miles off the Rhode Island coast. To reach the island you must take a ferry or a small plane. Once you arrive, you will be overwhelmed by the islands elegant beauty and small town charm. Activities include biking, parasailing, hiking on the many nature trails and beaches, sunbathing, kayaking, shopping, horseback & moped riding.

The property is 400 metres from the ferry and Water Street, which features many restaurants, shops and a grocery store. Please inform Island Manor Resort, a VRI resort in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
The resort front desk has limited hours of operation. Guests who intend to arrive outside normal check-in hours must contact the property directly with the contact details provided in your confirmation to make alternative check-in arrangements.",Parking Family rooms Free parking internet services BBQ facilities wifi Free WiFi parking on site Private parking Outdoor furniture Picnic area invoice provided,,215 Chapel Street PO Box 400Block IslandRhode Island 02807 ,02807,4014665567,https://www.booking.com/hotel/us/island-manor-resort.html
Rhode Island,,41.17073,-71.55726,The 1661 Inn and Hotel Manisses,3.0,"This boutique inn, located on a small island with more than 350 years of history, offers views of the Atlantic Ocean, unspoiled beaches and 200-foot cliffs.

All rooms at The 1661 Inn have a selection of antiques and a variety of amenities. Free candy and a decanter of brandy are offered as welcoming gifts in every room. Most rooms feature a TV, refrigerator, private bath and air-conditioning.

A traditional New England buffet breakfast is served including baked bluefish, hash, baked beans and pancakes. After-dinner drinks and desserts are served nightly in the parlor.

A variety of animals, including camels, black swans and red kangaroos, are available at The 1661 Farm and Garden, across the street from The 1661 Inn. Two lighthouses, North and Southeast, also stand on the island. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Upon check-in photo identification and credit card is required. All special requests are subject to availability upon check-in. Special requests cannot be guaranteed and may incur additional charges.

Please note that this property has rooms in several buildings. Guests are assigned to a building based on availability at the time of reservation. They will receive an email confirmation letter stating the specific room and building that they have been assigned. Please contact the hotel directly with any request or questions. Contact information can be found on the booking confirmation.",Free self parking Restaurant Bar/lounge Garden Non-smoking rooms Internet access Heating Free WiFi Free WiFi Non-smoking throughout Parking onsite,,1 Spring Street Block IslandRhode Island 02807 ,02807,4014662421,https://www.booking.com/hotel/us/the-1661-inn-and-manisses.html
Rhode Island,,41.1766342,-71.5716717,The Island Home Inn,3.0,"Property Location With a stay at The Island Home Inn in Block Island New Shoreham, you''ll be convenient to Block Island Historical Society Museum and Nathan Mott Park. This bed & breakfast is within close proximity of Nichols Park and Ballard''s Beach.Rooms Make yourself at home in one of the 10 air-conditioned guestrooms. Prepare your meals in the shared/communal kitchen. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment.Rec, Spa, Premium Amenities Take in the views from a garden and make use of amenities such as wedding services and tour/ticket assistance. Additional amenities at this Victorian bed & breakfast include a picnic area and barbecue grills.Dining Meet other guests and eat at a complimentary reception. A complimentary full breakfast is served daily.Business, Other Amenities Featured amenities include luggage storage and coffee/tea in the lobby.",Tour desk Breakfast included Limited Time Reception Picnic area Wedding services Barbecue / Grill Coffee/tea in lobby No Restaurant Visa Discover Luggage storage Garden,Distances are calculated in a straight line from the property&apos;s location to the point of interest or attraction  and may not reflect actual travel distance. &lt;br /&gt;&lt;br /&gt; Distances are displayed to the nearest 0.1 mile and kilometer. &lt;p&gt;Block Island Historical Society Museum - 0.9 km / 0.6 mi &lt;br /&gt;Nathan Mott Park - 1.3 km / 0.8 mi &lt;br /&gt;Nichols Park - 1.3 km / 0.8 mi &lt;br /&gt;Ballard&apos;s Beach - 1.4 km / 0.9 mi &lt;br /&gt;Crescent Beach - 1.4 km / 0.9 mi &lt;br /&gt;Coast Guard Beach - 2.7 km / 1.7 mi &lt;br /&gt;Rodman&apos;s Hollow - 2.7 km / 1.7 mi &lt;br /&gt;Mansion Beach - 2.9 km / 1.8 mi &lt;br /&gt;Southeast Light House - 2.9 km / 1.8 mi &lt;br /&gt;Mohegan Bluffs - 2.9 km / 1.8 mi &lt;br /&gt;Dories Cove Beach - 3 km / 1.9 mi &lt;br /&gt;Lewis-Dickens Farm - 3 km / 1.9 mi &lt;br /&gt;Clay Head Preserve - 3.6 km / 2.3 mi &lt;br /&gt;Sacred Labyrinth - 4.5 km / 2.8 mi &lt;br /&gt;Sachem Pond - 5 km / 3.1 mi &lt;br /&gt;&lt;/p&gt;&lt;p&gt;The nearest airports are:&lt;br /&gt;Block Island  RI (BID-Block Island State) - 1 km / 0.6 mi&lt;br /&gt;Providence  RI (PVD-T.F. Green) - 62.1 km / 38.6 mi&lt;br /&gt;&lt;/p&gt;&lt;p&gt;The preferred airport for The Island Home Inn is Providence  RI (PVD-T.F. Green). &lt;/p&gt;,585 Beach Avenue P.O. Box 1587Block IslandRhode Island 02807 ,02807,4014665944,https://theislandhomeinn.com/
Rhode Island,,41.17305,-71.5585,National Hotel,4.0,"Situated on Block Island, just off the coast of Rhode Island, this historic hotel offers stunning views, delicious on-site dining options and is moments from beautiful beaches and area attractions.

Popular area points of interest, including the historic Southeast Lighthouse can be found a short distance from the National Hotel. A number of charming shops, art galleries and local restaurants are also easily accessible.

Guests at the National can enjoy relaxing on the hotels large porch, offering beautiful views of the ocean. The hotel also features an on-site restaurant, the Tap & Grill, which offers a variety of fresh seafood dishes. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.",Restaurant meeting/banquet facilities Bar Terrace Non-smoking rooms Fishing Family rooms internet services Hiking Cycling Heating Fax/photocopying Horse riding Luggage storage wifi Free WiFi Air conditioning designated smoking area ATM/cash machine on site Sun terrace concierge service shared lounge/TV area minimarket on site Daily housekeeping wifi available in all areas Kid meals Wine/champagne Outdoor furniture Outdoor fireplace Beach Walking tours Bike tours Live music/performance Live sport events (broadcast) 24-hour security Key access Security alarm Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays physical distancing in dining areas staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay face masks for guests available,,One Historic Water Street Block IslandRhode Island 02807 ,02807,4014662901,https://www.booking.com/hotel/us/national.html
Rhode Island,,41.16798,-71.55485,The Inn at Spring House,5.0,"Set on Block Island, Spring House Hotel provides free WiFi and rooms with air conditioning in New Shoreham. Rooms are available at either the Mott House or the Main Building of the Spring House Hotel.

Guests can dine in the on-site restaurant, which serves a variety of American dishes, with an emphasis on farm-to-table dining. Breakfast, lunch and dinner are available during the months of June through September.

This property is located a short distance from attractions such as Southeast Lighthouse, Greenway Walking Trails, and Block Island Historical Society. Settler s Rock is 4.1 km from the hotel.  North Lighthouse is 3.9 km from the hotel. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.",Parking Restaurant Non-smoking rooms Free parking internet services wifi Free WiFi Non-smoking throughout Air conditioning Daily housekeeping parking on site Private parking wifi available in all areas,,52 Spring Street P.O. Box 1790Block IslandRhode Island 02807 ,02807,4014665844,https://www.booking.com/hotel/us/the-inn-at-spring-house.html
Rhode Island,,41.17374,-71.56099,The Gothic Inn,2.0,"<p><b>Property Location</b> <br />With a stay at The Gothic Inn in Block Island, you'll be on the beach, just a 1-minute walk from Block Island Historical Society Museum and 6 minutes by foot from Nichols Park.  This beach bed & breakfast is 0.4 mi (0.6 km) from Crescent Beach and 0.4 mi (0.6 km) from Ballard's Beach.</p><p><b>Rooms</b> <br />Make yourself at home in one of the 9 guestrooms. Complimentary wireless Internet access is available to keep you connected. Shared bathrooms are provided. Conveniences include ceiling fans and irons/ironing boards, and housekeeping is provided daily.</p><p><b>Amenities</b> <br />Make use of convenient amenities such as complimentary wireless Internet access, a picnic area, and barbecue grills.</p><p><b>Dining</b> <br />A complimentary continental breakfast is served daily.</p><p><b>Business, Other Amenities</b> <br />The front desk is staffed during limited hours. Free self parking is available onsite.</p>",Barbecue grill(s) Free WiFi Free breakfast Free self parking Front desk (limited hours) Library Pets allowed Picnic area Smoke-free property Total number of rooms - 9,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Block Island Historical Society Museum - 0.1 km / 0.1 mi <br /> Nichols Park - 0.5 km / 0.3 mi <br /> Crescent Beach - 0.6 km / 0.4 mi <br /> Ballard's Beach - 0.6 km / 0.4 mi <br /> Great Salt Pond - 1.5 km / 0.9 mi <br /> Nathan Mott Park - 2.3 km / 1.4 mi <br /> Southeast Light House - 2.9 km / 1.8 mi <br /> Mohegan Bluffs - 3 km / 1.9 mi <br /> Block Island National Wildlife Refuge - 4.1 km / 2.6 mi <br /> Mansion Beach - 4.2 km / 2.6 mi <br /> Rodman's Hollow - 4.4 km / 2.7 mi <br /> Coast Guard Beach - 4.5 km / 2.8 mi <br /> Lewis-Dickens Farm - 4.8 km / 3 mi <br /> Clay Head Preserve - 4.9 km / 3 mi <br /> Sacred Labyrinth - 5.2 km / 3.2 mi <br /> </p><p>The nearest airports are:<br />Block Island  RI (BID-Block Island State) - 2.2 km / 1.4 mi<br /> North Kingstown  RI (NCO-Quonset State) - 57.8 km / 35.9 mi<br /> Newport  RI (NPT-Newport State) - 65.1 km / 40.4 mi<br /> Westerly  RI (WST-Westerly State) - 66.6 km / 41.4 mi<br /> Providence  RI (PVD-T.F. Green) - 71.5 km / 44.4 mi<br /> </p><p></p>,440 Dodge Street PO Box 537Block IslandRhode Island 02807 ,02807,4014662918,http://www.thegothicinn.com/
Rhode Island,,41.16166,-71.58426,Avonlea Jewel of Sea,3.0,"<p><b>Property Location</b> <br />Located in Block Island, Avonlea, Jewel of Sea is by the ocean and minutes from Rodman''s Hollow and Nathan Mott Park. This beach bed & breakfast is within close proximity of Lewis-Dickens Farm and Block Island Historical Society Museum.</p><p><b>Rooms</b> <br />Make yourself at home in one of the 8 air-conditioned rooms featuring DVD players. Private bathrooms with shower/tub combinations feature complimentary toiletries and hair dryers. Housekeeping is provided daily, and both irons/ironing boards and cribs/infant beds (surcharge) are available on request.</p><p><b>Dining</b> <br />Meet other guests and eat at a complimentary reception. A complimentary full breakfast is served daily.</p><p><b>Business, Other Amenities</b> <br />The front desk is staffed during limited hours. Free self parking is available onsite.</p>",Free reception Beach sun loungers Free self parking Smoke-free property Free breakfast Beach towels Total number of rooms - 8 Front desk (limited hours) Free WiFi Pets allowed,Distances are calculated in a straight line from the property&apos;s location to the point of interest or attraction  and may not reflect actual travel distance. &lt;br /&gt;&lt;br /&gt; Distances are displayed to the nearest 0.1 mile and kilometer. &lt;p&gt;Rodman&apos;s Hollow - 0.7 km / 0.5 mi &lt;br /&gt;Nathan Mott Park - 0.8 km / 0.5 mi &lt;br /&gt;Lewis-Dickens Farm - 1.2 km / 0.7 mi &lt;br /&gt;Block Island Historical Society Museum - 2.3 km / 1.4 mi &lt;br /&gt;Dories Cove Beach - 2.3 km / 1.4 mi &lt;br /&gt;Nichols Park - 2.5 km / 1.6 mi &lt;br /&gt;Mohegan Bluffs - 2.6 km / 1.6 mi &lt;br /&gt;Ballard&apos;s Beach - 2.7 km / 1.7 mi &lt;br /&gt;Southeast Light House - 2.7 km / 1.7 mi &lt;br /&gt;Crescent Beach - 3.3 km / 2.1 mi &lt;br /&gt;Coast Guard Beach - 3.9 km / 2.4 mi &lt;br /&gt;Mansion Beach - 4.8 km / 3 mi &lt;br /&gt;Clay Head Preserve - 5.5 km / 3.4 mi &lt;br /&gt;Sacred Labyrinth - 6.4 km / 4 mi &lt;br /&gt;Sachem Pond - 6.8 km / 4.3 mi &lt;br /&gt;&lt;/p&gt;&lt;p&gt;The preferred airport for Avonlea  Jewel of Sea is Newport  RI (NPT-Newport State) - 48.2 km / 29.9 mi. &lt;/p&gt;,597 Corn Neck Road Block IslandRhode Island 02807 ,02807,,
Rhode Island,,41.17229,-71.55754,The Inn at Old Harbor,3.0,"Featuring a shared lounge, garden and views of sea, Inn at Old Harbor is located in New Shoreham, 2.3 km from Mohegan Bluffs Beach. The property is around 2.7 km from Block Island, 3.2 km from Southeast Lighthouse and less than 1 km from Greenway Walking Trails. The property is set 3.9 km from Settler s Rock.

The inn offers a terrace.

Block Island Historical Society is 1.4 km from Inn at Old Harbor, while North Lighthouse is 3.8 km away. The nearest airport is T.F. Green Airport, 62 km from the accommodation. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.",linens  towels and laundry washed in accordance with local authority guidelines Non-smoking rooms shops (on site) Luggage storage guest accommodation is disinfected between stays Sun terrace guests have the option to cancel any cleaning services for their accommodation during their stay use of cleaning chemicals that are effective against coronavirus shared lounge/TV area Garden Terrace,,231 Water Street Block IslandRhode Island 02807 ,02807,9147073367,https://www.booking.com/hotel/us/inn-at-old-harbor.html
Rhode Island,,41.16887,-71.55872,The Rose Farm Inn,2.0,"<p><b>Property Location</b> <br />Located in Block Island, Rose Farm Inn is by the ocean, a 3-minute drive from Crescent Beach and 5 minutes from Mohegan Bluffs.  This bed & breakfast is 1.4 mi (2.3 km) from Great Salt Pond and 1.5 mi (2.4 km) from Southeast Light House.</p><p><b>Rooms</b> <br />Make yourself at home in one of the 20 individually decorated guestrooms. Complimentary wireless Internet access is available to keep you connected. Bathrooms have complimentary toiletries and hair dryers. Conveniences include fans, as well as phones with free local calls.</p><p><b>Amenities</b> <br />Take advantage of recreation opportunities such as bicycles to rent or take in the view from a terrace and a garden. Additional amenities at this Victorian bed & breakfast include complimentary wireless Internet access, wedding services, and a television in a common area.</p><p><b>Dining</b> <br />A complimentary continental breakfast is included.</p><p><b>Business, Other Amenities</b> <br />Featured amenities include multilingual staff, luggage storage, and laundry facilities. Free self parking is available onsite.</p>",Accessible bathroom Beach towels Coffee/tea in common areas Free WiFi Free breakfast Free self parking Front desk (limited hours) Garden In-room accessibility Laundry facilities Luggage storage Multilingual staff Number of buildings/towers - 2 Number of floors - 2 Roll-in shower Shared refrigerator Smoke-free property Television in common areas Terrace Total number of rooms - 20 Wedding services Year Built - 1994,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Nichols Park - 0.4 km / 0.2 mi <br /> Ballard's Beach - 0.6 km / 0.4 mi <br /> Block Island Historical Society Museum - 0.9 km / 0.5 mi <br /> Crescent Beach - 1.4 km / 0.9 mi <br /> Mohegan Bluffs - 2.2 km / 1.4 mi <br /> Great Salt Pond - 2.3 km / 1.4 mi <br /> Southeast Light House - 2.4 km / 1.5 mi <br /> Nathan Mott Park - 2.8 km / 1.8 mi <br /> Rodman's Hollow - 4.3 km / 2.7 mi <br /> Lewis-Dickens Farm - 4.8 km / 3 mi <br /> Block Island National Wildlife Refuge - 5 km / 3.1 mi <br /> Mansion Beach - 5 km / 3.1 mi <br /> Clay Head Preserve - 5.7 km / 3.5 mi <br /> Coast Guard Beach - 6 km / 3.7 mi <br /> Sacred Labyrinth - 6 km / 3.8 mi <br /> </p><p>The nearest airports are:<br />Block Island  RI (BID-Block Island State) - 2.8 km / 1.7 mi<br /> North Kingstown  RI (NCO-Quonset State) - 57.9 km / 35.9 mi<br /> Newport  RI (NPT-Newport State) - 65.1 km / 40.5 mi<br /> Westerly  RI (WST-Westerly State) - 66.6 km / 41.4 mi<br /> Providence  RI (PVD-T.F. Green) - 71.5 km / 44.4 mi<br /> </p><p></p>,1005 High Street Block IslandRhode Island 02807 ,02807,4014662034,http://www.rosefarminn.com
Rhode Island,,41.17713,-71.57125,Payne's Harbor View Inn,5.0,"Providing free WiFi and a garden, Paynes Harbor View Inn offers rooms in New Shoreham, 700 metres from Fred Benson Town Beach and less than 1 km from Baby Beach. The property is around 1.4 km from Mosquito Beach, 1.5 km from Block Island and 35 km from Towers in Narragansett. Certain rooms at the property include a balcony with a sea view.

At the inn, each room comes with a wardrobe, a TV, a private bathroom, bed linen and towels.

Paynes Harbor View Inn offers a continental or buffet breakfast.

The nearest airport is Block Island State Airport, 1 km from the accommodation. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Please inform Paynes Harbor View Inn in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
Due to Coronavirus (COVID-19), wearing a face mask is mandatory in all indoor common areas.",meeting/banquet facilities Garden Non-smoking rooms Facilities for disabled guests internet services lift Luggage storage wifi Free WiFi Non-smoking throughout Adult only Daily housekeeping board games/puzzles Outdoor furniture use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas first aid kit available cashless payment available all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay face masks for guests available,,111 Beach Avenue PO Box 1781New ShorehamRhode Island 02807 ,02807,4014665758,https://www.booking.com/hotel/us/payne-39-s-harbor-view-inn.html
