State,City,Latitude,Longitude,HotelName,StarRating,Description,HotelFacilities,Attractions,Address,ZipCode,PhoneNumber,HotelWebsiteUrl
Texas,Abilene,32.40028,-99.75336,WoodSpring Suites Abilene,2.0,"""WoodSpring Suites Abilene offers accommodation in Abilene. Free WiFi is available throughout the property.",,,,,,
Texas,Abilene,32.453886,-99.732439,Civic Plaza Hotel ,3.0,This popular hotel provides the ideal base for exploring the area.,Garage,,505 Pine St. AbileneTexas 79601 ,79601,3256760222,http://www.civicplazahotel.net/
Texas,Abilene,32.41386,-99.7788,Wingate by Wyndham Abilene,3.0,"""Located in Abilene", Texas, this hotel is 7 miles from Hardin-Simmons University and boasts an outdoor pool and free Wi-Fi access. Frontier Texas is 15 minutes drive away.,,,,
Texas,Abilene,32.45059,-99.76602,Tower Motel Abilene,2.0,"""Conveniently located along Interstate 20", this Abilene motel is 2 miles from the Frontier Texas museum.  Free Wi-Fi is featured throughout the hotel, and each guest room includes cable TV.,,,,
Texas,Abilene,32.47417,-99.68939,Home2 Suites by Hilton Abilene,3.0,"""Home2 Suites By Hilton Abilene", TX in Abilene has 3-star accommodation with barbecue facilities. With an outdoor swimming pool, the 3-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. There is free private parking and the property features free airport shuttle service.,,,
Texas,Abilene,32.45437,-99.73421,DoubleTree by Hilton Abilene Downtown Convention Center,5.0,"""Located in Abilene", Doubletree By Hilton Abilene Downtown Convention Center provides a bar. Among the facilities of this property are a restaurant, a 24-hour front desk and a concierge service, along with free WiFi.,,,
Texas,Addison,32.95224,-96.8368,Holiday Inn Express & Suites Dallas Addison,3.0,"""Located 1 mile off the Dallas North Tollway", this hotel is 1.8 miles from Dallas Love Field Airport. It serves a hot breakfast every morning and features an outdoor pool.,,,,,
Texas,Alba,32.87533,-95.63303,Lake Fork Resort,2.0,"""Lake Fork Resort is set in Alba and has a seasonal outdoor swimming pool and barbecue facilities.",,,,,,
Texas,Alba,32.86658,-95.62542,Lake Fork Marina & Motel,2.0,"""Set in Emory", Lake Fork Marina & Motel provides barbecue facilities. The 2-star motel has air-conditioned rooms with a private bathroom and free WiFi. The property features a restaurant.,,,,,
Texas,Alice,27.74238,-98.08452,Scottish Inns Alice,2.0,"""Free WiFi is featured at this Alice", Texas motel. Alice Municipal Golf Course is 5 minutes drive away.,,,,,
Texas,Alice,27.74401,-98.08424,Alice Motor Inn,5.0,"""Situated in Alice", 15 km from San Diego County Courthouse, Alice Motor Inn features accommodation with free WiFi and free private parking. The accommodation provides room service and a 24-hour front desk for guests.,,,,
Texas,Allen,33.12066,-96.66896,Tru By Hilton Allen Dallas Tx,2.0,"""Featuring 2-star accommodation", Tru By Hilton Allen Dallas, Tx is set in Allen, 35 km from Gerald J. Ford Stadium and 35 km from Mockingbird Station. With free WiFi, this 2-star hotel offers a 24-hour front desk. The property is non-smoking and is located 13 km from Historic Downtown Plano.,,
Texas,Alpine,30.36543,-103.64135,Value Lodge,2.0,"""Featuring free Wi-Fi access", this motel is conveniently located just off U.S. Highway 90.,,,,,
Texas,Alpine,30.35419,-103.68698,Antelope Lodge,3.0,"""Located in Alpine", Antelope Lodge provides a garden. There is a barbecue and guests can make use of free WiFi and free private parking.,,,,,
Texas,Alpine,30.35743,-103.66295,The Holland Hotel,4.0,"""Featuring on-site dining", a full bar and free WiFi, this boutique hotel is 1.5 km from Sul Ross University in Alpine, Texas.,,,
Texas,Alpine,30.36099,-103.64998,The Maverick Inn,2.0,"""Located less than 1 mile from Sul Ross State University", this Alpine, Texas motel features a seasonal outdoor swimming pool and rooms with free Wi-Fi access.,,,,
Texas,Alpine,30.34764,-103.69633,Quarter Circle 7 Hotel,3.0,"""Located off Highway 90", this Alpine, Texas hotel features an indoor pool and Spacious guest rooms offer satellite TV and free Wi-Fi.,,,,
