State,City,Latitude,Longitude,HotelName,StarRating,Description,HotelFacilities,Attractions,Address,ZipCode,PhoneNumber,HotelWebsiteUrl
Virginia,Abingdon,36.71435,-81.94178,Alpine Motel,1.0,"""This motel located in Shenandoah Valley is just off Interstate 81 and 2 miles from the Virginia Creeper Trail. Facilities include free Wi-Fi.",,,,,,
Virginia,Abingdon,36.70272,-81.97586,Holiday Inn Express & Suites Abingdon,5.0,"""Situated in Abingdon", Virginia region, Holiday Inn Express & Suites - Abingdon, an IHG Hotel is set 38 km from Bristol Motor Speedway.,,,
Virginia,Abingdon,36.70067,-81.97157,"""Hampton Inn Abingdon"," Va""",5.0,"""Located in Abingdon", Virginia region, Hampton Inn Abingdon, Va is set 38 km from Bristol Motor Speedway. The accommodation provides a 24-hour front desk and luggage storage space for guests.,,
Virginia,Alexandria,38.799496,-77.067102,Marriott Execustay Carlyle Mill,3.0,HotelDescription#Further information about this hotel will be available shortly,NO Smoking rooms NO Connecting rooms NO Large pets allowed (over 5 kg) NO Garage NO Small pets allowed (under 5 kg) NO Car park NO Disability-friendly bathroom NO Wheelchair-accessible,,2201 Mill Road AlexandriaVirginia 22314 ,22314,,http://www.execustay.com/furnished-apartments/alex
Virginia,Alexandria,38.78473,-77.07303,Moon Inn,5.0,"""The Moon Inn is located 2.1 km from the Huntington Metro Station. Old Town Alexandria with its waterfront attractions", restaurants and shops is 4.2 km away.,,,,,
Virginia,Alexandria,38.8136,-77.04055,Crowne Plaza Old Town Alexandria,3.0,"""<p>HeadLine : Near Alexandria City Hall</p><p>Location : When you stay at Crowne Plaza Old Town Alexandria in Alexandria", you ll be in the historical district, within a 15-minute drive of Lincoln Memorial and National Museum of Natural History.  This hotel is 6 mi (9.7 km) from Washington Monument and 6.4 mi (10.3 km) from Smithsonian National Air and Space Museum.</p><p>Rooms : Make yourself at home in one of the 254 air-conditioned rooms featuring flat-screen televisions. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms with bathtubs or showers feature complimentary toiletries and hair dryers. Conveniences include phones," as well as desks and coffee/tea makers.</p><p>Dining : Enjoy a meal at Chequers or snacks in the coffee shop/caf?. The hotel also offers room service (during limited hours). Quench your thirst with your favorite drink at the bar/lounge. Full breakfasts are available for a fee.</p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy. <br />Government-issued photo identification and a credit card are required at check-in for incidental charges. <br />Special requests are subject to availability upon check-in and may incur additional charges. Special requests cannot be guaranteed. <ul>  </ul></p>""",Bar/lounge Elevator/lift Fitness facilities Free airport transportation 24-hour front desk Conference space Porter/bellhop Tours/ticket assistance Express check-out Meeting rooms Restaurant Coffee shop or cafe Free WiFi Dry cleaning/laundry service Self parking (surcharge) Valet parking (surcharge) Computer station Smoke-free property Conference space size (meters) - 918 Safe-deposit box at front desk Free area shuttle Luggage storage ATM/banking Breakfast available (surcharge) 24-hour business center Conference space size (feet) - 10200 Ballroom Outdoor tennis court Banquet hall Laundry facilities Accessible bathroom Roll-in shower In-room accessibility Multilingual staff Free newspapers in lobby,"""                            Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Alexandria City Hall - 1.1 km / 0.7 mi <br /> Birchmere - 4 km / 2.5 mi <br /> United States Holocaust Memorial Museum - 9.2 km / 5.7 mi <br /> National Museum of African American History and Culture - 9.6 km / 6 mi <br /> Tanger Outlets - 9.7 km / 6 mi <br /> Washington Monument - 9.7 km / 6 mi <br /> Jefferson Memorial - 9.9 km / 6.1 mi <br /> L Enfant Plaza - 9.9 km / 6.1 mi <br /> District Wharf - 9.9 km / 6.1 mi <br /> Smithsonian Institution - 9.9 km / 6.1 mi <br /> Smithsonian Castle - 9.9 km / 6.1 mi <br /> Tomb of the Unknown Soldier - 10 km / 6.2 mi <br /> Hirshhorn Museum - 10 km / 6.2 mi <br /> National Aquarium - 10.1 km / 6.3 mi <br /> Fashion Center at Pentagon City - 10.1 km / 6.3 mi <br /> </p><p>The nearest airports are:<br />Washington  DC (DCA-Ronald Reagan Washington National) - 6.8 km / 4.2 mi<br /> College Park  MD (CGS) - 30.6 km / 19 mi<br /> Fort Meade  MD (FME-Tipton) - 48.6 km / 30.2 mi<br /> Washington  DC (IAD-Washington Dulles Intl.) - 50.4 km / 31.3 mi<br /> Manassas  VA (MNZ-Manassas Regional) - 61.6 km / 38.3 mi<br /> </p><p>The preferred airport for Crowne Plaza Old Town Alexandria is Washington  DC (IAD-Washington Dulles Intl.). </p>"
Virginia,Alexandria,38.801214,-77.069029,Meridian at Eisenhower Station,3.0,HotelDescription#Further information about this hotel will be available shortly,NO Disability-friendly bathroom NO Wheelchair-accessible NO Small pets allowed (under 5 kg) NO Large pets allowed (over 5 kg) NO Connecting rooms NO Smoking rooms NO Car park NO Garage,,2351 Eisenhower Avenue AlexandriaVirginia 22314 ,22314,,http://www.meridianeisenhower.com/alexandria-alexa
Virginia,Alexandria,38.81334,-77.04538,Towne Motel Alexandria,2.0,"""Ronald Reagan Washington National Airport is a 6-minute drive from this conveniently located Virginia motel. It offers guests free parking and features satellite TV with Showtime movie channel in every room.",,,,,,
Virginia,Alexandria,38.716864,-77.131025,Quality Inn & Suites Near Ft. Belvoir,2.0,"""The Quality Inn & Suites Near Ft. Belvoir hotel is ideally located just eleven kilometres from Old Town Alexandria", and less than 1,5 kilometres from the Woodlawn grand mansion," """"America's First Family Home."""" The hotel is also close to many area attractions and businesses including Fort Belvoir", George Washington's Mount Vernon Estate & Gardens, John F. Kennedy Center for the Performing Arts, the Marine Corps War Memorial (Iwo Jima Memorial) and the Potomac Mills shopping center. The Ronald Reagan Washington National Airport (Reagan National Airport) is 20 kilometres away.
Virginia, voice mail and access to fax services. All spacious guest rooms overlook the central courtyard and come equipped with cable television with HBO. In addition to standard amenities," efficiency rooms include microwaves and refrigerators.""",Hotel MasterCard Visa Bathroom Direct dial telephone TV Cable TV Fridge Mini fridge Microwave Ironing set Safe Lift access Gym Restaurant Conference room Breakfast,Pohick Bay Park: within 6400 metre  Woodlawn Plantation: within 0 metre  Mount Vernon: within 4800 metre  Old Town Alexandria: within 11300 metre  Gaylord National Harbor Hote: within 16100 metre ,"""Richmond Hwy"," 8849 ALEXANDRIA """,22309,,http://www.qualityinn.com/hotel-alexandria-virginia-VA162,,,
