State,City,Latitude,Longitude,HotelName,StarRating,Description,HotelFacilities,Attractions,Address,ZipCode,PhoneNumber,HotelWebsiteUrl
Washington,Aberdeen,46.9832,-124.1575,Windjammer Condominiums Ocean Shores,3.0,"Located in the middle of an 18-hole golf course, the Windjammer Condominiums resort makes it easy to enjoy the best of the northwest. After a game of golf or a visit to the nearby community center, relax in the whirlpool/tub. The resort is a short walk to the beach where you can explore the magnificent coastline and spend hours watching the local wildlife, from blacktail deer to sea lions. The town of Ocean Shores offers a host dining options, shopping, and sightseeing.",Resort Laundry service Multilingual staff Business centre Casino Sauna Hot tub Waterskiing Windsurfing Fitness Horse riding Bowling alley Mini golf Tennis,,"605 Point Brown Ave. N.W. P.O. Box 366, Ocean Shores ",98569,,
Washington,Aberdeen,47.01132,-124.16738,The Sands Resort,2.0,"A heated indoor pool is featured at this Ocean Shores area resort. Rooms include a cable TV. Ocean Shores convention Center is less than 10 minutes walk away.

Coffee-making facilities, a microwave, and a small fridge are available in each room at The Sands Resort. Free toiletries and interconnecting rooms are offered.

Free WiFi is available in all guest rooms and public areas. Guests can enjoy board games, foosball and billiards in the game room, watch TV or play video games.

The Quinault Beach Casino is 3 miles from the resort and Ocean City State Park is 5 minutes drive away. Downtown Ocean Shores is 10 minutes drive from the property. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Please inform The Sands Resort in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Food & beverage services at this property may be limited or unavailable due to Coronavirus (COVID-19).
Spa and gym facilities at this property are unavailable due to Coronavirus (COVID-19).
In accordance with government guidelines to minimise transmission of the Coronavirus (COVID-19), this property currently isnt accepting guests from certain countries, during dates where such guidelines exist.
As a result of Coronavirus (COVID-19), this property has temporarily suspended its shuttle services.
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
Due to Coronavirus (COVID-19), please ensure that you are only booking this property following the local government guidelines of the destination, including but not limited to the purpose of travel, and maximum allowed group size.
Due to Coronavirus (COVID-19), wearing a face mask is mandatory in all indoor common areas.
Please note the 24-hour front desk is available only during summer.

Please note the hotel does not have a lift.

Only designated pet-friendly rooms allow pets and there is a fee of USD 25 per stay.",Parking Pets allowed Golf course (within 3 km) Non-smoking rooms Family rooms Free parking internet services Billiards Heating Horse riding wifi Indoor pool Free WiFi Non-smoking throughout designated smoking area indoor pool (all year) vending machine (drinks) vending machine (snacks) Daily housekeeping parking on site Private parking board games/puzzles books  dvds  music for children Indoor play area Children television networks pool/beach towels 24-hour security Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers Swimming pool guests have the option to reuse towels guests can opt-out of daily cleaning service use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning staff follow all safety protocols as directed by local authorities first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas invoice provided guests have the option to cancel any cleaning services for their accommodation during their stay face masks for guests available,,801 Boulevard Northwest Ocean ShoresWashington 98569 ,98569,3602892444,http://sandsresortonline.com
Washington,Aberdeen,46.9344,-124.17339,Caroline Inn,3.0,"<p><b>Property Location</b> <br />With a stay at Sweet Caroline Inn in Ocean Shores, you'll be on the beach, just a 1-minute walk from Ocean Shores Beach and 9 minutes by foot from North Jetty.  This beach vacation home is 3.2 mi (5.1 km) from Damon Point and 3.4 mi (5.4 km) from Coastal Intrepretive Center.</p><p><b>Rooms</b> <br />Treat yourself to a stay in one of the 5 individually decorated guestrooms, featuring fireplaces and flat-screen televisions. Rooms have private balconies or patios. Private kitchens make it easy to prepare your meals. Cable television is provided for your entertainment. Private bathrooms with shower/tub combinations feature jetted bathtubs and complimentary toiletries.</p><p><b>Amenities</b> <br />Make use of convenient amenities, which include complimentary wireless Internet access and complimentary use of a nearby fitness facility.</p><p><b>Business, Other Amenities</b> <br />Free self parking is available onsite.</p>",Free WiFi Free self parking Free use of nearby fitness center Laundry facilities Smoke-free property Total number of rooms - 5,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Ocean Shores Beach - 0.1 km / 0.1 mi <br /> North Jetty - 0.8 km / 0.5 mi <br /> Damon Point - 4.9 km / 3.1 mi <br /> Coastal Intrepretive Center - 5.4 km / 3.4 mi <br /> Chance A La Mer State Park - 7.4 km / 4.6 mi <br /> Ocean Shores Golf Course - 8 km / 5 mi <br /> Pacific Paradise Family Fun Center - 8.8 km / 5.5 mi <br /> Ocean Shores Convention Center - 8.9 km / 5.6 mi <br /> Playtime Family Fun - 9 km / 5.6 mi <br /> Fusions Art Gallery - 9.4 km / 5.8 mi <br /> Creative Light Gallery - 9.8 km / 6.1 mi <br /> Ocean City State Park - 11.9 km / 7.4 mi <br /> Grays Harbor National Wildlife Refuge - 38.5 km / 23.9 mi <br /> </p><p>The nearest airports are:<br />Hoquiam  WA (HQM-Bowerman) - 38.7 km / 24.1 mi<br /> Seattle  WA (SEA-Seattle - Tacoma Intl.) - 207.7 km / 129 mi<br /> </p><p></p>,1341 Ocean Shores Boulevard SouthWest Ocean ShoresWashington 98569-9668 ,98569,3603107502,http://www.thecarolineinn.com
Washington,Aberdeen,46.89556,-124.105,Breakers Boutique Inn,5.0,"Breakers Boutique Inn is located in Westport.

Rooms come with a TV. Certain rooms include a seating area for your convenience. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.",physical distancing rules followed invoice provided guests have the option to cancel any cleaning services for their accommodation during their stay Pets allowed 24-hour front desk Terrace Non-smoking rooms Family rooms Free parking internet services express check-in/check-out Heating Fax/photocopying wifi Free WiFi designated smoking area Sun terrace vending machine (drinks) parking on site Private parking wifi available in all areas Parking board games/puzzles kids' outdoor play equipment secured parking Pet bowls Outdoor furniture Picnic area Beach 24-hour security Key access Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning staff follow all safety protocols as directed by local authorities cashless payment available,,971 North Montesano Street PO Box 1279WestportWashington 98595 ,98595,3602680848,https://www.booking.com/hotel/us/breakers-boutique-inn.html
Washington,Aberdeen,46.9115,-124.11685,Harbor Resort,1.0,"<p><b>Property Location</b> <br />With a stay at Harbor Resort in Westport, you''ll be minutes from Westport Marina and close to Westport Maritime Museum. This motel is within close proximity of Westport Brewing Co. and Grays Harbor Lighthouse.</p><p><b>Rooms</b> <br />Make yourself at home in one of the 15 guestrooms, featuring kitchenettes with refrigerators and stovetops. Rooms have private balconies. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Conveniences include microwaves and coffee/tea makers, and housekeeping is provided daily.</p><p><b>Dining</b> <br />You can find a meal at a coffee shop/café serving guests of Harbor Resort, or stop in at a grocery/convenience store.</p><p><b>Business, Other Amenities</b> <br />The front desk is staffed during limited hours. Free self parking is available onsite.</p>",Coffee shop or café Coffee/tea in common areas Designated smoking areas Free WiFi Free parking nearby Free self parking Front desk (limited hours) Grocery/convenience store Pets allowed Total number of rooms - 15,Distances are calculated in a straight line from the property&apos;s location to the point of interest or attraction  and may not reflect actual travel distance. &lt;br /&gt;&lt;br /&gt; Distances are displayed to the nearest 0.1 mile and kilometer. &lt;p&gt;Westport Marina - 0.5 km / 0.3 mi &lt;br /&gt;Westport Maritime Museum - 0.6 km / 0.3 mi &lt;br /&gt;Westport City Park - 2 km / 1.3 mi &lt;br /&gt;Westport Brewing Co. - 2.5 km / 1.6 mi &lt;br /&gt;Grays Harbor Lighthouse - 2.6 km / 1.6 mi &lt;br /&gt;Damon Point - 3.6 km / 2.2 mi &lt;br /&gt;North Jetty - 4.6 km / 2.9 mi &lt;br /&gt;Coastal Intrepretive Center - 4.6 km / 2.9 mi &lt;br /&gt;Cranberry Road Winery &amp; Bog Water Brewing Co. - 5.8 km / 3.6 mi &lt;br /&gt;Twin Harbors Beach State Park - 5.9 km / 3.7 mi &lt;br /&gt;Ocean Shores Beach - 7.5 km / 4.7 mi &lt;br /&gt;Ocean Shores Golf Course - 10.1 km / 6.3 mi &lt;br /&gt;Westport Winery - 11.1 km / 6.9 mi &lt;br /&gt;Ocean Shores Convention Center - 11.2 km / 7 mi &lt;br /&gt;Chance A La Mer State Park - 11.3 km / 7 mi &lt;br /&gt;&lt;/p&gt;&lt;p&gt;The preferred airport for Harbor Resort is Seattle  WA (SEA-Seattle - Tacoma Intl.) - 149.4 km / 92.8 mi. &lt;/p&gt;,871 Neddie Rose Drive WestportWashington 98595 ,98595,3602680169,http://www.harborresort.com/
Washington,Aberdeen,46.88467,-124.11109,Pacific Motel & Rv Inc,5.0,"Located in Westport, Pacific Motel and RV features a garden. The accommodation provides an outdoor swimming pool, a 24-hour front desk, where staff can assist guests, as well as free WiFi throughout the property.

Guest rooms at the motel are equipped with a seating area, a flat-screen TV with cable channels and a private bathroom with free toiletries and a shower. Selected rooms are fitted with a kitchen with an oven, a stovetop and a toaster. At Pacific Motel and RV each room has bed linen and towels.

Guests at the accommodation will be able to enjoy activities in and around Westport, like hiking and fishing.

Pacific Beach is 37 km from Pacific Motel and RV, while Aberdeen is 25 km away. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Please inform Pacific Motel and RV in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Due to Coronavirus (COVID-19), this property adheres to strict physical distancing measures.
Due to Coronavirus (COVID-19), wearing a face mask is mandatory in all indoor common areas.
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
Due to Coronavirus (COVID-19), please ensure that you are only booking this property following the local government guidelines of the destination, including but not limited to the purpose of travel, and maximum allowed group size.
Swimming pool #1 is closed from Mon 13 Sept 2021 until Sat 18 Jun 2022
A damage deposit of USD 50 is required. The host charges this 7 days before arrival. This will be collected by credit card. You should be reimbursed on check-out. Your deposit will be refunded in full via credit card, subject to an inspection of the property.",CCTV in common areas CCTV outside property Fire extinguishers Parking Pets allowed 24-hour front desk Garden Non-smoking rooms Fishing Laundry internet services express check-in/check-out Canoeing Hiking Heating Luggage storage wifi Outdoor pool Free WiFi designated smoking area outdoor pool (seasonal) Private check-in/check-out Daily housekeeping parking on site Private parking wifi available in all areas Heated pool Shallow end Fence around pool Smoke alarms Swimming pool use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed invoice provided property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay face masks for guests available,,330 South Forrest Street  ,98595,,https://www.booking.com/hotel/us/pacific-motel-and-rv.html
Washington,Aberdeen,46.8881,-124.10286,Glenacres Inn,5.0,"Glenacres Historic Inn is located in the center of Westport in-between the marina, harbour and ocean beaches. The inn boasts a sun terrace, harbor views and offers free on-site private parking.

Cottages and rooms are available at the property. All accommodation are fitted with a TV and seating/lounging area. Each room includes a private bathroom. Superior rooms feature a spa bath or a hot tub.

Ground-floor rooms are pet friendly. Guests can enjoy the spacious decks, porches and other common areas. The property sits on 10 acres of land and meadows, complete with walking trails. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Please inform Glenacres Historic Inn in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.",Free parking Garden Heating Smoke alarms Daily housekeeping On-site parking Sun terrace Family rooms Parking Free WiFi Pets allowed Non-smoking rooms Fire extinguishers wifi Terrace board games/puzzles Private parking internet services Facilities for disabled guests designated smoking area Bridal suite,,222 Montesano St. PO Box 1246WestportWashington 98595 ,98595,3602680958,https://www.booking.com/hotel/us/glenacres-historic-inn.html
Washington,Aberdeen,46.881196,-124.115431,Chateau Westport,2.0,"<p>HeadLine : Near Grays Harbor Lighthouse</p><p>Location : When you stay at Chateau Westport Resort in Westport, you ll be near the beach, within a 15-minute walk of Westport Light State Park and Grays Harbor Lighthouse.  This hotel is 1.2 mi (1.9 km) from Westport Brewing Co. and 1.6 mi (2.5 km) from Westport City Park.</p><p>Rooms : Make yourself at home in one of the 102 guestrooms featuring refrigerators and microwaves. Complimentary wireless Internet access keeps you connected, and 32-inch LCD televisions are provided for your entertainment. Bathrooms have shower/tub combinations and hair dryers. Conveniences include coffee/tea makers and portable fans, as well as phones with free local calls.</p><p>Dining : A complimentary continental breakfast is included.</p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy. <br />Government-issued photo identification and a credit card, debit card, or cash deposit are required at check-in for incidental charges. <br />Special requests are subject to availability upon check-in and may incur additional charges. Special requests cannot be guaranteed. <ul>  </ul></p>",Picnic area Elevator/lift Fitness facilities Indoor pool 24-hour front desk Banquet hall Reception hall Free breakfast Laundry facilities Meeting rooms Spa tub Television in common areas Accessible bathroom Free self parking Free WiFi In-room accessibility Computer station Smoke-free property Fireplace in lobby,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Westport Light State Park - 0.9 km / 0.6 mi <br /> Grays Harbor Lighthouse - 1 km / 0.6 mi <br /> Westport Brewing Co. - 1.9 km / 1.2 mi <br /> Westport City Park - 2.2 km / 1.4 mi <br /> Cranberry Road Winery & Bog Water Brewing Co. - 2.7 km / 1.7 mi <br /> Twin Harbors Beach State Park - 3.2 km / 2 mi <br /> Westport Light Trail - 3.3 km / 2.1 mi <br /> Westport Jetty - 3.5 km / 2.2 mi <br /> Westport Maritime Museum - 3.6 km / 2.2 mi <br /> Westport Marina - 3.6 km / 2.3 mi <br /> Westport Viewing Tower - 4.2 km / 2.6 mi <br /> Westport Winery - 17.1 km / 10.6 mi <br /> Grays Harbor National Wildlife Refuge - 43.7 km / 27.1 mi <br /> </p><p>The nearest airports are:<br />Hoquiam  WA (HQM-Bowerman) - 43.9 km / 27.3 mi<br /> Seattle  WA (SEA-Seattle - Tacoma Intl.) - 195.3 km / 121.3 mi<br /> </p><p>The preferred airport for Chateau Westport Resort is Seattle  WA (SEA-Seattle - Tacoma Intl.). </p>,710 Hancock WestportWA 98595 ,98595,3602689101,
Washington,Aberdeen,46.88652,-124.10634,Ocean Avenue Inn,2.0,"Located in 5 minutes walk away from Grays Harbor Lighthouse, this Westport motel offers room with free WiFi. Free guest parking is available.

A satellite TV and coffee machine is provided in each suite at Ocean Avenue Inn.

A fish cleaning station is available to guests of Ocean Avenue Inn. Other facilities offered include a sundeck/patio area and vending machines with snacks and drinks.

Marina Shopping District and the Maritime Museum are within 2 km away from this motel. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Please inform Ocean Avenue Inn in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.",Fire extinguishers CCTV outside property CCTV in common areas wifi Heating internet services Free parking Family rooms Non-smoking rooms Garden Pets allowed Parking Smoke alarms Key access Picnic area Outdoor furniture Street parking board games/puzzles wifi available in all areas parking on site Daily housekeeping Sun terrace designated smoking area Non-smoking throughout Free WiFi Allergy-free room,,275 West Ocean Avenue WestportWashington 98595 ,98595,3602689400,https://www.booking.com/hotel/us/avenue-inn.html
Washington,Aberdeen,46.87818,-124.10461,McBee's Silver Sands Motel,5.0,"Set in Westport, 1.9 km from Westport Beach, Silver Sands Motel offers express check-in and check-out and free WiFi throughout the property. The motel has family rooms.

All guest rooms in the motel are fitted with a flat-screen TV with satellite channels. All rooms include a private bathroom with a shower, free toiletries and a hairdryer. At Silver Sands Motel every room includes bed linen and towels.

The nearest airport is William R. Fairchild International Airport, 290 km from the accommodation. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.",Parking Pets allowed Non-smoking rooms Family rooms Free parking internet services express check-in/check-out wifi Free WiFi designated smoking area vending machine (drinks) vending machine (snacks) parking on site wifi available in all areas Smoke alarms use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed invoice provided property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay delivered food is securely covered,,1001 S MONTESANO ST  ,98595,,https://www.booking.com/hotel/us/silver-sands-motel-westport.html
