State,City,Latitude,Longitude,HotelName,StarRating,Description,HotelFacilities,Attractions,Address,ZipCode,PhoneNumber,HotelWebsiteUrl
Wisconsin,Algoma,44.61028,-87.43274,Harbor Inn Motel,1.0,"""Boasting a lakefront location in Algoma", Wisconsin, this motel features rooms with lake and lighthouse views. Free WiFi access is available, and Crescent Beach and Boardwalk can be reached in 10 minutes walk.,,,
Wisconsin,Algoma,44.5939,-87.44462,Scenic Shore Inn,5.0,"""Set in Algoma", 43 km from Weidner Center For The Performing Arts, Scenic Shore Inn offers accommodation with a fitness centre, free private parking, a shared lounge and a terrace. The property is around 44 km from University of Wisconsin-Green Bay, 29 km from Door County Maritime Museum and 49 km from Bay Beach Wildlife Sanctuary. The hotel features an indoor pool, sauna and free WiFi throughout the property.
Wisconsin,Algoma,44.60419,-87.43865,Harbor Walk Condos,5.0,"""Harbor Walk Condos is set in Algoma and offers a bar and barbecue facilities. This property offers access to a terrace", free private parking and free WiFi.,,,,,
Wisconsin,Algoma,44.61325,-87.42762,Harbor View Condos,5.0,"""Set in Algoma in the Wisconsin region and Weidner Center For The Performing Arts reachable within 44 km", Harbor View Condos offers accommodation with free WiFi, BBQ facilities, a terrace and free private parking.,,,
Wisconsin,Appleton,44.26413,-88.40193,Franklin Street Inn LLC,3.0,"""Located in the historic city park area of Appleton", this decorative Victorian home serves a full gourmet breakfast each morning. Free WiFi including Smart TV with Spectrum cable is provided in every room.,,,,,
Wisconsin,Appleton,44.25304,-88.46521,Budget Inn of Appleton,1.0,"""Situated 4.9 km from Fox Cities Stadium", Budget Inn of Appleton features rooms with air conditioning in Appleton. With free WiFi, this 1-star motel offers room service and a 24-hour front desk. Oshkosh Public Museum is 31 km away and University of Wisconsin-Oshkosh is 31 km from the motel.,,,,
Wisconsin,Ashland,46.58192,-90.91313,Ashland Motel,2.0,"""Ashland Motel", on the shore of Lake Superior. we offer clean and comfortable lodging accommodations, with a great view of Lake Superior. ,,,,
Wisconsin,,45.06565,-87.093593,Baileys Harbor Yacht Club Resort,4.0,The front desk offers 24-hour reception. Guests can enjoy access to the internet to stay connected to work or home. There is a laundry service. The property is wheelchair-accessible. The on-site car park may be useful to those arriving by car. Check-out is at . Multilingual staff is available to help guests with any queries or service bookings. Pets are allowed on the premises. Large pets are allowed at this establishment.,NO Connecting rooms Vacation resort NO Disability-friendly bathroom NO Wheelchair-accessible NO Smoking rooms NO Small pets allowed (under 5 kg) NO Large pets allowed (over 5 kg) NO Car park NO Garage Laundry service Multilingual staff Business centre Indoor freshwater pool   Sauna Hot tub Waterskiing Jet ski Windsurfing Fitness Horse riding Bowling alley Mini golf Tennis Skiing,Beach,8151 Ridges Road Baileys Harbor Baileys HarborDoor CountyWisconsin 54202-9318 ,54202,4105240295,http://www.bhycr.com
Wisconsin,Baraboo,43.47518,-89.72974,Spinning Wheel Motel,3.0,"""Located off Highway 33", this motel is just 1.3 miles from the Circus World Museum. It offers free coffee each morning and free Wi-Fi access. Guest rooms include cable TV.,,,,,
Wisconsin,Baraboo,43.43138,-89.64902,Inn at Wawanissee Point,5.0,"""Situated in Baraboo in the Wisconsin region", INN AT WAWANISSEE POINT features accommodation with free WiFi and free private parking, as well as access to a hot tub.,,,,
Wisconsin,Baraboo,43.47789,-89.76818,Campus Inn Baraboo,3.0,"""Located in Baraboo", Wisconsin, this motel is 8 miles from the Kalahari Indoor Waterpark. It offers an outdoor pool, on-site bar, and free in-room Wi-Fi.,,
Wisconsin,Baraboo,43.47506,-89.74038,Ringling House Bed & Breakfast,5.0,"""Situated in Baraboo in the Wisconsin region and Wilderness Resort reachable within 16 km", Ringling House Bed & Breakfast features accommodation with free WiFi, BBQ facilities, a garden and free private parking.,,,
Wisconsin,Baraboo,43.5627,-89.7001,Prairie Retreat,5.0,"""Prairie Retreat is located in Lewiston and offers barbecue facilities. The air-conditioned accommodation is 13 km from Wisconsin Dells", and guests benefit from complimentary WiFi and private parking available on site.,,,,,
Wisconsin,Baraboo,43.5869,-89.791,Nord Haus,5.0,"""Nord Haus (VLD00218) is situated in Lake Delton", 1.2 km from Wilderness Resort, 3.9 km from Crystal Grand Music Theatre, as well as 4 km from Rick Wilcox Magic Theatre. This property offers access to a patio and free private parking.,,,
Wisconsin,Bayfield,46.80699157714844,-90.82330322265625,Seagull Bay Motel,5.0,,available in all rooms getting around services and conveniences dining  drinking  and snacking Internet access languages spoken,,325 South 7th Street  ,54814,,https://www.agoda.com/partners/partnersearch.aspx?hid=18984324
Wisconsin,Bayfield,46.8120002746582,-90.81372833251953,Harbor's Edge Motel,2.0,,languages spoken Internet access things to do  ways to relax dining  drinking  and snacking services and conveniences getting around,,33 North Front Street  ,54814,,https://www.agoda.com/partners/partnersearch.aspx?hid=18983900
Wisconsin,Bayfield,46.81118,-90.81883,Rittenhouse Inn,3.0,"""Situated in Bayfield", 25 km from Ashland, Old Rittenhouse Inn features a restaurant and free WiFi.,,,,
Wisconsin,Bayfield,46.78347,-90.86516,Pinehurst Inn Bed & Breakfast,3.0,"""Offering eco-inspired rooms and full hot daily breakfast", this bed and breakfast is located in Bayfield.,,,,,
Wisconsin,Belgium,43.49784,-87.83403,Rodeway Inn Belgium,3.0,"""Just off Interstate 43 and less than 2 miles from the sandy shores of Lake Michigan", this Belgium hotel features guest rooms with free WiFi. A complimentary continental breakfast is served each morning.,,,,,
Wisconsin,Birchwood,45.6537,-91.5554,Cobblestone Bed & Breakfast,3.0,"""Situated in Birchwood", Cobblestone Bed and Breakfast features free bikes, spa and wellness centre and garden. Featuring a shared lounge, the bed and breakfast has air-conditioned rooms with a private bathroom. The accommodation features a shared kitchen and a concierge service for guests.,,,
Wisconsin,Birchwood,45.62256,-91.5705,Unit 302 2 BD 2 BA Condo 1 Bathroom Condo,3.0,"""Set in Birchwood", Unit 302 Two-Bedroom Condo offers accommodation with a balcony and free WiFi. The apartment features lake views and is 35 km from Chetek.,,,,,
Wisconsin,Birchwood,45.6224,-91.57098,Unit 306 2bd 2ba Condo 2 Bathrooms Condo,3.0,"""Set in Birchwood in the Wisconsin region", Unit 306 Two-Bedroom Condo has a balcony and lake views. Guests may enjoy free WiFi throughout the property.,,,,,
Wisconsin,Birchwood,45.62255,-91.57053,Unit 303 BD 2 BA 2 Bathrooms Condo,3.0,"""Set in Birchwood", Unit 303 Two-Bedroom Condo offers accommodation with a balcony and free WiFi. The property has lake views and is 35 km from Chetek.,,,,,
Wisconsin,Birchwood,45.62258,-91.57044,Unit 301 3 BD 3 BA Condo 3 Bathrooms Condo,3.0,"""Unit 301 Three-Bedroom Condo is situated in Birchwood.",,,,,,
Wisconsin,Brillion,44.18436,-88.08225,Cobblestone Inn And Suites Brillion,2.0,"""4 miles from the Brillion Nature Center", this Wisconsin hotel features rooms with free Wi-Fi and flat-screen TVs. A free hot breakfast including eggs, sausage and waffles is offered each morning.,,,,
Wisconsin,Brookfield,43.02352,-88.11547,Residence Inn Milwaukee Brookfield,3.0,"""Enjoying a peaceful location minutes from downtown Milwaukee", this hotel is surrounded by an 18-hole golf course. Facilities include an indoor heated pool, and fitness room.,,,,
Wisconsin,Brookfield,43.037336549,-88.166589439,Motel 6 Milwaukee West Brookfield,2.0,"""Facilities",,,,,,
Wisconsin,Cable,46.22897,-91.12056,Namakagon Landing 2 Bathrooms Condo,5.0,"""Set in Cable in the Wisconsin region", Namakagon Landing Condo features a garden. The air-conditioned accommodation is 45 km from National Fresh Water Fishing Hall of Fame, and guests benefit from complimentary WiFi and private parking available on site.,,,,
Wisconsin,Cable,46.21352,-91.09569,Seidls 2 Bathrooms Condo,5.0,"""Facing the beachfront in Namekagon", Seidls Condo features a garden. All rooms feature a kitchen, a TV with satellite channels, and a private bathroom.,,,
Wisconsin,Cable,46.23817,-91.26156,Serenity on Lake Owen 3 Bathrooms Condo,5.0,"""Featuring air-conditioned accommodation with a balcony", Serenity On Lake Owen Condo is situated in Cable. Set 35 km from National Fresh Water Fishing Hall of Fame, the property offers a garden and free private parking.,,,,
Wisconsin,Cable,46.24029,-91.0866,Peace of Mind on Namakagon 2 Bathrooms Condo,5.0,"""Located in Namekagon", Peace Of Mind On Namakagon Condo provides air-conditioned accommodation with a patio and free WiFi. This holiday home has a garden and free private parking.,,,,,
Wisconsin,Cable,46.24106,-91.08677,Thirty Point Lodge 1.5 Bathroom Condo,5.0,"""Thirty Point Lodge Condo is situated in Namekagon. The accommodation is 42 km from Ashland", and guests benefit from complimentary WiFi and private parking available on site.,,,,,
Wisconsin,Cable,46.21229,-91.09857,Bills Bay Condo,5.0,"""Bills Bay Condo is located in Namekagon and features a garden. Private parking can be arranged at an extra charge.",,,,,,
Wisconsin,Cable,46.25879,-91.04948,Taylor Lake Point 3 Bathrooms Condo,5.0,"""Located in Namekagon", Taylor Lake Point Condo provides a garden. There is a terrace and guests can make use of free WiFi and free private parking.,,,,,
Wisconsin,Cable,46.24104,-91.08677,Kenny Lodge 3 Bathrooms Condo,5.0,"""Boasting a garden", Kenny Lodge Condo is situated in Namekagon. There is a terrace and guests can make use of free WiFi and free private parking.,,,,,
Wisconsin,Cable,46.22966,-91.09282,Sandy Shores 2 Bathrooms Condo,5.0,"""Set on the beachfront in Namekagon and boasting a garden", Sandy Shores Condo has free WiFi throughout the property. Private parking can be arranged at an extra charge.,,,,,
Wisconsin,Cable,46.22413,-91.12428,Pineview 2 Bathrooms Condo,3.0,"""Set in Cable in the Wisconsin region", Pineview Condo features a patio. The accommodation is 45 km from Ashland, and guests benefit from complimentary WiFi and private parking available on site.,,,,
Wisconsin,Cedarburg,43.29645,-87.98771,Washington House Inn,5.0,"""Washington House Inn is situated in Cedarburg", within 34 km of Marquette University and 34 km of University of Wisconsin-Milwaukee. The property is around 40 km from Miller Park, 11 km from Concordia University Wisconsin and 34 km from Milwaukee Area Technical College. The property has sauna and free WiFi throughout the property.,,,,
Wisconsin,Chetek,45.3102,-91.6171,Rainbow's End Resort Camp,3.0,"""Offering a private grassy beach area", Rainbows End Resort Camp is located on a quaint island in Chetek. With its 1940s-1960s style charm, the accommodation offers picturesque lakefront vacations on Lake Chetek.,,,,
Wisconsin,Clintonville,44.62397,-88.76033,The Landmark Motel,5.0,"""Landmark Motel offers air-conditioned accommodation in Clintonville. The motel features both free WiFi and free private parking.",,,,,,
Wisconsin,Columbus,43.3396,-89.01341,Ha Whitney Inn,5.0,"""Situated in Columbus", 45 km from University-Wisconsin Madison and 43 km from Madison Area Technical College, HA Whitney Inn features accommodation with free WiFi, air conditioning, a garden and a tennis court. Boasting free private parking, the bed and breakfast is in an area where guests can engage in activities such as hiking, fishing and canoeing.
Wisconsin,Crivitz,45.2296,-87.99755,Best Western Crivitz Lodge,5.0,"""Located in Crivitz", 32 km from Peshtigo Fire Museum, Crivitz Lodge provides accommodation with a fitness centre, free private parking and a garden. The accommodation features room service and free WiFi throughout the property.,,,
Wisconsin,Dodgeville,43.31829834,-90.359863281,Starlite Motel Richland Center,3.0,HotelDescription#Further information about this hotel will be available shortly,NO Disability-friendly bathroom NO Wheelchair-accessible NO Smoking rooms NO Connecting rooms NO Car park NO Small pets allowed (under 5 kg) NO Large pets allowed (over 5 kg) NO Garage,,Us Highway 14 East 2000 2000 Richland Center 53581Wisconsin ,53581,60864761585097440364,http://www.magnusonhotels.com/Starlite-Motel-Richland-Center/
Wisconsin,Dodgeville,42.97923,-90.12248,Pine Ridge Motel,2.0,"""Just 10 minutes drive from Governor Dodge State Park", this motel offers free Wi-Fi in every room.,,,,,
Wisconsin,Dodgeville,43.31958,-90.37167,The Center Lodge and Jacuzzi Suites,5.0,"""The center lodge features air-conditioned accommodation in Richland Center. The hotel offers both free WiFi and free private parking.",,,,,,
Wisconsin,Dodgeville,42.84789,-90.71256,Lancaster Welcome Inn,2.0,"""Less than 1 mile from the Grant County Fairgrounds", this Lancaster, Wisconsin motel offers a complimentary continental breakfast each morning. Free Wi-Fi and a cable TV are included in each room.,,,,
Wisconsin,Dodgeville,42.87908,-90.16444,Quality Inn Mineral Point,2.0,"""Conveniently located off of Highway 151/23 near Governor Dodge State Park", this Quality Inn is located in Mineral Point. The hotel offers an indoor pool, guest laundry and daily continental breakfast. Free WiFi access is available.,,,,
Wisconsin,Dodgeville,42.73279,-90.44017,Mound View Inn,2.0,"""Located on Route 151 and 2 miles from the centre of Platteville", Cobblestone Inn & Suites  Platteville  features an on-site hot tub. Free Wi-Fi and a daily breakfast are provided.,,,,,
Wisconsin,Dodgeville,42.85776,-90.1768,Brewery Creek Inn,5.0,"""Raise a glass to Commerce Street Brewery Hotel. Equal parts small town B&B and living history museum", Commerce Street Brewery Hotel offers do-it-yourself room service and a brewery that churns out nothing but European beer styles (biere de garde, Scottish porter, dunkelweiss), allowing visitors to experience this quaint pre-Civil War town with a cold one in hand.,,
Wisconsin,Dodgeville,42.99081,-90.13919,AmericInn by Wyndham Dodgeville,3.0,"""AmericInn by Wyndham Dodgeville is a 3-star property situated in Dodgeville. This 3-star hotel offers a 24-hour front desk. The hotel features both free WiFi and free private parking.",,,,,,
Wisconsin,,45.920829910079,-89.254131317139,Bridgewater Inn,3.0,,NO Large pets allowed (over 5 kg) NO Disability-friendly bathroom NO Wheelchair-accessible NO Car park NO Small pets allowed (under 5 kg) NO Smoking rooms NO Garage NO Connecting rooms,,431 N. Railroad Street Eagle RiverWisconsin 54521 ,54521,7154795153,http://www.bridgewaterinn.net
Wisconsin,Elkhorn,42.72741,-88.54221,The Crossroads Motel,2.0,"""Featuring 2-star accommodation", The Crossroads Motel is set in Elkhorn, 16 km from East Troy Electric Railroad Museum and 25 km from University of Wisconsin-Whitewater. With free WiFi, this 2-star motel offers room service and a 24-hour front desk. The property is non-smoking and is located 12 km from Alpine Valley Music Theatre.,,,
Wisconsin,Ephraim,45.17565,-87.15739,Ephraim Motel,2.0,"""Situated in the North Ephraim woods", this Wisconsin hotel features a daily continental breakfast and a heated outdoor swimming pool.  Free Wi-Fi is offered throughout the property.,,,,,
Wisconsin,Ephraim,45.15795,-87.17143,Edgewater Resort,3.0,"""A private stretch of shoreline beach on Eagle Harbor", free WiFi, and an outdoor pool are featured at this resort in Central Ephraim. The American Folklore Theatre is 12 minutes drive away.,,,,
Wisconsin,Ephraim,45.151,-87.172,Eagle Harbor Inn,3.0,"""Located in Ephraim", this inn has an indoor current pool, fitness centre, and a sauna. Ephraim Beach is only 1 km away. Free WiFi access is available.,,,
Wisconsin,Ephraim,45.17536,-87.15714,High Point Inn,2.0,"""Situated in Ephraim", within 18 km of Cana Island Lighthouse and 33 km of Cave Point County Park, High Point Inn features accommodation with a shared lounge and free WiFi throughout the property as well as free private parking for guests who drive. This 2-star resort offers a concierge service. The property is non-smoking and is set 48 km from Door County Maritime Museum.,,,,
Wisconsin,Ephraim,45.1738,-87.16025,Waterbury Inn,3.0,"""Featuring a seasonal outdoor pool and an indoor pool", this Door County hotel is 7 minutes drive from lake access at Peninsula State Park. Free Wi-Fi access is available.,,,,,
Wisconsin,Ephraim,45.17566,-87.15728,Somerset Inn & Suites,2.0,"""Somerset Inn & Suites offers a seasonal outdoor pool", indoor pool, hot tub, barbecue and childrens playground. Free private parking is available on site.,,,
Wisconsin,Ephraim,45.16056,-87.17163,Pine Grove Resort,2.0,"""Pine Grove Resort in Ephraim includes free WiFi access. Peninsula State Park Golf Course is 5 minutes drive away.",,,,,,
Wisconsin,Ephraim,45.15776,-87.17037,Village Green Lodge,2.0,"""Featuring an outdoor pool and a full daily breakfast", this Ephraim, Wisconsin lodge is located on Eagle Harbor, just 5 minutes drive from Peninsula State Park Golf Course. Free WiFi access is available.,,,
Wisconsin,Ephraim,45.15763,-87.17132,Ephraim Shores Resort,3.0,"""Set in Ephraim", 17 km from Cana Island Lighthouse, Ephraim Shores Resort offers accommodation with a restaurant, free private parking, a fitness centre and a garden. Boasting family rooms, this property also provides guests with a childrens playground. The hotel has an indoor pool, spa centre and free WiFi throughout the property.
Wisconsin,Ephraim,45.14855,-87.17814,Bay Breeze Resort,5.0,"""Set in Ephraim", 18 km from Cana Island Lighthouse, Bay Breeze Resort offers accommodation with a seasonal outdoor swimming pool, free private parking, a garden and a private beach area. Located around 27 km from Cave Point County Park, the hotel is also 44 km away from Door County Maritime Museum. Offering free WiFi throughout the property, the non-smoking hotel has a hot tub.
Wisconsin,Ephraim,45.15247,-87.1698,The Water Street Inn,5.0,"""The Water Street Inn is situated in Ephraim. All rooms offer a view of the water. Along with complimentary bikes", the property features a seasonal outdoor swimming pool. Free WiFi is featured.,,,,,
Wisconsin,Ephraim,45.15639,-87.17076,The Lodgings At Pioneer Lane,5.0,"""Located in Ephraim", 17 km from Cana Island Lighthouse, The Lodgings at Pioneer Lane provides accommodation with free bikes, free private parking, a garden and a terrace. The property is non-smoking and is situated 32 km from Cave Point County Park.,,
Wisconsin,,43.75768,-88.47784,Fairfield by Marriott Inn & Suites Fond du Lac,5.0,"""Set in Fond du Lac", Wisconsin region, Fairfield by Marriott Inn & Suites Fond du Lac is situated 47 km from New Holstein Historical Society: Timm House. The property is around 30 km from EAA AirVenture Museum, 36 km from University of Wisconsin-Oshkosh and 37 km from Oshkosh Public Museum.,,,
Wisconsin,Fontana,42.54569,-88.58057,Fontana Village Inn,2.0,"""Less than 15 minutes walk from Geneva Lake", this Fontana motel features a continental breakfast is served on weekend mornings. A TV with cable channels and free Wi-Fi are provided in every room.,,,,,
Wisconsin,Grantsburg,45.77233,-92.69983,Grantsburg Inn,,"""Grantsburg Inn provides free WiFi throughout the property and rooms with air conditioning in Grantsburg. This 5-star motel offers luggage storage space. The motel features family rooms.",,,,,,
Wisconsin,,43.856303,-88.9483,Dartford Inn,2.0,,,,N6264 North Lawson Drive Green LakeWisconsin 54941 ,54941,9202901671,http://www.dartfordinn.com
Wisconsin,,43.83564,-88.94766,"""Heidel House Hotel and Conference Center"," Ascend Hotel Collection""",5.0,"""Featuring a bar", Heidel House Hotel and Conference Center, Ascend Hotel Collection is located in Green Lake in the Wisconsin region, 40 km from EAA AirVenture Museum and 44 km from University of Wisconsin-Oshkosh. Providing a restaurant, the property also has a fitness centre, as well as an indoor pool.
Wisconsin,Hayward,46.0096,-91.48228,Riverside Motel,2.0,"""Nestled on the Namekagon River", this motel features spacious rooms with free Wi-Fi and a flat-screen cable TV. This Hayward, Wisconsin motel offers a fishing pier and shared deck.,,,,
Wisconsin,Hayward,45.99283,-91.49633,Northern Pine Inn,3.0,"""Located off Highway 63", this motel in Hayward, Wisconsin offers a daily continental breakfast and rooms with free Wi-Fi and a cable TV.  Hayward National Golf Club is 1.3 miles away.,,,,
Wisconsin,Hayward,45.99056,-91.49836,Edelweiss Motel,2.0,"""Located 2.6 km from National Fresh Water Fishing Hall of Fame", Edelweis (Wisconsin) features accommodation with free WiFi in Hayward. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.,,,,,
Wisconsin,Hayward,45.94673,-91.43353,Eagles Haven Condo,5.0,"""Set in Hayward", 11 km from National Fresh Water Fishing Hall of Fame, Eagles Haven Condo offers accommodation with a garden and free private parking. Each room is equipped with a balcony.,,,,
Wisconsin,Hayward,46.22897,-91.12056,Namakagon Landing 2 Bathrooms Condo,5.0,"""Set in Cable in the Wisconsin region", Namakagon Landing Condo features a garden. The air-conditioned accommodation is 45 km from National Fresh Water Fishing Hall of Fame, and guests benefit from complimentary WiFi and private parking available on site.,,,,
Wisconsin,Hayward,46.21352,-91.09569,Seidls 2 Bathrooms Condo,5.0,"""Facing the beachfront in Namekagon", Seidls Condo features a garden. All rooms feature a kitchen, a TV with satellite channels, and a private bathroom.,,,
Wisconsin,Hayward,46.23817,-91.26156,Serenity on Lake Owen 3 Bathrooms Condo,5.0,"""Featuring air-conditioned accommodation with a balcony", Serenity On Lake Owen Condo is situated in Cable. Set 35 km from National Fresh Water Fishing Hall of Fame, the property offers a garden and free private parking.,,,,
Wisconsin,Hayward,46.1357,-90.939,Cascade Condo,5.0,"""Set in Clam Lake in the Wisconsin region", Cascade Condo features a patio and lake views. The air-conditioned accommodation is 44 km from Hayward, and guests benefit from private parking available on site and free WiFi.,,,,
Wisconsin,Hayward,46.0749,-91.45303,Tranquility Court Condo,3.0,"""Located in Hayward", 12 km from National Fresh Water Fishing Hall of Fame, Tranquility Court Condo provides accommodation with a garden and free private parking. Every room is equipped with a patio with a lake view.,,,,
Wisconsin,Hayward,46.24029,-91.0866,Peace of Mind on Namakagon 2 Bathrooms Condo,5.0,"""Located in Namekagon", Peace Of Mind On Namakagon Condo provides air-conditioned accommodation with a patio and free WiFi. This holiday home has a garden and free private parking.,,,,,
Wisconsin,Hayward,46.07052,-91.10512,Birch Bark Lodge Condo,5.0,"""Located in Hayward in the Wisconsin region", Birch Bark Lodge Condo features a patio and lake views. Set 34 km from National Fresh Water Fishing Hall of Fame, the property offers a garden and free private parking.,,,,
Wisconsin,Hayward,46.08638,-91.43298,Sunset On The Bay Condo,5.0,"""Located in Hayward", Sunset on the Bay Condo provides accommodation with a balcony and free WiFi. Set 11 km from National Fresh Water Fishing Hall of Fame, the property offers a terrace and free private parking.,,,,
Wisconsin,Hayward,45.90373,-91.43019,Sunset Shores Retreat Condo,5.0,"""Sunset Shores Retreat Condo is situated in Northwoods Beach and features a garden. Private parking can be arranged at an extra charge.",,,,,,
Wisconsin,Hayward,46.24106,-91.08677,Thirty Point Lodge 1.5 Bathroom Condo,5.0,"""Thirty Point Lodge Condo is situated in Namekagon. The accommodation is 42 km from Ashland", and guests benefit from complimentary WiFi and private parking available on site.,,,,,
Wisconsin,Hayward,46.21229,-91.09857,Bills Bay Condo,5.0,"""Bills Bay Condo is located in Namekagon and features a garden. Private parking can be arranged at an extra charge.",,,,,,
Wisconsin,Hayward,46.25879,-91.04948,Taylor Lake Point 3 Bathrooms Condo,5.0,"""Located in Namekagon", Taylor Lake Point Condo provides a garden. There is a terrace and guests can make use of free WiFi and free private parking.,,,,,
Wisconsin,Hayward,46.24104,-91.08677,Kenny Lodge 3 Bathrooms Condo,5.0,"""Boasting a garden", Kenny Lodge Condo is situated in Namekagon. There is a terrace and guests can make use of free WiFi and free private parking.,,,,,
Wisconsin,Hayward,46.22966,-91.09282,Sandy Shores 2 Bathrooms Condo,5.0,"""Set on the beachfront in Namekagon and boasting a garden", Sandy Shores Condo has free WiFi throughout the property. Private parking can be arranged at an extra charge.,,,,,
Wisconsin,Hayward,46.22413,-91.12428,Pineview 2 Bathrooms Condo,3.0,"""Set in Cable in the Wisconsin region", Pineview Condo features a patio. The accommodation is 45 km from Ashland, and guests benefit from complimentary WiFi and private parking available on site.,,,,
Wisconsin,Hayward,46.12109,-91.36287,Lenroot Lodge,5.0,"""With river views", Lenroot Lodge is located in Seeley and has a restaurant, an ATM, bar, garden and terrace. Both WiFi and private parking are available at the lodge free of charge.,,
Wisconsin,Hudson,44.96761,-92.68078,Regency Inn Hudson,2.0,"""Located in Hudson", Wisconsin region, Regency Inn Hudson is set 22 km from Afton Alps. With a bar, the 2-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. Private parking can be arranged at an extra charge.,,
Wisconsin,Hudson,44.96228,-92.73587,Hudson House Grand Hotel,3.0,"""Conveniently located off Interstate 94", this Hudson, Wisconsin hotel is minutes from the scenic St. Croix River Valley. Free WiFi access is available, and an indoor swimming pool is on site.,,,
Wisconsin,Hurley,46.46279,-90.19412,Snow Country Inn,2.0,"""Featuring free WiFi throughout the property", Snow Country Inn offers accommodation in Hurley, WI. Free private parking is available on site.,,,,
