OBJECTID,CreationDate,Creator,EditDate,Editor,GlobalID,AreaID,UNIT_CODE,GIS_Notes,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,METADATA,PARKNAME,SHAPE_Length,SHAPE_Area
1,2025/01/14 11:11:09+00,NPS_WASO_LANDS,2025/01/14 11:11:09+00,NPS_WASO_LANDS,{5B7E3AC2-BCC0-4470-B73E-067F4578B8E7},236,APIS,Lands - http://landsnet.nps.gov/tractsnet/documents/APIS/Metadata/apis_metadata.xml,Apostle Islands National Lakeshore,2024/10/17 00:00:00+00,WI,MW,"1581059",National Lakeshore,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2221817,Apostle Islands,491210.397759677,632061125.708571
2,2025/01/14 11:11:09+00,NPS_WASO_LANDS,2025/01/14 11:11:09+00,NPS_WASO_LANDS,{02262213-67A3-4DBC-AF75-6092CDF6F55D},132,APPA,Lands - http://landsnet.nps.gov/tractsnet/documents/APPA/Metadata/appa_metadata.xml,Appalachian National Scenic Trail,2024/12/13 00:00:00+00,CT,NE,"2766084",National Scenic Trail,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2259619,Appalachian,8950980.70265479,2224266204.73522
3,2025/01/14 11:11:09+00,NPS_WASO_LANDS,2025/01/14 11:11:09+00,NPS_WASO_LANDS,{C4976B23-F150-4771-BBCD-CDD5641E2511},137,CEBE,Lands - http://landsnet.nps.gov/tractsnet/documents/CEBE/Metadata/cebe_metadata.xml,Cedar Creek and Belle Grove National Historical Park,2024/12/16 00:00:00+00,VA,NE,"1985663",National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048148,Cedar Creek & Belle Grove,52408.2008252193,23103727.7034178
4,2025/01/14 11:11:09+00,NPS_WASO_LANDS,2025/01/14 11:11:09+00,NPS_WASO_LANDS,{73E134FC-CCE8-4F57-857C-1E2F1AA68336},243,EFMO,Lands - http://landsnet.nps.gov/tractsnet/documents/EFMO/Metadata/efmo_metadata.xml,Effigy Mounds National Monument,2024/12/16 00:00:00+00,IA,MW,"456249",National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048392,Effigy Mounds,44134.7847077294,18951876.1754207
5,2025/01/14 11:11:09+00,NPS_WASO_LANDS,2025/01/14 11:11:09+00,NPS_WASO_LANDS,{545C36BF-2E4E-43CF-8A23-654B4D767625},193,GUIS,Lands - http://landsnet.nps.gov/tractsnet/documents/GUIS/Metadata/guis_metadata.xml,Gulf Islands National Seashore,2024/12/16 00:00:00+00,FL,SE,"689020",National Seashore,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2166436,Gulf Islands,440641.164286818,710322067.548497
6,2025/01/14 11:11:09+00,NPS_WASO_LANDS,2025/01/14 11:11:09+00,NPS_WASO_LANDS,{A25A0ECC-EFA7-4FBB-9BE0-E8C8E20106B5},105,HAFE,Lands - http://landsnet.nps.gov/tractsnet/documents/HAFE/Metadata/hafe_metadata.xml,Harpers Ferry National Historical Park,2024/12/18 00:00:00+00,MD,NC,"1556735",National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048163,Harpers Ferry,132600.245691808,25056841.0816411
7,2025/01/14 11:11:09+00,NPS_WASO_LANDS,2025/01/14 11:11:09+00,NPS_WASO_LANDS,{40C5A9B8-9CB6-42AD-9FC7-FD6568C2D65E},257,HEHO,Lands - http://landsnet.nps.gov/tractsnet/documents/HEHO/Metadata/heho_metadata.xml,Herbert Hoover National Historic Site,2024/12/16 00:00:00+00,IA,MW,"457629",National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2188824,Herbert Hoover,5325.09597549896,1357393.40194457
8,2025/01/14 11:11:09+00,NPS_WASO_LANDS,2025/01/14 11:11:09+00,NPS_WASO_LANDS,{2968DFD5-F10C-4D24-B228-9EE04854BE3D},258,INDU,Lands - http://landsnet.nps.gov/tractsnet/documents/INDU/Metadata/indu_metadata.xml,Indiana Dunes National Park,2024/12/11 00:00:00+00,IN,MW,"446903",National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2225696,Indiana Dunes,259244.070981671,117924398.230648
9,2025/01/14 11:11:09+00,NPS_WASO_LANDS,2025/01/14 11:11:09+00,NPS_WASO_LANDS,{D6409514-9436-459B-ADFB-06C386DBAB77},74,MNRR,Lands - http://landsnet.nps.gov/tractsnet/documents/MNRR/Metadata/mnrr_metadata.xml,Missouri National Recreational River,2024/12/16 00:00:00+00,NE,MW,"2733411",National Wild & Scenic River,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2242151,Missouri,637567.486549128,513940509.429699
10,2025/01/14 11:11:09+00,NPS_WASO_LANDS,2025/01/14 11:11:09+00,NPS_WASO_LANDS,{B06675C5-58D2-40D2-AB92-90343CC74116},392,NOCA,Lands - http://landsnet.nps.gov/tractsnet/documents/NOCA/Metadata/noca_metadata.xml,North Cascades National Park,2024/12/17 00:00:00+00,WA,PW,"1528421",National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2235464,North Cascades,535900.280744443,4656124605.90576
11,2025/01/14 11:11:09+00,NPS_WASO_LANDS,2025/01/14 11:11:09+00,NPS_WASO_LANDS,{B26C3755-A9D2-4DE0-B9DF-A718D58129B1},395,OLYM,Lands - https://landsnet.nps.gov/tractsnet/documents/OLYM/Metadata/olym_metadata.xml,Olympic National Park,2024/12/17 00:00:00+00,WA,PW,"1530459",National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2307296,Olympic,1158107.17811781,8233666195.5782
12,2025/01/14 11:11:09+00,NPS_WASO_LANDS,2025/01/14 11:11:09+00,NPS_WASO_LANDS,{A0C8C1F4-2A7E-425C-BAAC-5EE1B65AFB08},349,PINN,Lands - http://landsnet.nps.gov/tractsnet/documents/PINN/Metadata/pinn_metadata.xml,Pinnacles National Park,2024/12/17 00:00:00+00,CA,PW,"247533",National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2208014,Pinnacles,95122.3270115196,167544256.667391
13,2025/01/14 11:11:09+00,NPS_WASO_LANDS,2025/01/14 11:11:09+00,NPS_WASO_LANDS,{418E6562-376D-4646-885B-790D620BD0EF},261,PIRO,Lands - http://landsnet.nps.gov/tractsnet/documents/PIRO/Metadata/piro_metadata.xml,Pictured Rocks National Lakeshore,2024/12/10 00:00:00+00,MI,MW,"634820",National Lakeshore,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048185,Pictured Rocks,234991.84215691,630285143.31027
14,2025/01/14 11:11:09+00,NPS_WASO_LANDS,2025/01/14 11:11:09+00,NPS_WASO_LANDS,{8D29B505-2956-45C5-9A71-78B1061E09AD},354,PORE,Lands - http://landsnet.nps.gov/tractsnet/documents/PORE/Metadata/pore_metadata.xml,Point Reyes National Seashore,2024/12/17 00:00:00+00,CA,PW,"234493",National Seashore,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2239938,Point Reyes,206245.490725233,469817812.114448
15,2025/01/14 11:11:09+00,NPS_WASO_LANDS,2025/01/14 11:11:09+00,NPS_WASO_LANDS,{8767D7BC-6D42-4A77-8D1E-8C8FA73CE390},122,PRWI,Lands - http://landsnet.nps.gov/tractsnet/documents/PRWI/Metadata/prwi_metadata.xml,Prince William Forest Park,2024/12/10 00:00:00+00,VA,NC,"1472799",Other Designation,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2221823,Prince William Forest,49822.5020952748,92506989.1251473
16,2025/01/14 11:11:09+00,NPS_WASO_LANDS,2025/01/14 11:11:09+00,NPS_WASO_LANDS,{4AAC6962-3DF4-4AA0-A16B-407574504D99},337,PUHO,Lands - http://landsnet.nps.gov/tractsnet/documents/PUHO/Metadata/puho_metadata.xml,Pu'uhonua o Honaunau National Historical Park,2024/12/26 00:00:00+00,HI,PW,"358732",National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2182236,Pu`uhonua O Honaunau,12571.4315154694,1920559.01653896
