State,Park,RecreationVisitors,RecreationVisitors%,RecreationVisitorDays,RecreationVisitorDays%,NonRecreationVisitors,NonRecreationVisitors%,RecreationVisitorHours,RecreationVisitorHours%,NonRecreationVisitorHours,NonRecreationVisitorHours%
Alabama,Horseshoe Bend NMP,64063,-0.1191,15074,-0.1503,0,,180897,-0.1503,0,
Alabama,Little River Canyon NPRES,763209,0.08929999999999999,153069,0.054000000000000006,0,,1836829,0.054000000000000006,0,
Alabama,Natchez Trace PKWY,515538,0.0855,173325,0.0852,657693,0.0,2079900,0.0852,657693,0.0
Alabama,Russell Cave NM,9261,0.0672,860,-0.0171,0,,10324,-0.0175,0,
Alabama,Tuskegee Airmen NHS,28474,0.2895,3559,0.2895,0,,42711,0.2895,0,
Alabama,Tuskegee Institute NHS,10037,0.21969999999999998,439,-0.0873,0,,5279,-0.08650000000000001,0,
Alaska,Alagnak Wild River,278,0.20350000000000001,795,1.2331,109,0.21109999999999998,9546,1.2319,3826,2.3328
Alaska,Aniakchak NM & PRES,191,-0.04019999999999999,771,0.25980000000000003,63,-0.4375,9257,0.2589,9661,-0.33299999999999996
Alaska,Bering Land Bridge NPRES,2642,0.0,2906,0.0,1126,-0.0018,34878,0.0,20624,0.0016
Alaska,Cape Krusenstern NM,17736,-0.004699999999999999,16105,-0.0152,7297,-0.0675,193262,-0.015300000000000001,195800,-0.052300000000000006
Alaska,Denali NP & PRES,466227,-0.0652,468584,-0.0605,887033,0.0472,5623015,-0.0605,221758,0.0472
Alaska,Gates of the Arctic NP & PRES,11907,0.078,7611,-0.098,0,,91332,-0.098,0,
Alaska,Glacier Bay NP & PRES,736282,0.0464,774047,0.0473,771,0.6834,9288569,0.0473,165480,0.722
Alaska,Katmai NP & PRES,36230,0.0731,48472,-0.046,7547,0.07429999999999999,581674,-0.046,82744,-0.18350000000000002
Alaska,Kenai Fjords NP,419468,0.0824,111645,0.0825,0,,1339748,0.0825,0,
Alaska,Klondike Gold Rush NHP Alaska,1336008,0.04019999999999999,462102,0.08289999999999999,0,,5545231,0.08289999999999999,0,
Alaska,Kobuk Valley NP,17233,-0.0217,17936,-0.0482,7621,-0.0103,215242,-0.0482,225512,-0.033
Alaska,Lake Clark NP & PRES,18505,0.10619999999999999,17992,0.5165,3214,-0.0028000000000000004,215914,0.5165,73198,0.9333
Alaska,Noatak NPRES,18311,-0.0417,33076,-0.0496,8332,-0.0255,396917,-0.0496,201872,-0.044199999999999996
Alaska,Sitka NHP,309327,0.6984999999999999,15568,0.6973,0,,186822,0.6973,0,
Alaska,Wrangell-St. Elias NP & PRES,81670,0.043,313072,0.043,0,,3756871,0.043,0,
Alaska,Yukon-Charley Rivers NPRES,1700,0.6815000000000001,24083,3.2266000000000004,0,,289000,3.2263,0,
American Samoa,National Park of American Samoa,22567,0.8597,3761,0.86,0,,45137,0.8595999999999999,0,
Arizona,Canyon de Chelly NM,387433,0.16219999999999998,222595,0.1516,567325,0.20379999999999998,2671143,0.1516,1134649,0.20379999999999998
Arizona,Casa Grande Ruins NM,104429,-0.0625,11853,-0.0625,2160,0.0,142243,-0.0625,216,0.0
Arizona,Chiricahua NM,71390,0.1407,35766,0.0384,3600,0.0,429196,0.0383,1200,0.0
Arizona,Coronado NMEM,164426,0.17370000000000002,13097,0.1408,2508,0.0,157172,0.1408,1248,0.0
Arizona,Fort Bowie NHS,8483,0.018000000000000002,1423,0.0179,0,,17087,0.018500000000000003,0,
Arizona,Glen Canyon NRA,1142900,0.0016,391254,-0.15380000000000002,22183,-0.0358,4695057,-0.1537,266179,-0.0358
Arizona,Grand Canyon NP,4919163,0.0392,6423732,0.0409,21010,0.6764,77084784,0.0409,21010,0.6764
Arizona,Hubbell Trading Post NHS,46419,-0.1434,1998,-0.1436,4584,0.0,23984,-0.1433,1056,0.0
Arizona,Lake Mead NRA,1603215,0.1059,970982,0.0877,69681,0.18710000000000002,11651788,0.0877,418081,0.18710000000000002
Arizona,Montezuma Castle NM,379967,0.0347,31663,0.0346,0,,379967,0.0347,0,
Arizona,Navajo NM,58442,0.32280000000000003,13318,0.1862,1222,-0.1549,159825,0.1862,305,-0.1528
Arizona,Organ Pipe Cactus NM,182612,-0.021400000000000002,102440,0.3154,197754,-0.23329999999999998,1229286,0.3154,98876,-0.23329999999999998
Arizona,Petrified Forest NP,559254,0.0745,120287,0.0687,120,0.0,1443448,0.0687,120,0.0
Arizona,Pipe Spring NM,24530,0.021400000000000002,3066,0.0217,404,0.0,36794,0.021400000000000002,900,0.0
Arizona,Saguaro NP,946369,-0.0638,141564,-0.1001,4501598,0.024300000000000002,1698769,-0.1001,1125400,0.024300000000000002
Arizona,Sunset Crater Volcano NM,73260,-0.1013,7631,-0.1013,12000,0.0,91577,-0.1013,3996,0.0
Arizona,Tonto NM,30840,-0.012,4521,-0.0472,0,,54259,-0.0472,0,
Arizona,Tumacacori NHP,35256,-0.0691,4407,-0.2546,0,,52885,-0.2546,0,
Arizona,Tuzigoot NM,108283,0.0519,9023,0.0519,0,,108283,0.0519,0,
Arizona,Walnut Canyon NM,187205,0.22719999999999999,20280,0.22719999999999999,480,0.0,243366,0.22719999999999999,240,0.0
Arizona,Wupatki NM,220205,0.0209,73401,0.0209,6513,-0.0028000000000000004,880819,0.0209,3909,-0.0028000000000000004
Arkansas,Arkansas Post NMEM,26203,0.046799999999999994,3275,0.0467,0,,39303,0.0467,0,
Arkansas,Buffalo NR,1686348,0.0883,750969,0.1011,0,,9011629,0.1011,0,
Arkansas,Fort Smith NHS,124486,-0.0788,13797,-0.0787,0,,165567,-0.0788,0,
Arkansas,Hot Springs NP,2461812,-0.016399999999999998,598394,0.0484,160722,0.0679,7180736,0.0484,183221,0.0679
Arkansas,Little Rock Central High School NHS,63767,0.08869999999999999,5313,0.08869999999999999,0,,63767,0.08869999999999999,0,
Arkansas,Pea Ridge NMP,102621,-0.4018,17103,-0.4018,0,,205244,-0.4018,0,
Arkansas,President W.J. Clinton Birthplace Home NHS,6215,0.2371,517,0.2368,0,,6215,0.2371,0,
California,Cabrillo NM,845912,0.0441,105420,0.0441,81792,0.0,1265044,0.0441,20447,0.0
California,Cesar E. Chavez NM,26641,1.2187999999999999,1109,1.218,0,,13317,1.218,0,
California,Channel Islands NP,262581,-0.20129999999999998,188605,-0.46799999999999997,7852,-0.35619999999999996,2263265,-0.46799999999999997,188448,-0.3563
California,Death Valley NP,1440421,0.31,867844,0.2728,57328,0.2982,10414131,0.2728,85990,0.2982
California,Devils Postpile NM,94215,0.09380000000000001,27479,0.09390000000000001,0,,329753,0.09390000000000001,0,
California,Eugene O'Neill NHS,17653,0.1362,1223,0.0737,0,-1.0,14682,0.07400000000000001,0,-1.0
